"","x"
"acacme",83502.7473342533
"acaldi",703095.504456866
"acalma",91424.27321028
"ade1tr",2143935.13874704
"aegipa",304337.075927531
"alchco",10901769.4725207
"alchla",48305.1286415967
"alibed",283100.694987427
"allops",866827.459580332
"alsebl",71991166.4533369
"amaico",61840.6805895883
"anacex",29814224.7913733
"anaxpa",416874.422566261
"andiin",948497.087601216
"annoac",253081.20638605
"annosp",480688.808740467
"apeime",30171526.7632459
"apeiti",887913.829471227
"aphesi",4900.09914143668
"appuse",378.56191475757
"ardiba",1040.65256650162
"ardife",106785.875888171
"ardigu",5244.10353700476
"aspicr",11537076.4760966
"ast1st",2172210.25802751
"ast2gr",4382529.6057394
"bactba",5669.00394340278
"bactc1",12784.7113037837
"bactma",119783.430094235
"beilpe",28071539.3641299
"boropa",132.732289614169
"brosal",26176225.9409972
"brosgu",4399.01511318911
"calolo",6666063.77024319
"cappcy",95.0331777710912
"cappfr",1769858.63290063
"carica",7619.14758311865
"caseac",619775.754894685
"casear",4317321.92322332
"caseco",72826.8300991918
"casegu",36209.2115271126
"casesy",965760.139232692
"cassel",3674824.59946155
"cavapl",27984028.7299679
"cecrin",18953584.2644752
"cecrlo",98146.4960907987
"cecrob",3129908.28511293
"cedrod",158684.986525474
"ceibpe",46727866.1317225
"celtsc",1281889.18318547
"cespma",143955.629369118
"cestme",29815.2850788939
"cha1te",3074.83380970101
"cha2sc",491046.639719353
"chimpa",67360.4588819456
"chr1ec",505245.067717252
"chr2ar",3724173.5222623
"chr2ca",4976677.03316426
"clidde",9702.02351244868
"clidoc",2158.27415301619
"coccco",415038.161660238
"coccma",417084.123875888
"colugl",175454.022712173
"conobr",7703.18518660217
"conoci",22196.1374957753
"cordal",4442279.55641802
"cordbi",17653895.6027127
"cordla",4528097.65753797
"cou2cu",3000935.69650694
"couthe",41974.0340464498
"crotbi",1559638.96048567
"cupaci",14375.1425846635
"cupala",834564.088426128
"cuparu",157769.997665116
"cupasy",1738195.30594327
"cyphha",4748.51729590097
"dendar",4228172.94849241
"des2pa",7809139.32583531
