"","x"
"acacme",48
"acaldi",994
"acalma",48
"ade1tr",142
"aegipa",38
"alchco",314
"alchla",1
"alibed",406
"allops",107
"alsebl",7844
"amaico",19
"anacex",26
"anaxpa",862
"andiin",248
"annoac",474
"annosp",148
"apeime",305
"apeiti",50
"aphesi",8
"appuse",2
"ardiba",7
"ardife",108
"ardigu",15
"aspicr",463
"ast1st",151
"ast2gr",114
"bactba",3
"bactc1",10
"bactma",94
"beilpe",1912
"boropa",1
"brosal",865
"brosgu",3
"calolo",1806
"cappcy",1
"cappfr",2333
"carica",2
"caseac",434
"casear",131
"caseco",23
"casegu",13
"casesy",124
"cassel",1104
"cavapl",36
"cecrin",883
"cecrlo",13
"cecrob",263
"cedrod",12
"ceibpe",58
"celtsc",108
"cespma",2
"cestme",42
"cha1te",4
"cha2sc",537
"chimpa",3
"chr1ec",391
"chr2ar",704
"chr2ca",169
"clidde",33
"clidoc",10
"coccco",127
"coccma",311
"colugl",4
"conobr",7
"conoci",100
"cordal",186
"cordbi",674
"cordla",1104
"cou2cu",1980
"couthe",3
"crotbi",630
"cupaci",8
"cupala",59
"cuparu",95
"cupasy",1160
"cyphha",5
"dendar",79
"des2pa",10925
"dio2ar",103
"diptpa",50
"drypst",2097
"elaeol",20
"entesc",12
"ery1co",64
"ery2ma",282
"ery2pa",110
"eugeco",602
"eugega",1937
"eugene",499
"eugeoe",1818
"faraoc",24768
"ficuc2",7
"ficuci",2
"ficuin",16
"ficuma",6
"ficuob",7
"ficupe",2
"ficupo",2
"ficuto",23
"ficutr",5
"ficuyo",6
"gar2in",4803
"gar2ma",401
"geniam",66
"guapst",155
"guargr",65
"guargu",1853
"guarsp",713
"guatdu",845
"guazul",72
"guetfo",246
"gustsu",687
"hameax",123
"hampap",191
"hassfl",400
"heisac",94
"heisco",891
"herrpu",530
"hirtam",21
"hirtra",1
"hirttr",4345
"huracr",95
"hybapr",27144
"hyeral",118
"ingaco",53
"ingafa",57
"ingago",284
"ingama",756
"ingami",4
"ingape",141
"ingapu",56
"ingaqu",538
"ingaru",8
"ingas1",598
"ingasa",189
"ingasp",20
"ingath",228
"ingaum",745
"jac1co",325
"laciag",1250
"lacmpa",101
"laetpr",27
"laetth",407
"lafopu",5
"leandi",1
"licahy",141
"licapl",249
"lindla",51
"loncla",652
"lozapi",1
"luehse",211
"maclti",1
"macrgl",85
"malmsp",495
"malpro",37
"maquco",1289
"mar1la",22
"margno",2
"maytsc",75
"micoaf",417
"micoar",670
"micodo",2
"micoel",11
"micoho",70
"micoim",10
"micone",378
"micopr",4
"mourmy",6744
"myrcga",53
"myrofr",16
"nectci",154
"nectgl",207
"nectpu",68
"nects1",1
"neeaam",62
"ochrpy",11
"ocotce",275
"ocotob",232
"ocotpu",158
"ocotwh",367
"oenoma",1610
"olmeas",129
"oreoca",1
"ormoam",1
"ormocr",106
"ormoma",102
"ouralu",1196
"paligu",1115
"pentma",298
"perexa",226
"phoeci",67
"picrla",1071
"pipea1",20
"pipeae",26
"pipeca",3
"pipeco",52
"pipecu",9
"pipepe",11
"pipere",128
"pit1ma",18
"pit1ru",2
"pla1pi",163
"pla2el",106
"pochqu",1
"pochse",17
"posola",71
"poular",992
"pourbi",129
"poutfo",3
"poutre",1076
"poutst",59
"pri2co",1319
"protco",679
"protpa",2973
"protsp",11
"protte",2858
"pse1se",42
"psidfr",57
"psycac",14
"psycb1",3
"psycch",16
"psycde",38
"psycfu",1
"psycg1",65
"psycg3",55
"psycho",2386
"psycli",67
"psycma",752
"psycpi",4
"psycra",7
"pterof",1
"pterro",1190
"quaras",2133
"quasam",110
"randar",931
"randfo",1
"rauvli",1
"rinosy",2226
"sapiau",40
"sapisp",2
"sch1zo",32
"schipa",22
"sennda",160
"simaam",1571
"sipagu",22
"sipapa",322
"sloate",438
"socrex",500
"solaas",8
"solaha",68
"solast",3
"soroaf",2255
"spacme",9
"sponmo",118
"sponra",268
"sterap",51
"stylst",682
"swars1",5750
"sympgl",154
"tab1gu",62
"tab1ro",229
"tab2ar",1721
"tachve",2074
"taline",678
"talipr",703
"termam",45
"termob",90
"tet2pa",4592
"tet4jo",5
"theoca",16
"thevah",82
"tocopi",8
"tratas",78
"tremin",51
"tremmi",20
"tri1gi",2
"tri2pa",463
"tri2to",1
"tri2tu",10718
"tri4ga",2
"tripcu",209
"tropra",222
"turpoc",91
"unonpi",626
"urerba",15
"verbgi",1
"vernpa",1
"virose",1255
"virosp",41
"virosu",178
"vismba",55
"vismbi",5
"vismma",2
"vochfe",33
"xyl1ma",1642
"xyl2ol",43
"zantbe",257
"zantp1",240
"zantpr",86
"zantse",1
"zuelgu",29
