"","allsp","","","","","","","","","","","","","","","","","","","","","","","","","abund"
"1","acacme","0.387909205547813","0.533430192223551","0.73615598829451","0.939552684809704","1.01349609522781","1.05934234770788","1.08284727638796","1.08870710350787","0.002","0.002","0.002","0.01","0.498","0.002","0.002","0.002","-8.92116370888313","-11.5751985692092","-8.6102492671467","-2.38152119755462","0.626991929962633","3.15319400399014","4.89069719700165","5.68354277037724","48"
"2","acaldi","0.925233452356509","0.992283409086781","1.03021752059806","1.04977518761532","1.05679295866341","1.05335819636082","1.04941795566855","1.04429903364871","0.002","0.45","0.002","0.002","0.002","0.002","0.002","0.002","-5.14322814693438","-0.781021331454548","4.04381654261471","7.77971477603262","10.2401274031129","10.8183824909966","11.2775284988169","11.1882534906544","994"
"3","acalma","0.802354181323916","0.882861598468972","0.933188243250708","0.974122037243935","1.00163815601431","1.02364638312548","1.02735682978731","1.04916465864537","0.008","0.004","0.024","0.39","0.972","0.224","0.128","0.004","-2.90129019656921","-2.8481148411898","-2.10979572620695","-0.945943863418828","0.0855690952639465","1.22102079899097","1.60160533679059","3.18334314602865","48"
"4","ade1tr","1.00383858443272","1.04919602298225","1.06555861164647","1.07698345936975","1.0793404544852","1.07979615771256","1.07468451052053","1.06023597818904","0.866","0.048","0.002","0.002","0.002","0.002","0.002","0.002","0.153803028153365","2.09236255038581","3.48583470713896","4.85642716994318","5.62948992612902","6.19895126455012","6.57491098924356","5.89938988525945","142"
"5","aegipa","1.08107083968752","1.056636514169","1.08835679176105","1.05105657741558","1.04571540970807","1.04190216996854","1.03431455483621","1.04032610726539","0.332","0.256","0.016","0.108","0.076","0.074","0.114","0.036","1.03565227406209","1.16286334044957","2.43317924694902","1.67479012989074","1.7841715932336","1.82702264224103","1.63916735892539","2.1403615927498","38"
"6","alchco","1.14683389015702","1.13548043725416","1.13826589546434","1.13059652657867","1.11936739135612","1.10249195760356","1.08979314446202","1.07686214007633","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","5.5926058478993","9.03358935736672","11.1625528156628","12.4631535363776","12.7425206620573","12.2453546794785","12.1487889876366","11.614198879967","314"
"7","alchla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"8","alibed","1.03509908100005","1.03163808917671","1.0308517433972","1.02294303676794","1.02097548048653","1.01533301887381","1.01295733189079","1.01053318782706","0.114","0.042","0.012","0.026","0.022","0.062","0.07","0.104","1.58056881939139","2.18974515579732","2.61719988878799","2.30821738679353","2.39822171729904","1.92876530773889","1.86109953394451","1.70476050926458","406"
"9","allops","1.14625815790876","1.08475053434266","1.0613926289499","1.0614449488963","1.05129945754102","1.04140861238603","1.03387495925895","1.02553092902605","0.002","0.002","0.004","0.004","0.006","0.012","0.02","0.042","2.9723236148058","2.92098820915114","2.63665046418348","3.21845457895348","3.03713664275078","2.71738855407679","2.47754060440922","2.07594354145542","107"
"10","alsebl","1.0169480422776","1.01968060372853","1.02018184629946","1.02136147415605","1.01993726652918","1.01839653415151","1.0171304799921","1.01589653684127","0.004","0.002","0.002","0.002","0.002","0.002","0.002","0.002","3.34681874645915","6.071329174283","7.72957426149278","9.66584708765127","10.3537211943658","10.7579377386104","11.3108188599589","11.7373289074988","7844"
"11","amaico","1.20374746336948","1.01176104753988","1.03044692176453","1.0358590782944","1.10339010042755","1.14218851979141","1.12535154397798","1.12153558345905","0.06","0.836","0.532","0.44","0.006","0.002","0.002","0.002","1.90100475318178","0.187798264357207","0.613757157961198","0.850503130521666","2.7339776393712","4.0704033924587","3.86149304127091","3.95970115056389","19"
"12","anacex","0.960164262743259","1.09183850572114","1.07928768323565","1.10627788850569","1.10699671646565","1.11894755649999","1.10740359230249","1.10656813262392","0.658","0.14","0.1","0.016","0.004","0.002","0.002","0.002","-0.412053731004189","1.59065552781629","1.83152281175589","2.72905105863524","3.03995214040864","3.6946012664149","3.83586163036576","4.1528588750631","26"
"13","anaxpa","0.766771048001688","0.74525071121579","0.780281052166074","0.827539139176226","0.865930162740812","0.894682665720002","0.920296532703743","0.93895583819066","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","-15.7891710086043","-28.5492971239856","-32.6679016989188","-30.5868799889433","-28.8603659972373","-27.086534823617","-23.689211747895","-21.6954001904376","862"
"14","andiin","0.868069329969562","0.939420073506017","0.964944110026357","0.971822284153122","0.978756588064803","0.985071433696276","0.994345311636452","0.997378949841809","0.002","0.006","0.022","0.032","0.07","0.132","0.512","0.752","-4.23648754915674","-3.18461209185674","-2.40206642348115","-2.31266054027331","-1.95976964692425","-1.56496298954689","-0.662349837079513","-0.341751922238731","248"
"15","annoac","0.996848351548773","1.01999265687952","1.02296522227561","1.01983337381437","1.01482751942862","1.01108458305298","1.00871505825981","1.00363187683247","0.836","0.152","0.042","0.036","0.074","0.136","0.184","0.548","-0.191951720894108","1.44645233691767","2.10033899219667","2.10129262706579","1.77148171129672","1.4778732547843","1.32246709404993","0.594851185439571","474"
"16","annosp","1.30130080569596","1.25086587362759","1.20548013340795","1.18366468031177","1.15792861443122","1.13355677246686","1.11724076492604","1.10263647780697","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","8.41005164653417","10.8574306253374","11.386335529869","11.7712444933454","11.7179203522556","10.9521006493348","10.7307704412214","10.3542706254452","148"
"17","apeime","1.08178854751244","1.09888884171115","1.09461303007533","1.08908261927691","1.07584089381267","1.06056299519393","1.0488074334672","1.0406676908117","0.004","0.002","0.002","0.002","0.002","0.002","0.002","0.002","3.03618748515703","6.07021760837152","7.33593835867285","8.20188924256358","8.08017307641779","7.29484512238612","6.66020518529151","6.08283164721947","305"
"18","apeiti","1.13281487368114","1.16754743466222","1.14736148493777","1.13737982862885","1.12466874662032","1.1263453298096","1.13123790648837","1.11209978209932","0.066","0.002","0.002","0.002","0.002","0.002","0.002","0.002","1.85085981853243","3.85410751258003","4.44103584619544","4.8725950573213","5.04938889807027","5.64828504647716","6.38606923990227","6.12244772151864","50"
"19","aphesi","1.46879037355544","1.32628098659884","1.33152726799894","1.31449914942582","1.35497465397175","1.30852844521201","1.24896833835786","1.20053939034825","0.016","0.008","0.002","0.002","0.002","0.002","0.002","0.002","2.85117834807607","3.2490074688647","4.1563876316151","4.59774492015509","5.58094101003328","5.27426113798629","4.74249261833402","4.23228350318328","8"
"20","appuse","2.35558595728847","1.62906302915067","1.57350861227572","1.29395013979243","1.35145310005958","1.44181108265536","1.53570865094566","1.58956734930018","0.002","0.004","0.002","0.05","0.006","0.002","0.002","0.002","4.54111557508347","3.22496492951814","3.59301383889069","2.07060092839824","2.78137833242205","3.88236506384855","5.14956187414504","6.28962469127144","2"
"21","ardiba","1.1007556832426","1.19598321398669","1.16226046015817","1.15075497500839","1.09635102543277","1.10935710494753","1.11901424676776","1.14617857948508","0.494","0.054","0.034","0.024","0.12","0.048","0.028","0.01","0.644814889335977","2.08922100420996","2.24971040419245","2.35386088533529","1.65656601811989","2.06091826737295","2.35219479200208","3.10915287889506","7"
"22","ardife","0.883265102682832","0.962474511042639","0.980050476354944","0.992403337963347","1.00634423784504","1.01118045011125","1.01122538822011","1.00753246415578","0.01","0.168","0.368","0.702","0.708","0.492","0.46","0.594","-2.63160379481535","-1.40120885120734","-0.903895767386736","-0.401694249108186","0.343927500056247","0.69707528038996","0.777718471806068","0.562137941517073","108"
"23","ardigu","1.19365021014644","1.07315546445918","1.04488846928523","1.00469382434305","1.01926510768341","1.04432622179736","1.07288168470358","1.06898364439888","0.086","0.308","0.404","0.908","0.668","0.186","0.02","0.014","1.75506607688855","1.0599324151962","0.841432871338338","0.140293406178219","0.476428636475117","1.24999182167933","2.33328519949866","2.50042177413451","15"
"24","aspicr","1.01099938497359","1.00626581659919","1.00698184364562","1.00258293442365","0.998521618042713","1.00348338119732","1.00414345472778","1.00343954451513","0.64","0.66","0.508","0.784","0.876","0.596","0.51","0.52","0.496526588264916","0.475932688611542","0.672678745311055","0.287981744325698","-0.165233153890652","0.50898627816448","0.675797078319793","0.629494137046468","463"
