"","x"
"ACEAMP",2294.23199434761
"ACEDAV",9684.49065062994
"ACEELE",59488.1774526997
"ACEPUB",4624.23871795835
"ACTARG",80.4424433905751
"ADIGLI",16611.6472877846
"AGALAC",50.4418043451194
"BERKUL",28.5577840794783
"BETLUM",1474.44532944544
"CAMCUS",221837.604175066
"CARVIM",11163.1938850567
"CASEYR",5251.51051791342
"CELACU",79.2466746868025
"CELSTY",144.94028304657
"CERCAM",15329.6956693722
"CERSCH",32985.626934589
"CERSER",2759.61347142328
"CINJEN",598.883692509414
"CLEBAR",15706.2480612473
"CLEPAC",124986.953535206
"CORCON",1917.19061043438
"CORGLA",2384.79705139191
"CORHON",5813.51285828908
"CRYJAP",21608.4920255306
"CUNLAN",1414584.09780591
"CYCGLA",207.362786595603
"CYCGRA",300.488310767618
"CYCMUL",548241.166229403
"CYCSTE",217656.864641793
"DAPMAC",167304.096073538
"DENDEN",43587.3679163362
"ELADIF",956.916527638503
"ERYSIN",3312.10332842526
"EUOHAM",214.518627802133
"EUOMYR",2206.3486070756
"EURALA",10085.3699785699
"EURHEB",178859.498442117
"EURMUR",20480.2064653309
"EURRUB",25705.3223883395
"FAGLUC",464841.059597397
"FICHET",211.240690027378
"FOKHOD",81.7128249198705
"GAMCIL",959.512139763232
"HALMAC",21315.8738371146
"HOVDUL",758.992210064454
"HYDCHI",329.226152088444
"HYDPAN",258.992898361943
"IDEPOL",379.356816238745
"ILECRE",7030.21405831521
"ILEEDI",51572.0087100014
"ILEFIO",3125.24688103972
"ILEFOR",11104.9735609186
"ILELAT",24.4544713748083
"ILELIT",2360.93105608439
"ILEPED",6195.06684709568
"ILEROT",56.7450173054656
"ILESUA",36850.5545394126
"ILETRI",136.360829129065
"ILETSO",28573.6648625435
"ILEWIL",4721.14049226325
"ILLJIA",49882.4798017177
"LIGSIN",49.7408239179166
"LINERY",29354.9613028822
"LINOBT",945.684498238273
"LIRCHI",524.975840378122
"LITBRE",672771.664284253
"LITELO",1861.3583459607
"LITHAN",22435.6194779842
"LYOOVA",1431.52323028038
"MACPAU",915.901859019439
"MAGOFF",541.301440761767
"MELFLE",191.065414207349
"MELOLD",16074.7827371771
"MICFOK",479.564040030666
"MORAUS",160.479150089939
"NEOCHE",162.704418706293
"NEOUND",13328.9459584999
"NYSSIN",45481.3238737768
"OSMFRA",1322.60351240526
"OSMMAR",591.039970531648
"PADBUE",11032.6843869131
"PADGRA",5047.47455148886
"PHOBEA",36935.8779684949
"PHOGLA",176.984708754763
"PHOPAR",2287.5946117475
"PIEJAP",627.341224440326
"PINMAS",2173.00822256152
"PINTAI",2151687.12702671
"PITILL",380.132711084365
"PTECOR",27381.7638960088
"PYRCAL",316.553551660096
"QUEENG",9231.47199880981
"RHAIND",1087.21858799
"RHOCHA",80.1891524828795
"RHOFOR",161682.620129286
"RHOLAT",477117.925291394
"RHOOVA",12070.8777390329
"RHOSIM",14922.1547497191
"RHOSIS",1631.63448825501
"RHUHYP",106.073489123441
"RHUPOT",619.086354378003
"SABCAM",63.7587014444212
"SASTZU",1384.25845104159
"SCHINT",396.783466307656
"SCHSUP",1047479.83287105
"SKIREE",392.903285221208
"SMIARI",95.0331777710912
"SORDUN",12886.3948923396
"SORFOL",142778.50715343
"SORHEM",5746.53418538135
"STESIN",54260.4123628364
"STRDAV",177.960071171942
"STYCAL",23536.8071239363
"STYJAP",25554.8946869757
"SYCSIN",114364.781921133
"SYMANO",6149.41588122649
"SYMGLO",1132.74050115997
"SYMLAN",7590.04885448333
"SYMLUC",63960.3015251455
"SYMPAN",1937.0425983062
"SYMPEN",1311.55908242494
"SYMSTE",254.234316188578
"SYMSUM",2357.96168475468
"TAXWAL",6601.03465506815
"TERGYM",12686.4108806484
"TOXSUC",2024.62486706396
"TOXTRI",945.25606354014
"VACBRA",673.762539458698
"VACCAR",465.051517170057
"VACMAN",1348.06656618336
"VIBHER",26.4207942166902
"VIBSET",993.236906777857
"VIBSYM",2315.09208710064
"VITCHU",23.7582944427728
"VITPSE",84.4738136234779
"YULCYL",37405.6790231931
