"","x"
"ACEAMP",2
"ACEDAV",10
"ACEELE",51
"ACEPUB",8
"BETLUM",2
"CAMCUS",27
"CARVIM",5
"CASEYR",7
"CERCAM",10
"CERSCH",17
"CERSER",4
"CINJEN",1
"CLEBAR",3
"CLEPAC",17
"CORGLA",1
"CORHON",4
"CRYJAP",10
"CUNLAN",1649
"CYCMUL",441
"CYCSTE",225
"DAPMAC",106
"DENDEN",7
"ERYSIN",1
"EURALA",11
"EURHEB",25
"EURMUR",2
"EURRUB",11
"FAGLUC",398
"HALMAC",31
"HOVDUL",1
"ILECRE",2
"ILEEDI",24
"ILEFIO",2
"ILEFOR",4
"ILELIT",1
"ILEPED",5
"ILESUA",12
"ILETSO",12
"ILEWIL",2
"ILLJIA",10
"LINERY",12
"LINOBT",1
"LIRCHI",1
"LITBRE",794
"LITELO",2
"LITHAN",26
"MELOLD",6
"NEOUND",3
"NYSSIN",51
"PADBUE",14
"PADGRA",5
"PHOBEA",3
"PHOPAR",1
"PINMAS",1
"PINTAI",2751
"PITILL",1
"PTECOR",30
"QUEENG",5
"RHAIND",1
"RHOFOR",19
"RHOLAT",45
"RHOOVA",3
"RHOSIM",6
"RHOSIS",1
"SASTZU",1
"SCHSUP",979
"SORDUN",1
"SORFOL",62
"SORHEM",1
"STESIN",28
"STYCAL",4
"STYJAP",3
"SYCSIN",23
"SYMANO",1
"SYMGLO",1
"SYMLUC",28
"SYMPEN",1
"TAXWAL",4
"TERGYM",8
"VIBSYM",1
"YULCYL",39
