"","allsp","","","","","","","","","","","","","","","","","","","","","","","","","abund"
"1","ACEAMP","0.727228390841207","0.550381626278263","0.5446042712574","0.550441892727552","0.556645016107408","0.578436051797866","0.609468420211253","0.633713969530041","0.07","0.002","0.002","0.002","0.002","0.002","0.002","0.002","-1.75303821754125","-3.68077573401238","-4.10706687750013","-4.25140896897516","-4.34042863116846","-4.28585667270425","-4.10798133273424","-4.00360980490004","13"
"2","ACEDAV","0.96578629527309","0.983843873324965","0.987596267771228","1.003695916414","1.00464114697823","1.00789036162889","1.01175336963249","1.01346968017161","0.504","0.688","0.734","0.916","0.894","0.8","0.692","0.614","-0.724688827044604","-0.404794715893693","-0.334592990991694","0.120190771504235","0.15671187453194","0.270947145684171","0.416304101319322","0.498830971297563","105"
"3","ACEELE","0.881712603432389","0.890911572374725","0.903949595736473","0.914561439287656","0.924906856443112","0.931661984577157","0.936984043643341","0.941537622915898","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","-4.86151500330601","-5.65214189410006","-5.60625910953515","-5.32068338377863","-4.99144812535312","-4.7719656241592","-4.6382557650364","-4.53822988796409","490"
"4","ACEPUB","0.788743212137047","0.726723962808364","0.759326151826038","0.762454910698353","0.767767013034095","0.763588575907226","0.77148465373839","0.773223271706806","0.102","0.012","0.022","0.018","0.016","0.01","0.01","0.006","-1.48278455658984","-2.27489444356741","-2.11302170320824","-2.17642562478385","-2.20255392830404","-2.32642043021516","-2.3284972913969","-2.40229816492855","23"
"5","ACTARG","0.487956976369918","0.483099584422325","0.47073886548278","0.466697881143116","0.483279874866654","0.515839567139557","0.556999329983907","0.581959053877237","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","-3.62622643897689","-4.36501713099143","-4.73395246437459","-5.00247884643801","-5.09090363960793","-5.01748938665175","-4.78425291714156","-4.720967364971","20"
"6","ACTCHI","0.834031962225813","0.760004354181395","0.756907167313045","0.767794982256127","0.793137972615019","0.807162088576039","0.826666728616282","0.849268333470694","0.174","0.01","0.004","0.006","0.008","0.01","0.01","0.02","-1.32012338703377","-2.49076792185103","-2.82949061288315","-2.91234387627415","-2.79891095753602","-2.76807648418592","-2.61980874436534","-2.39656444103948","17"
"7","ACTERI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"8","ACTHEM","0.849672421019227","0.878344261255399","0.89256593937087","0.908162118921784","0.919223962268835","0.928258041779351","0.938361383339802","0.943003302163565","0.002","0.002","0.002","0.002","0.002","0.002","0.006","0.006","-3.62630609346772","-3.81720441834359","-3.92662357040562","-3.64440890026713","-3.43914897147466","-3.25815439798617","-2.97391614359419","-2.90181394702411","133"
"9","ACTSP1","0.874622295081523","0.954425012405658","0.911886128595336","0.853349967886833","0.889050323345649","0.895597633452096","0.913794937913863","0.910950773319466","0.584","0.762","0.528","0.264","0.356","0.376","0.442","0.41","-0.624211944110502","-0.322369532764893","-0.652786837641279","-1.12746906615452","-0.913983387322808","-0.900563297267205","-0.779611672782733","-0.830783780096887","6"
"10","ADIGLI","1.00700750141513","0.992276183630967","0.98948488728608","0.992535264370352","0.99809623855875","0.997967380193087","0.997902029976556","0.999313024967368","0.584","0.446","0.24","0.388","0.836","0.832","0.822","0.98","0.554269004738813","-0.770299837323282","-1.1719971186815","-0.899119614721233","-0.21990894935679","-0.246243446267125","-0.268820556873884","-0.0667601964712334","1599"
"11","AGALAC","1.18463612805393","1.15753198274704","1.14419541684585","1.12690433963947","1.10954491756834","1.09220080723482","1.09469492256927","1.10142313186409","0.052","0.036","0.04","0.032","0.052","0.078","0.06","0.034","2.00302931170884","2.22725190647112","2.26906113567363","2.15983171037244","1.95782382441366","1.73029021468076","1.85958627369656","2.0863801660495","22"
"12","AKETRI","0.554132300983707","0.57829679204133","0.597901726099822","0.687645533105245","0.726136967887242","0.771431419974152","0.82894998229196","0.873281992653244","0.034","0.006","0.008","0.018","0.04","0.062","0.154","0.298","-1.87526550437087","-2.32423443297217","-2.53673833950028","-2.14985467178288","-1.97890116053795","-1.72173211258572","-1.34192170971512","-1.05214694160475","4"
"13","ARAELA","1.18197140777704","1.10040745362401","1.10544604649293","1.14926624154021","1.18363845525338","1.20685382614298","1.25576639812088","1.26543539564707","0.382","0.442","0.398","0.198","0.102","0.052","0.008","0.004","0.87958328900293","0.690039009328705","0.81369233050569","1.29194776691254","1.75769152783009","2.16097405889029","2.89326251491637","3.24604452949895","4"
"14","AUCHIM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"15","BERKUL","0.715033589006657","0.712260177727826","0.706697592818939","0.7407993258259","0.76675148420318","0.791742713344085","0.810618831305899","0.831357780723373","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","-3.68929909671832","-4.7750723622033","-5.36720189967807","-5.09919816330749","-4.81167237177436","-4.4959626993331","-4.25956529310061","-3.95401087251215","44"
"16","BERVIR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"17","BETLUM","0.854389184186085","0.89565912344569","0.916478889739246","0.932463383807474","0.932089444994104","0.954756373737126","0.977387268517974","0.993411435610321","0.322","0.36","0.414","0.464","0.458","0.566","0.724","0.878","-1.00899634329524","-0.931005759173715","-0.824581857921891","-0.737600913767988","-0.797769991509928","-0.58996947249807","-0.339407035273348","-0.135242586337063","12"
"18","CALMEM","0.705600563330381","0.681511508735047","0.753168344559931","0.802397085914914","0.837831856055877","0.861944263501775","0.872839653553408","0.890822556152212","0.004","0.002","0.004","0.004","0.01","0.022","0.028","0.04","-2.82623684659369","-3.87247015584857","-3.37819252809509","-2.97863109679211","-2.62458165612033","-2.38861603058282","-2.31768362760912","-2.08441675308302","22"
"19","CAMCUS","0.763600118739884","0.79605237692485","0.809256208108899","0.818663257046954","0.826418171668594","0.833983163102707","0.841131516135844","0.847976571449876","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","-54.6738808890127","-60.0312611771795","-59.7991612207584","-60.3860596236864","-60.5331581644526","-60.5848781836741","-60.8354576825625","-60.6919488037464","14306"
"20","CARVIM","0.95946945774735","0.983707585180795","1.00759936354552","1.01735652434548","1.00630047826423","1.00767907656783","1.00347783817392","1.00200310635594","0.384","0.64","0.85","0.602","0.892","0.84","0.946","0.982","-0.889998741301838","-0.462522691016649","0.193812064582246","0.493287162600414","0.158983026818313","0.212747688974883","0.0823327753305022","0.03774581096635","127"
