"","x"
"矮冬青",5
"八角枫",2
"白桂木",90
"白花龙",6
"白蜡树",12
"变叶榕",3
"伯乐树",1
"豺皮樟",4
"赤杨叶",269
"川杨桐",49
"粗糠柴",4
"大叶臭花椒",10
"大叶桂樱",1
"滇粤山胡椒",1
"吊钟花",1
"鼎湖血桐",2
"短梗大参",18
"短梗幌伞枫",5
"多花山竹子",25
"翻白叶树",5
"芬芳安息香",2
"枫香",22
"狗骨柴",4
"谷木叶冬青",12
"观光木",5
"光叶海桐",2
"广东冬青",2
"广东琼楠",6
"海红豆",2
"褐毛杜英",257
"黑面神",2
"红淡比",6
"红鳞蒲桃",22
"红锥",152
"猴欢喜",74
"厚皮香",3
"虎皮楠",72
"华杜英",99
"华南桂",105
"华润楠",327
"黄丹木姜子",82
"黄梨木",25
"黄毛冬青",2
"黄牛奶树",12
"黄杞",4
"黄绒润楠",7
"黄樟",364
"鸡仔木",2
"檵木",29
"金叶含笑",5
"栲",574
"柯",12
"蓝果树",9
"乐昌含笑",1
"楝",54
"亮叶猴耳环",13
"亮叶桦",8
"橉木",3
"岭南山茉莉",26
"罗浮柿",295
"罗浮锥",372
"椤木石楠",133
"毛狗骨柴",8
"毛山矾",2
"毛柿",2
"毛桐",1
"米槠",2661
"密花山矾",17
"密花树",36
"闽楠",116
"木荷",710
"木姜润楠",61
"木姜叶柯",50
"南酸枣",183
"南烛",7
"牛耳枫",2
"刨花润楠",7
"朴树",3
"千年桐",86
"茜树",58
"青冈",11
"全缘桂樱",4
"日本杜英",31
"榕叶冬青",26
"软荚红豆",3
"锐尖山香圆",2
"三花冬青",4
"山苍子",1
"山矾",25
"山桂花",6
"山牡荆",3
"山乌桕",4
"杉木",20
"珊瑚树",6
"深山含笑",47
"石笔木",2
"鼠刺",17
"树参",2
"栓叶安息香",164
"水团花",2
"台湾冬青",166
"台湾榕",2
"桃叶石楠",38
"天料木",4
"铁冬青",4
"秃瓣杜英",3
"弯蒴杜鹃",360
"微毛柃",10
"蚊母树",1
"乌材",2
"细枝柃",24
"显脉新木姜子",38
"腺毛泡花树",1
"腺叶桂樱",1
"香港四照花",226
"香皮树",542
"小果冬青",1
"小果山龙眼",15
"小叶石楠",2
"锈叶新木姜子",4
"鸭公树",259
"杨梅",4
"野漆树",1
"野柿",30
"阴香",36
"硬壳桂",3
"硬壳柯",1
"油茶",1
"油桐",22
"越南山矾",241
"云和新木姜子",13
"柞木",1
"樟叶槭",74
"长花厚壳树",21
"枳椇",6
"中华石楠",2
"钟花樱桃",1
"子凌蒲桃",1
"紫楠",334
