"","x"
"1","矮冬青"
"2","八角枫"
"3","白桂木"
"4","白花苦灯笼"
"5","白花龙"
"6","白蜡树"
"7","薄叶山矾"
"8","扁担杆"
"9","变叶榕"
"10","伯乐树"
"11","茶"
"12","豺皮樟"
"13","常绿荚蒾"
"14","常山"
"15","潮州山矾"
"16","沉水樟"
"17","赤楠"
"18","赤杨叶"
"19","川杨桐"
"20","粗糠柴"
"21","粗叶榕"
"22","大果木姜子"
"23","大叶臭花椒"
"24","大叶桂樱"
"25","大叶新木姜子"
"26","滇粤山胡椒"
"27","吊钟花"
"28","鼎湖血桐"
"29","冬青"
"30","短梗大参"
"31","短梗幌伞枫"
"32","短序润楠"
"33","多花山竹子"
"34","二列叶柃"
"35","二色波罗蜜"
"36","翻白叶树"
"37","芬芳安息香"
"38","枫香"
"39","钩毛紫珠"
"40","狗骨柴"
"41","谷木叶冬青"
"42","观光木"
"43","光叶海桐"
"44","光叶红豆"
"45","光叶山矾"
"46","广东冬青"
"47","广东琼楠"
"48","海红豆"
"49","褐毛杜英"
"50","黑面神"
"51","红淡比"
"52","红鳞蒲桃"
"53","红锥"
"54","猴欢喜"
"55","厚皮香"
"56","厚叶冬青"
"57","虎皮楠"
"58","华杜英"
"59","华南桂"
"60","华南木姜子"
"61","华南蒲桃"
"62","华南青皮木"
"63","华南云实"
"64","华南皂荚"
"65","华润楠"
"66","黄丹木姜子"
"67","黄花倒水莲"
"68","黄梨木"
"69","黄毛冬青"
"70","黄牛奶树"
"71","黄杞"
"72","黄绒润楠"
"73","黄檀"
"74","黄樟"
"75","灰毛大青"
"76","鸡仔木"
"77","檵木"
"78","尖脉木姜子"
"79","金叶含笑"
"80","栲"
"81","柯"
"82","蓝果树"
"83","老鼠矢"
"84","乐昌含笑"
"85","雷公鹅耳枥"
"86","黧蒴锥"
"87","楝"
"88","两广梭罗"
"89","亮叶猴耳环"
"90","亮叶桦"
"91","橉木"
"92","岭南山茉莉"
"93","柳叶杜茎山"
"94","罗浮柿"
"95","罗浮锥"
"96","椤木石楠"
"97","毛冬青"
"98","毛狗骨柴"
"99","毛果巴豆"
"100","毛山矾"
"101","毛柿"
"102","毛桐"
"103","毛叶冬青"
"104","米槠"
"105","密花山矾"
"106","密花树"
"107","闽楠"
"108","木荷"
"109","木姜润楠"
"110","木姜叶柯"
"111","南酸枣"
"112","南烛"
"113","牛耳枫"
"114","刨花润楠"
"115","枇杷叶紫珠"
"116","朴树"
"117","千年桐"
"118","茜树"
"119","青冈"
"120","青檀"
"121","全缘桂樱"
"122","全缘火棘"
"123","日本杜英"
"124","绒毛润楠"
"125","榕叶冬青"
"126","肉花卫矛"
"127","软荚红豆"
"128","锐尖山香圆"
"129","三花冬青"
"130","三尖杉"
"131","山苍子"
"132","山矾"
"133","山桂花"
"134","山黄麻"
"135","山橘"
"136","山牡荆"
"137","山乌桕"
"138","山血丹"
"139","杉木"
"140","珊瑚树"
"141","深山含笑"
"142","石笔木"
"143","鼠刺"
"144","树参"
"145","栓叶安息香"
"146","水团花"
"147","穗序鹅掌柴"
"148","台湾冬青"
"149","台湾榕"
"150","台湾相思"
"151","桃叶石楠"
"152","天料木"
"153","铁冬青"
"154","秃瓣杜英"
"155","弯蒴杜鹃"
"156","微毛柃"
"157","微毛山矾"
"158","尾叶樱桃"
"159","蚊母树"
"160","乌材"
"161","乌药"
"162","五列木"
"163","细叶台湾榕"
"164","细枝柃"
"165","细轴荛花"
"166","显脉新木姜子"
"167","腺毛泡花树"
"168","腺叶桂樱"
"169","香港四照花"
"170","香港鹰爪花"
"171","香皮树"
"172","小果冬青"
"173","小果山龙眼"
"174","小腊"
"175","小叶石楠"
"176","小叶五月茶"
"177","锈叶新木姜子"
"178","鸭公树"
"179","鸭脚木"
"180","延平柿"
"181","盐肤木"
"182","杨梅"
"183","野漆树"
"184","野柿"
"185","野鸦椿"
"186","异株木樨榄"
"187","阴香"
"188","映山红"
"189","硬壳桂"
"190","硬壳柯"
"191","油茶"
"192","油桐"
"193","越南山矾"
"194","云和新木姜子"
"195","云南越桔"
"196","柞木"
"197","樟叶槭"
"198","长花厚壳树"
"199","栀子"
"200","枳椇"
"201","中华石楠"
"202","钟花樱桃"
"203","竹叶榕"
"204","子凌蒲桃"
"205","紫麻"
"206","紫楠"
