,allsp,cbl
1,矮冬青,AM
2,八角枫,AM
3,白桂木,AM
4,白花苦灯笼,NM-AM
5,白花龙,AM
6,白蜡树,AM
7,薄叶山矾,AM
8,扁担杆,AM
9,变叶榕,AM
10,伯乐树,AM
11,茶,AM
12,豺皮樟,AM
13,常绿荚蒾,AM
14,常山,AM
15,潮州山矾,AM
16,沉水樟,AM
17,赤楠,AM
18,赤杨叶,AM
19,川杨桐,AM
20,粗糠柴,AM
21,粗叶榕,AM
22,大果木姜子,AM
23,大叶臭花椒,AM
24,大叶桂樱,AM
25,大叶新木姜子,AM
26,滇粤山胡椒,AM
27,吊钟花,AM
28,鼎湖血桐,AM
29,冬青,AM
30,短梗大参,AM
31,短梗幌伞枫,AM
32,短序润楠,AM
33,多花山竹子,AM
34,二列叶柃,AM
35,二色波罗蜜,AM
36,翻白叶树,AM
37,芬芳安息香,AM
38,枫香,AM
39,钩毛紫珠,AM
40,狗骨柴,AM
41,谷木叶冬青,AM
42,观光木,AM
43,光叶海桐,AM
44,光叶红豆,AM
45,光叶山矾,AM
46,广东冬青,AM
47,广东琼楠,AM
48,海红豆,AM
49,褐毛杜英,AM
50,黑面神,AM
51,红淡比,AM
52,红鳞蒲桃,AM
53,红锥,EcM
54,猴欢喜,AM
55,厚皮香,AM
56,厚叶冬青,AM
57,虎皮楠,AM
58,华杜英,AM
59,华南桂,AM
60,华南木姜子,AM
61,华南蒲桃,AM
62,华南青皮木,AM
63,华南云实,AM
64,华南皂荚,AM
65,华润楠,AM
66,黄丹木姜子,AM
67,黄花倒水莲,AM
68,黄梨木,AM
69,黄毛冬青,AM
70,黄牛奶树,AM
71,黄杞,EcM
72,黄绒润楠,AM
73,黄檀,AM
74,黄樟,AM
75,灰毛大青,AM
76,鸡仔木,AM
77,檵木,AM
78,尖脉木姜子,AM
79,金叶含笑,ErM
80,栲,AM
81,柯,EcM
82,蓝果树,AM
83,老鼠矢,AM
84,乐昌含笑,AM
85,雷公鹅耳枥,AM
86,黧蒴锥,EcM
87,楝,EcM
88,两广梭罗,AM
89,亮叶猴耳环,AM
90,亮叶桦,AM
91,橉木,EcM
92,岭南山茉莉,AM
93,柳叶杜茎山,AM
94,罗浮柿,AM
95,罗浮锥,EcM
96,椤木石楠,AM
97,毛冬青,AM
98,毛狗骨柴,AM
99,毛果巴豆,AM
100,毛山矾,AM
101,毛柿,AM
102,毛桐,AM
103,毛叶冬青,AM
104,米槠,EcM
105,密花山矾,AM
106,密花树,AM
107,闽楠,AM
108,木荷,AM
109,木姜润楠,AM
110,木姜叶柯,EcM
111,南酸枣,AM
112,南烛,ErM
113,牛耳枫,AM
114,刨花润楠,AM
115,枇杷叶紫珠,AM
116,朴树,AM
117,千年桐,AM
118,茜树,AM
119,青冈,EcM
120,青檀,AM
121,全缘桂樱,AM
122,全缘火棘,AM
123,日本杜英,AM
124,绒毛润楠,AM
125,榕叶冬青,AM
126,肉花卫矛,AM
127,软荚红豆,AM
128,锐尖山香圆,AM
129,三花冬青,AM
130,三尖杉,AM
131,山苍子,AM
132,山矾,AM
133,山桂花,AM
134,山黄麻,AM
135,山橘,AM
136,山牡荆,AM
137,山乌桕,AM
138,山血丹,AM
139,杉木,AM
140,珊瑚树,AM
141,深山含笑,AM
142,石笔木,AM
143,鼠刺,AM
144,树参,AM
145,栓叶安息香,AM
146,水团花,AM
147,穗序鹅掌柴,AM
148,台湾冬青,AM
149,台湾榕,AM
150,台湾相思,EcM-AM
151,桃叶石楠,AM
152,天料木,AM
153,铁冬青,AM
154,秃瓣杜英,AM
155,弯蒴杜鹃,ErM
156,微毛柃,AM
157,微毛山矾,AM
158,尾叶樱桃,AM
159,蚊母树,AM
160,乌材,AM
161,乌药,AM
162,五列木,AM
163,细叶台湾榕,AM
164,细枝柃,AM
165,细轴荛花,AM
166,显脉新木姜子,AM
167,腺毛泡花树,AM
168,腺叶桂樱,AM
169,香港四照花,AM
170,香港鹰爪花,AM
171,香皮树,AM
172,小果冬青,AM
173,小果山龙眼,NM
174,小腊,AM
175,小叶石楠,AM
176,小叶五月茶,AM
177,锈叶新木姜子,AM
178,鸭公树,AM
179,鸭脚木,AM
180,延平柿,AM
181,盐肤木,AM
182,杨梅,NM-AM
183,野漆树,AM
184,野柿,AM
185,野鸦椿,AM
186,异株木樨榄,AM
187,阴香,AM
188,映山红,ErM
189,硬壳桂,AM
190,硬壳柯,EcM
191,油茶,AM
192,油桐,AM
193,越南山矾,AM
194,云和新木姜子,AM
195,云南越桔,ErM
196,柞木,AM
197,樟叶槭,AM
198,长花厚壳树,AM
199,栀子,AM
200,枳椇,AM
201,中华石楠,AM
202,钟花樱桃,AM
203,竹叶榕,AM
204,子凌蒲桃,AM
205,紫麻,AM
206,紫楠,AM
