"","allsp","","","","","","","","","","","","","","","","","","","","","","","","","abund"
"1","Èý¼âÉ¼","1.79730613210506","1.43353413684012","1.33538542560242","1.4427794974613","1.38743708661678","1.37913429219019","1.36814238085195","1.38754710182303","0.006","0.02","0.006","0.002","0.002","0.002","0.002","0.002","2.94293609932345","2.54543557239448","2.6132990927467","4.15072402023616","4.03003832203295","4.30856620475829","4.63817232859556","5.27809136819858","3"
"2","Èý»¨¶¬Çà","0.943871592249069","0.956084754554326","0.963427951516095","0.973657614224195","0.98544384208486","0.985877816533699","0.985813883414288","0.987657952323054","0.024","0.01","0.012","0.02","0.12","0.084","0.058","0.076","-2.33012567506601","-2.77808915636104","-2.91804716248411","-2.52033263054896","-1.57923786019954","-1.79195007822571","-1.97514424445588","-1.91308252329096","409"
"3","Á½¹ãËóÂÞ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"4","ÖÐ»ªÊ¯éª","0.833329805151272","0.877628085890987","0.878497892172417","0.890091865379647","0.924840953891093","0.93339229216498","0.946624011179704","0.972176221701855","0.046","0.016","0.012","0.006","0.02","0.016","0.016","0.184","-2.01545349764309","-2.43256512441265","-2.96810169977862","-3.14992677418283","-2.55063371229377","-2.54578833368571","-2.37264125663035","-1.37029367268255","33"
"5","ÎÚ²Ä","1.20688229418654","1.13099528423699","1.22509943571437","1.20228494440904","1.15144959270936","1.10398014565296","1.13118932154146","1.16016574523894","0.216","0.158","0.004","0.002","0.002","0.006","0.002","0.002","1.34665613152844","1.38201323581712","3.10032558777095","3.61612960670853","3.24990358687568","2.55042084255424","3.54098080888214","4.77723689970396","9"
"6","ÎÚÒ©","0.897378482255236","1.12330780247735","1.0742318939239","1.05374859379932","1.00690673881971","0.979245720217555","0.987103765920126","0.999368619208478","0.348","0.06","0.138","0.222","0.816","0.618","0.724","0.986","-0.974371461338276","1.8800106701586","1.47827748345444","1.24451263400381","0.222296018280144","-0.546268413554521","-0.362240600794498","0.0279516487703927","20"
"7","ÀÖ²ýº¬Ð¦",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"8","¶þÁÐÒ¶èÚ","0.930328037159129","0.942219978125739","0.958724501473018","0.969931239898481","0.975504503292201","0.97930899426856","0.984848649759318","0.991135141763053","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.008","-5.77458279539311","-7.27597979160186","-6.54739335016388","-5.73882091185419","-5.39575382542571","-5.2142638080898","-4.30460290632637","-2.77595201162127","1591"
"9","¶þÉ«²¨ÂÞÃÛ","0.8670768564291","1.63355345510862","1.75584904065421","1.75242738976762","1.72922598657128","1.65737532294548","1.67761891702738","1.63569691482936","0.73","0.002","0.002","0.002","0.002","0.002","0.002","0.002","-0.392037378583162","2.83401173343843","4.35905808830803","5.17687257184518","5.84897036375499","5.78241367754082","6.65862833919493","7.02596681592874","2"
"10","ÔÆÄÏÔ½½Û","2.50597448686523","1.70150128032585","1.97143196812366","1.91868898556137","1.94731438137869","1.79484719388","1.72234266618945","1.65869842917801","0.002","0.008","0.002","0.002","0.002","0.002","0.002","0.002","3.95555674736579","2.79114119345897","5.24708731364103","6.21136833177461","7.44294194885554","6.9995179406378","7.26226102420916","7.88600315563647","2"
