"","x"
"凹叶冬青",1367.54345024854
"白背叶",118.8228881404
"白车",21033.9605856104
"白楸",2599.01604036993
"白肉榕",325.154839646544
"白颜树",45443.3340837172
"半枫荷",2181.17636346086
"笔管榕",706.858347057703
"笔罗子",5211.69800878298
"变叶榕",245.248430502487
"布渣叶",410.833925291571
"粗叶榕",779.311327631118
"粗壮润楠",1071.57369219458
"大苞血桐",950.174698078233
"大叶臭椒",932.888084501855
"大叶土蜜树",3914.03960127282
"吊钟花",91.6088417786784
"鼎湖钓樟",2876.97630437792
"鼎湖合欢",418.562243219402
"鼎湖血桐",5756.08889176029
"杜英",246.057390610787
"短序润楠",47436.7453082546
"多花山竹子",188.691908756237
"肥荚红豆",263.744557250497
"橄榄",18165.442705293
"狗骨柴",354.999969855647
"谷木",2304.80588836125
"光叶红豆",37813.1539340575
"光叶山矾",684.089654300811
"光叶山黄皮",3905.83219046531
"广东蒲桃",86.5901475145687
"广东润楠",1752.88500049237
"海红豆",743.552149251632
"荷木",765744.373815218
"褐叶柄果木",2185.51176132281
"黑柃",1275.00752447778
"黑叶谷木",346.62762543383
"红车",89910.1119450477
"红鳞蒲桃",444.880935674851
"红皮紫棱",264902.155917688
"厚壳桂",179840.097997921
"厚皮香",296.880505764235
"虎皮楠",312.290017730093
"华润楠",168701.15280992
"黄果厚壳桂",20736.1529958541
"黄毛榕",1161.41538810561
"黄牛木",349.180169464872
"黄杞",636884.004076916
"黄叶树",42275.0712719938
"嘉赐树",113.097335529233
"假苹婆",2760.65883637876
"降真香",3940.84524058957
"金叶含笑",2846.31436007889
"金叶树",1611.15008443026
"簕党",203.583057934253
"黧蒴",11090.9530405273
"两广梭罗",3231.1280442171
"亮叶猴耳环",800.97260897762
"岭南山竹子",11399.7009125404
"鹿角杜鹃",100.28749148422
"轮叶木姜子",84.948665353068
"罗浮杜鹃",40243.5948615294
"罗浮柿",3188.75581330181
"罗伞树",226.980069221863
"马尾松",139171.070151499
"芒果",206.119894002026
"毛秀柱花",397.183705211724
"密花树",41122.9628521245
"蒲桃",1040.000686026
"青果榕",409.545872303599
"日本杜英",229.658276959048
"绒楠",3891.04314304854
"榕叶冬青",43786.9764810018
"软荚红豆",899.068839585961
"三花冬青",9053.23750559258
"沙坝冬青",37968.2285237657
"山苍子",176.510383241943
"山钓樟",9600.80925113165
"山杜英",2321.65267896613
"山牡荆",1273.6252237102
"山檨叶泡花树",86.5901475145687
"山石榴",176.714586764426
"韶子",8014.11646550959
"鼠刺",540.675949664437
"水石梓",35685.3352441632
"酸味子",254.469004940773
"桃叶石楠",14972.0216269007
"铁冬青",4156.7433417259
"凸脉榕",1838.96809495265
"土沉香",892.165189729697
"臀果木",19130.1265348826
"网脉山龙眼",880.659106635925
"微毛山矾",30568.3562538859
"乌材",3028.42463222585
"乌檀",2745.45352793539
"细齿叶柃",83.3228911548353
"显脉杜英",3409.28776360218
"香皮树",251.649425534176
"小果冬青",1930.04530071452
"小盘木",229.658276959048
"小新木姜",14050.2418998626
"小叶胭脂",39353.2624769538
"肖蒲桃",187498.598348716
"锈叶新木姜",289.670550624247
"鸭脚木",7769.19790223573
"胭脂",550.634798376317
"杨桐",80.1184666481737
"异株木犀榄",81.7128249198705
"鱼骨木",26970.5258071786
"鱼尾葵",10993.8149956783
"越南冬青",784.078694482941
"越南天料木",212.850756262342
"云南银柴",10153.5646245491
"竹节树",4819.88839050431
"锥栗",1723089.95928676
"子凌蒲桃",14075.6467030151
