"","x"
"凹叶冬青",41
"白背算盘子",19
"白背叶",4
"白车",407
"白楸",155
"白肉榕",7
"白颜树",290
"柏拉木",3995
"半枫荷",48
"薄叶胡桐",26
"笔管榕",1
"笔罗子",168
"变叶榕",74
"布渣叶",3
"茶杆竹",19
"豺皮樟",8
"赤楠蒲桃",2
"刺叶葱木",5
"粗毛野桐",15
"粗叶木",48
"粗叶榕",3
"粗壮润楠",48
"大苞血桐",25
"大青",1
"大叶臭椒",17
"大叶土蜜树",80
"吊钟花",46
"鼎湖钓樟",1293
"鼎湖杜鹃",3
"鼎湖合欢",62
"鼎湖血桐",673
"杜英",2
"短序润楠",844
"多花山竹子",10
"肥荚红豆",14
"凤凰润楠",48
"柑桔",5
"橄榄",375
"岗柃",1
"狗骨柴",341
"谷木",1288
"拐枣",1
"光叶海桐",4
"光叶红豆",2752
"光叶山矾",10
"光叶山黄皮",5969
"广东蒲桃",3
"广东润楠",12
"广东山胡椒",4
"鬼灯笼",2
"海红豆",2
"荷木",2290
"褐叶柄果木",1255
"黑柃",553
"黑叶谷木",34
"红背山麻杆",14
"红车",5917
"红鳞蒲桃",3
"红皮紫棱",3287
"猴耳环",11
"猴欢喜",2
"厚壳桂",2546
"厚皮香",10
"虎皮楠",3
"华南青皮木",28
"华润楠",507
"华卫矛",1
"黄果厚壳桂",4449
"黄毛榕",53
"黄毛五月茶",1
"黄牛木",8
"黄杞",746
"黄叶树",1852
"黄栀子",32
"嘉赐树",5
"假苹婆",52
"坚荚树",2
"降真香",226
"金叶含笑",1
"金叶树",164
"九节",902
"簕党",1
"了哥王",7
"黧蒴",263
"荔枝",1
"两广梭罗",181
"亮叶猴耳环",319
"岭南杜鹃",54
"岭南山竹子",612
"柳叶空心花",4
"龙船花",1
"龙眼",1
"鹿角杜鹃",9
"轮叶木姜子",196
"罗浮杜鹃",1404
"罗浮柿",291
"罗伞树",3696
"马尾松",168
"芒果",38
"毛冬青",3
"毛果巴豆",57
"毛果算盘子",9
"毛稔",97
"毛秀柱花",11
"毛叶嘉赐树",38
"密花树",763
"密毛乌口树",41
"木蜡树",6
"破布木",1
"蒲桃",22
"琴叶榕",5
"青果榕",13
"日本杜英",4
"绒楠",236
"榕叶冬青",617
"软荚红豆",33
"三叉苦",62
"三花冬青",183
"沙坝冬青",126
"山苍子",51
"山钓樟",2113
"山杜英",176
"山黄麻",7
"山牡荆",14
"山枇杷",1
"山檨叶泡花树",7
"山石榴",6
"山乌桕",24
"山小桔",4
"韶子",153
"深山含笑",1
"石斑木",1
"疏花卫矛",304
"鼠刺",77
"栓叶安息香",1
"水石梓",1578
"水同木",13
"酸味子",105
"桃金娘",1
"桃叶石楠",142
"铁冬青",15
"凸脉榕",6
"土沉香",26
"臀果木",114
"网脉山龙眼",68
"微毛山矾",92
"乌材",249
"乌榄",7
"乌檀",8
"五列木",1
"五月茶",7
"细齿叶柃",1
"细轴荛花",19
"狭叶山黄麻",3
"显脉杜英",344
"腺柄山矾",3
"腺叶野樱",28
"香港大沙叶",19
"香皮树",4
"香叶树",1
"小果冬青",2
"小盘木",119
"小新木姜",1327
"小叶五月茶",42
"小叶胭脂",417
"肖蒲桃",1526
"斜基粗叶木",2
"新木姜",4
"锈叶新木姜",273
"鸭公树",7
"鸭脚木",198
"胭脂",2
"杨桐",3
"异株木犀榄",5
"映山红",15
"鱼骨木",605
"鱼尾葵",38
"越南冬青",13
"越南山矾",1
"越南山龙眼",5
"越南天料木",45
"云开红豆",3
"云南银柴",3722
"窄叶半枫荷",3
"长花厚壳树",1
"长叶卫矛",1
"长叶玉兰",12
"长叶竹柏",5
"桢桐",2
"中华杜英",1
"猪肚木",25
"竹节树",747
"锥栗",2294
"子凌蒲桃",401
"紫麻",1
