"","x"
"ACETUT",94192.0046356599
"ADIMIL",271.064311053729
"ADIPIL",9223.79535615414
"ALNCHI",334.551421813247
"ALNFOR",57444.7568821101
"ALTCHI",1364751.39826217
"ANTMON",2949.51520751042
"ARDELE",24.1051262717291
"ARDQUI",156.202028771709
"ARTHYP",21129.5905089061
"ARTSTY",570623.305177913
"BAEFRU",55.2559809274804
"BEIFOR",15608.4919622361
"BEITSA",20873.1508614335
"BETLUM",1253.66048093646
"BRESIN",287.107403717999
"BRIMON",3658.2610234344
"CAMCAU",781.647258848695
"CAMCOR",46.6731497978731
"CAMSEM",6544.18104939801
"CAMSIN",830.941360857641
"CANALB",45309.8005308967
"CARBRA",134.168782855023
"CARDIP",558.165195966972
"CASCAR",980913.595061
"CASEYR",220566.597826189
"CASFAB",24652.2100493893
"CASFIS",6374.76186909375
"CASFOR",57892.875857333
"CASHEN",20141.8255551702
"CASNIG",1372388.00783827
"CASVIL",1932.92708365566
"CINAPP",337.399903872257
"CINBUR",153652.514021384
"CINCUS",18808.5272712616
"CINPAR",268151.570230264
"CLEOBS",89.5611516870685
"CORSIN",12253.5330170296
"CRAPIN",218.51536197603
"CRASCL",64182.9926960037
"CRYCON",153784.401693813
"CYCCHU",515859.399211967
"CYCHUI",204005.809098576
"DAPCAL",905.785250520071
"DAPOLD",151030.130870428
"DENJAP",21151.5657924383
"DIOMOR",65887.7276054519
"DIOSTR",3104.24280830998
"DIPDUB",232.869691509364
"DISRAC",84648.7993918051
"ELACHI",16571.3387455215
"ELADEC",580351.404694785
"ELASYL",430.052618349907
"ENGFEN",226930.401977186
"ENGROX",4091.97579634059
"ENKSER",189.649466197051
"ERIFRA",5784.09516924943
"EUOLAX",58.697831298937
"EURACM",26863.0726570108
"EURHEB",33910.892163643
"EURNIT",10520.3066111068
"EVOLEP",1152.67838331653
"EXBTON",35842.4342761773
"FICHIR",25.2496870152482
"FICVAR",10298.4786752971
"FICVIR",53.8456414454676
"FORHIN",1558.48128359282
"GARJAS",115.206051058138
"GARMUL",106661.531965101
"GLOWRI",1560.55316394787
"HARVIL",28551.669833316
"HELCOC",4654.87042442809
"HELKWA",35.7847038197962
"HELRET",1257.60804918533
"HETBRE",12158.262256314
"HOMCOC",7052.1752463066
"HUOBIA",473.015075984992
"ILECHA",9726.89330237229
"ILEDAS",2464.62679625045
"ILEMEM",80189.2962107434
"ILEPUB",25.7868993590121
"ILEROT",1912.74415727212
"ILESUB",178.881735916688
"ILETRI",429.328559783071
"ILLDUN",1497.59226995783
"ITECHI",212949.683444208
"IXORET",624569.656187838
"LAUPHA",675.370163890773
"LINCHU",23834.6133101861
"LINMET",87393.0314685167
"LITACU",40615.6331020621
"LITCOR",90.4202201981927
"LITELO",674209.888586641
"LITGRE",17262.8420087061
"LITHAI",18355.8100254114
"LITLAN",273.428752224637
"LITLIT",44839.5948241422
"LITLOH",88226.9192505844
"LITROT",23613.1071520039
"LITUVA",8013.93794450705
"LORCHI",908.375964901853
"MACBRE",143235.960078458
"MACCHI",199703.938706121
"MACLIT",28745.94765089
"MACSAM",14784.833912707
"MACVEL",7880.24464170015
"MANFOR",33487.6906520122
"MANKWA",103712.860903536
"MELFOR",53508.699271645
"MELRIG",26243.0856300101
"MELSQU",31212.6311693109
"MICFOV",119235.031795669
"MICGRA",64.9936615165473
"MICSKI",4705.76485373478
"MYRRUB",36593.465772139
"MYTLAO",91239.8595223994
"NEOAUR",811.279860314782
"NEOCHU",2566.12034515438
"NEOPHA",184041.561753991
"OLEDIO",24734.419403028
"ORMFOR",21239.1633701771
"ORMGLA",43757.2735078603
"ORMPAC",264069.748139919
"PENEUR",28755.6111113526
"PHOPRU",10606.825523008
"PINMAS",2995062.76974236
"PITCLY",2282.05243232873
"PITGLA",211.219170117701
"PITLUC",16455.3396779378
"POLPLA",20829.3930310784
"PYRSPE",6023.33004163423
"QUEBAM",37706.2790725574
"QUEFLE",89226.5398681365
"QUELIT",241414.444258355
"RANCAN",52395.3972964893
"RAPNER",87146.1576565151
"REEPUB",98344.3717388194
"REHMAC",9670.45082043937
"RHOMOU",50.5171240289892
"RHOSIM",416.599847368337
"SAPDIS",14032.5896049014
"SAUTRI",373.669669597767
"SCHCHI",8327.36301966288
"SCHOCT",14257.7878413099
"SCHSUP",459879.705685542
"SINWIG",8214.14308348035
"SLOSIN",9863.99507612871
"STYFAB",18739.5918534426
"SYMADE",36952.0537549643
"SYMANO",14365.5234206573
"SYMCON",26146.16616147
"SYMDEN",112.532555709933
"SYMGLA",656.644543799418
"SYMHAI",2533.06764884596
"SYMLAN",23119.6104627138
"SYMLAU",130249.740895768
"SYMPSU",978.781019764209
"SYMWIK",44278.2340786678
"SYZACU",56126.6796931479
"SYZCHA",1443.15797258889
"SYZHAN",18545.152243847
"TERGYM",24483.064973044
"TERKWA",984.591866615921
"TETGLA",2245.35713787829
"TOXVER",11434.9184803464
"TSOODO",3054.33059794644
"TURARG",31.8690227363619
"VITQUI",14338.2840844747
"WIKNUT",20.3481741571174
"XANHAI",327445.927142264
"ZANAVI",1058.19325638386
"ZANMYR",6387.40041779932
"ZIZJUJ",96739.8832445314
