"","x"
"ACETUT",1089
"ADIMIL",4
"ADIPIL",314
"ALNCHI",17
"ALNFOR",427
"ALTCHI",3394
"ANTMON",6090
"ARDELE",298
"ARDPUN",57
"ARDQUI",7312
"ARTHYP",129
"ARTSTY",3302
"BAEFRU",21
"BAUPUR",1
"BEIFOR",489
"BEITSA",222
"BETLUM",11
"BLACOC",240
"BREFRU",6
"BRESIN",6
"BRIMON",151
"CALKOC",14
"CALMAC",9
"CALSPE",15
"CAMCAU",2301
"CAMCOR",366
"CAMOLE",7
"CAMSEM",338
"CAMSIN",358
"CANALB",851
"CAPVER",1
"CARBRA",18
"CARDIP",154
"CASCAR",2942
"CASEYR",641
"CASFAB",506
"CASFIS",372
"CASFOR",188
"CASHEN",101
"CASNIG",896
"CASVIL",455
"CINAPP",192
"CINBUR",710
"CINCUS",407
"CINPAR",1216
"CLEFOR",45
"CLEOBS",6
"CORSIN",1032
"CRAPIN",2
"CRASCL",1337
"CROLAC",155
"CRYCON",23336
"CUNLAN",1
"CYCCHU",1189
"CYCHUI",902
"CYCMYR",1
"DAPCAL",2
"DAPOLD",1446
"DENDEN",92
"DENJAP",234
"DICFEB",20
"DIOMOR",2957
"DIOSTR",354
"DIPDUB",327
"DIPFRU",3
"DISRAC",3927
"ELACHI",576
"ELADEC",2848
"ELASYL",3
"ENGFEN",1741
"ENGROX",149
"ENKSER",84
"ERIFRA",146
"EUNJAP",2
"EUOKWA",7
"EUOLAX",236
"EURACM",1403
"EURAUR",73
"EURHEB",1322
"EURJAP",4
"EURNIT",495
"EUSJAP",10
"EVOLEP",973
"EXBTON",107
"FICERE",1
"FICHIR",144
"FICHIS",30
"FICVAR",459
"FICVIR",6
"FORHIN",25
"GARJAS",1315
"GARMUL",1348
"GLOERI",26
"GLOWRI",147
"HARVIL",594
"HELCOC",54
"HELKWA",4
"HELRET",244
"HETBRE",831
"HOMCOC",372
"HUOBIA",10
"ILECHA",32
"ILEDAS",93
"ILEFRA",1
"ILEMEM",1411
"ILEPUB",369
"ILEROT",17
"ILESUB",428
"ILETRI",122
"ILLDUN",561
"ITECHI",6804
"IXORET",1380
"LASCHI",154
"LAUPHA",1318
"LINCHU",5252
"LINMET",578
"LITACU",3994
"LITCOR",3
"LITELO",8521
"LITGRE",1597
"LITHAI",125
"LITLAN",4
"LITLIT",1472
"LITLOH",1295
"LITROT",1075
"LITUVA",1465
"LORCHI",15
"MACBRE",6250
"MACCHI",754
"MACLIT",217
"MACSAM",481
"MACVEL",2296
"MAEINS",78
"MANFOR",1234
"MANKWA",1361
"MELFOR",866
"MELMAL",196
"MELRIG",264
"MELSQU",739
"MICFOV",263
"MICGRA",703
"MICSKI",129
"MYRRUB",228
"MYTLAO",305
"NEOAUR",52
"NEOCHU",107
"NEOPHA",14438
"OLEDIO",679
"ORMFOR",347
"ORMGLA",1339
"ORMPAC",1585
"PENEUR",156
"PHOPRU",292
"PINMAS",2700
"PITCLY",45
"PITGLA",237
"PITLUC",938
"POLPLA",944
"PREMIC",638
"PSYRUB",31
"PTEHET",14
"PYRSPE",342
"QUEBAM",994
"QUEFLE",226
"QUELIT",3204
"RANCAN",3585
"RAPNER",5256
"REEPUB",1113
"REHMAC",283
"RHOMOU",2
"RHOSIM",426
"RHOTOM",625
"SAPDIS",175
"SAUTRI",36
"SCHCHI",388
"SCHOCT",710
"SCHSUP",3400
"SINWIG",3102
"SLOSIN",582
"STELAN",1
"STYFAB",234
"SYMADE",1247
"SYMANO",933
"SYMCAU",10
"SYMCON",1305
"SYMDEN",3
"SYMGLA",86
"SYMHAI",144
"SYMLAN",1171
"SYMLAU",1749
"SYMPSU",26
"SYMWIK",238
"SYZACU",1364
"SYZCHA",364
"SYZHAN",1798
"SYZREH",1
"TARMOL",673
"TERGYM",1209
"TERKWA",2
"TETGLA",10
"TOXVER",134
"TRETOM",4
"TSOODO",33
"TURARG",679
"VERSOL",3
"VIBSEM",7
"VITQUI",179
"WENUVA",9
"WIKNUT",361
"XANHAI",6447
"ZANAVI",15
"ZANMYR",57
"ZIZJUJ",222
