"","x"
"1","ACETUT"
"2","ADIMIL"
"3","ADIPIL"
"4","ALNCHI"
"5","ALNFOR"
"6","ALTCHI"
"7","ANTMON"
"8","ARDELE"
"9","ARDPUN"
"10","ARDQUI"
"11","ARTHYP"
"12","ARTSTY"
"13","BAEFRU"
"14","BAUPUR"
"15","BEIFOR"
"16","BEITSA"
"17","BETLUM"
"18","BLACOC"
"19","BREFRU"
"20","BRESIN"
"21","BRIMON"
"22","CALKOC"
"23","CALMAC"
"24","CALSPE"
"25","CAMCAU"
"26","CAMCOR"
"27","CAMOLE"
"28","CAMSEM"
"29","CAMSIN"
"30","CANALB"
"31","CAPVER"
"32","CARBRA"
"33","CARDIP"
"34","CASCAR"
"35","CASEYR"
"36","CASFAB"
"37","CASFIS"
"38","CASFOR"
"39","CASHEN"
"40","CASNIG"
"41","CASVIL"
"42","CINAPP"
"43","CINBUR"
"44","CINCUS"
"45","CINPAR"
"46","CLEFOR"
"47","CLEOBS"
"48","CORSIN"
"49","CRAPIN"
"50","CRASCL"
"51","CROLAC"
"52","CRYCON"
"53","CUNLAN"
"54","CYCCHU"
"55","CYCHUI"
"56","CYCMYR"
"57","DAPCAL"
"58","DAPOLD"
"59","DENDEN"
"60","DENJAP"
"61","DICFEB"
"62","DIOMOR"
"63","DIOSTR"
"64","DIPDUB"
"65","DIPFRU"
"66","DISRAC"
"67","ELACHI"
"68","ELADEC"
"69","ELASYL"
"70","ENGFEN"
"71","ENGROX"
"72","ENKSER"
"73","ERIFRA"
"74","EUNJAP"
"75","EUOKWA"
"76","EUOLAX"
"77","EURACM"
"78","EURAUR"
"79","EURHEB"
"80","EURJAP"
"81","EURNIT"
"82","EUSJAP"
"83","EVOLEP"
"84","EXBTON"
"85","FICERE"
"86","FICHIR"
"87","FICHIS"
"88","FICVAR"
"89","FICVIR"
"90","FORHIN"
"91","GARJAS"
"92","GARMUL"
"93","GLOERI"
"94","GLOWRI"
"95","HARVIL"
"96","HELCOC"
"97","HELKWA"
"98","HELRET"
"99","HETBRE"
"100","HOMCOC"
"101","HUOBIA"
"102","ILECHA"
"103","ILEDAS"
"104","ILEFRA"
"105","ILEMEM"
"106","ILEPUB"
"107","ILEROT"
"108","ILESUB"
"109","ILETRI"
"110","ILLDUN"
"111","ITECHI"
"112","IXORET"
"113","LASCHI"
"114","LAUPHA"
"115","LINCHU"
"116","LINMET"
"117","LITACU"
"118","LITCOR"
"119","LITELO"
"120","LITGRE"
"121","LITHAI"
"122","LITLAN"
"123","LITLIT"
"124","LITLOH"
"125","LITROT"
"126","LITUVA"
"127","LORCHI"
"128","MACBRE"
"129","MACCHI"
"130","MACLIT"
"131","MACSAM"
"132","MACVEL"
"133","MAEINS"
"134","MANFOR"
"135","MANKWA"
"136","MELFOR"
"137","MELMAL"
"138","MELRIG"
"139","MELSQU"
"140","MICFOV"
"141","MICGRA"
"142","MICSKI"
"143","MYRRUB"
"144","MYTLAO"
"145","NEOAUR"
"146","NEOCHU"
"147","NEOPHA"
"148","OLEDIO"
"149","ORMFOR"
"150","ORMGLA"
"151","ORMPAC"
"152","PENEUR"
"153","PHOPRU"
"154","PINMAS"
"155","PITCLY"
"156","PITGLA"
"157","PITLUC"
"158","POLPLA"
"159","PREMIC"
"160","PSYRUB"
"161","PTEHET"
"162","PYRSPE"
"163","QUEBAM"
"164","QUEFLE"
"165","QUELIT"
"166","RANCAN"
"167","RAPNER"
"168","REEPUB"
"169","REHMAC"
"170","RHOMOU"
"171","RHOSIM"
"172","RHOTOM"
"173","SAPDIS"
"174","SAUTRI"
"175","SCHCHI"
"176","SCHOCT"
"177","SCHSUP"
"178","SINWIG"
"179","SLOSIN"
"180","STELAN"
"181","STYFAB"
"182","SYMADE"
"183","SYMANO"
"184","SYMCAU"
"185","SYMCON"
"186","SYMDEN"
"187","SYMGLA"
"188","SYMHAI"
"189","SYMLAN"
"190","SYMLAU"
"191","SYMPSU"
"192","SYMWIK"
"193","SYZACU"
"194","SYZCHA"
"195","SYZHAN"
"196","SYZREH"
"197","TARMOL"
"198","TERGYM"
"199","TERKWA"
"200","TETGLA"
"201","TOXVER"
"202","TRETOM"
"203","TSOODO"
"204","TURARG"
"205","VERSOL"
"206","VIBSEM"
"207","VITQUI"
"208","WENUVA"
"209","WIKNUT"
"210","XANHAI"
"211","ZANAVI"
"212","ZANMYR"
"213","ZIZJUJ"
