"","allsp","","","","","","","","","","","","","","","","","","","","","","","","","abund"
"1","ACETUT","0.967482210687221","0.971618729806222","0.96641467392302","0.97162207764132","0.975128976425761","0.980050505314141","0.982753736950771","0.98433516410979","0.102","0.026","0.002","0.004","0.004","0.014","0.022","0.026","-1.72059239695746","-2.11210317207551","-2.94512800938966","-2.88645052196687","-2.83167960789294","-2.4852922576542","-2.33022802584722","-2.31426930300441","1089"
"2","ADIMIL","1.5518578784186","1.30506150223542","1.35414118886294","1.22130787576341","1.26035106527282","1.25753048504621","1.29388460124498","1.29824725449343","0.098","0.152","0.06","0.156","0.08","0.054","0.014","0.006","1.87293720000408","1.50687332256393","2.06967556291537","1.48894998740327","1.96250813340247","2.140182195717","2.70331666217479","3.08728079514294","4"
"3","ADIPIL","0.948478046159763","0.951776245003046","0.958100527555371","0.965764397384026","0.974930783888408","0.985557823907224","0.988841538135932","0.991022068384622","0.12","0.038","0.038","0.056","0.134","0.354","0.428","0.494","-1.47171634972366","-1.93444709323253","-1.99341270340967","-1.8528731619266","-1.49564232832236","-0.9458635021201","-0.788244800158941","-0.685944842671236","314"
"4","ALNCHI","1.00358670370853","1.10212120799229","1.13916425008065","1.11755163693079","1.09836928294026","1.07271191955159","1.0453391578752","1.02884808565321","0.9","0.36","0.162","0.16","0.204","0.304","0.456","0.596","0.00569354263403798","0.859595567914032","1.45757179840447","1.42585432463983","1.34157885297195","1.09721379338611","0.738362314477242","0.507704229095413","17"
"5","ALNFOR","1.11232139942203","1.09334192065639","1.06614249783315","1.04463254012593","1.02848043948235","1.01597211223928","1.0076596161729","1.00121272323257","0.004","0.002","0.002","0.012","0.044","0.232","0.524","0.928","3.68874812720635","4.29935547361371","3.65991110539466","2.80007208673961","1.97678834188267","1.20327914729438","0.614388336605708","0.0791319823328562","427"
"6","ALTCHI","0.959969829624018","0.9627524340316","0.966370990716028","0.967090487744335","0.968397057809048","0.967504971960187","0.967036316747178","0.966926705712833","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","-3.60897968062666","-4.78579783866624","-5.15771249872455","-5.7145089559509","-6.14447763735845","-6.97617190423236","-7.77528465095681","-8.45826267133552","3394"
"7","ANTMON","0.922205479483505","0.938332222768254","0.948860443905533","0.956973317586277","0.963000260743766","0.967316550799805","0.970721943819768","0.974061561245282","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","-9.73575798318107","-10.6322772394239","-10.6590437991954","-10.209880843767","-9.8168776968761","-9.54542300119216","-9.38352100857633","-8.96797795292793","6090"
"8","ARDELE","0.770644959706664","0.816574358837277","0.838373097707214","0.857692081227863","0.884708152146369","0.898167667316591","0.911104317261072","0.923344542874905","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","-6.65624160474454","-7.24788255752303","-7.72147618496476","-7.72768033540956","-6.99690282235632","-6.78438981070492","-6.48401320068843","-6.00447019643905","298"
"9","ARDPUN","1.02789001204063","1.06937547822894","1.04252015817702","1.03111055424953","1.02546306849021","1.02700321246159","1.03076167421367","1.03402443943456","0.704","0.16","0.272","0.384","0.44","0.37","0.246","0.174","0.366479046581287","1.38898038951152","1.05355421708402","0.89110834652827","0.804848015597845","0.929572999368304","1.1353937177975","1.34511890465853","57"
"10","ARDQUI","1.46219314662433","1.29317712710108","1.20477789531859","1.15587644676752","1.12449410508844","1.10189248204136","1.08497381342137","1.07210226894199","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","64.2166763669876","56.7948241766975","47.1308415600715","40.6192844255364","35.6117792592384","31.8943418803243","29.2143600535231","27.088678814668","7312"
