"","allsp","","","","","","","","","","","","","","","","","","","","","","","","","abund"
"1","ACETUT","0.982232922009529","0.990353531529042","0.988848454764025","0.994895885143964","0.996058191025248","0.996321945478856","1.00046689647667","1.00163738648908","0.268","0.394","0.196","0.47","0.526","0.478","0.87","0.632","-1.05046462852135","-0.877934377601622","-1.31871007675866","-0.738981758416489","-0.668137756811221","-0.732699033377549","0.155919710955015","0.467771516089422","1089"
"2","ADIMIL","1.71745788827191","1.41272881193091","1.50342788196255","1.40907987485841","1.41198516195744","1.33728275154607","1.33984858579568","1.32307193112343","0.016","0.012","0.002","0.002","0.002","0.002","0.002","0.002","2.76024409348094","2.59428412813759","4.08084141064421","4.07085165409856","4.67947996586004","4.17527377808194","4.49224872837059","4.74792303570009","4"
"3","ADIPIL","1.00612642749725","1.0273222355514","1.02783761470987","1.02781075614765","1.03858093956965","1.04274734678568","1.04335908863742","1.04746629089986","0.838","0.16","0.062","0.018","0.002","0.002","0.002","0.002","0.185694733122498","1.43767385669326","1.92394792028661","2.32429335223767","3.85895347359179","4.88224073859598","5.50368698925518","6.64228825623774","314"
"4","ALNCHI","1.06645651976103","1.12796990759782","1.18642052050761","1.15205699011983","1.13167188187616","1.11645764672998","1.10878308258829","1.1045716371622","0.59","0.114","0.004","0.002","0.002","0.004","0.002","0.002","0.522260717141919","1.631133862429","3.11397581140062","3.10248331205592","3.13578302428924","3.14268570885249","3.37101850005366","3.6517173436595","17"
"5","ALNFOR","1.12748806684619","1.09257880899772","1.07298626069801","1.05888392200554","1.04570550786903","1.02963651834026","1.01935758451285","1.01551769890725","0.002","0.002","0.002","0.002","0.002","0.002","0.01","0.022","4.64964258702402","5.34781985333525","5.42006031756103","5.37663419169236","4.92901168366089","3.6776763550142","2.70657906501547","2.41387146314093","427"
"6","ALTCHI","0.96217074359487","0.965843182776348","0.968916434348511","0.974335528651073","0.980600741425031","0.985335644437885","0.987529098520419","0.990752935056087","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","-3.98886356892683","-5.6271545881872","-6.84503492399748","-6.78117709347336","-5.93563416686811","-5.11635138464575","-4.78913346721363","-3.84860207510557","3394"
"7","ANTMON","0.974304926756355","0.992419918357741","0.999164249781694","1.00208742021637","1.00265220388239","1.0038407278585","1.00387043643854","1.00385563986085","0.002","0.086","0.816","0.402","0.222","0.062","0.028","0.024","-3.89437128089053","-1.73004216363731","-0.207706985652948","0.820531000386562","1.21664841959241","1.97134219078957","2.25879805693217","2.50597955408909","6090"
"8","ARDELE","0.867866520761327","0.909705888841312","0.924749413356691","0.946646019413639","0.974541000396756","0.991170996364644","1.00420379127635","1.00722638889482","0.002","0.002","0.002","0.002","0.008","0.204","0.59","0.268","-4.73185176028114","-5.05168636896204","-5.53063824846141","-4.75837725185194","-2.84010828056115","-1.21562716833332","0.536935594813895","1.11082907032224","298"
"9","ARDPUN","1.01849634586635","1.06343060410702","1.00952511833968","1.00974723562969","1.012247795654","1.00872728523105","1.00265107253196","0.997941932398036","0.744","0.092","0.764","0.71","0.588","0.642","0.854","0.89","0.28665674543955","1.61240690113296","0.313302337694643","0.36471521448823","0.526146853237832","0.437920589527799","0.146042106780844","-0.145007027968178","57"
"10","ARDQUI","1.07827507009933","1.04130572950895","1.0254648853167","1.02190476707146","1.0184678874666","1.01388437149458","1.00971234353049","1.00859768712012","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","13.1677095919592","10.9720517548155","8.74860388368575","9.17823154347917","9.06172608012697","7.87921718745052","6.29258675166843","6.33634909267719","7312"
"11","ARTHYP","0.857967208703374","0.894405330961779","0.911309297285635","0.936733246061551","0.956443722757019","0.975602381637716","0.98775009462578","0.994639566186154","0.008","0.004","0.002","0.002","0.012","0.13","0.374","0.67","-2.74129436020381","-3.23369354358671","-3.64750313477487","-3.16266417634078","-2.50214911203592","-1.6031744195366","-0.88026164264571","-0.415210971271666","129"
"12","ARTSTY","0.993137311803043","1.00669184847583","1.00818106647625","1.00664030176835","1.0069040088203","1.0062431998858","1.00543335525175","1.00419190077658","0.508","0.276","0.094","0.096","0.046","0.038","0.04","0.078","-0.706933993585678","1.1041951363557","1.79205677301613","1.74041425468048","2.08306036255603","2.18425948881282","2.12341954775325","1.78965475486336","3302"
"13","BAEFRU","0.727107594755934","0.735631736864036","0.746030408850366","0.822958215429576","0.888594053741284","0.942236513183432","1.0044560923492","1.03537892802457","0.008","0.002","0.002","0.002","0.002","0.072","0.938","0.214","-2.3937271039814","-3.82634152472378","-4.76436889850517","-4.17141202900579","-3.05248671139115","-1.82750118202813","0.07722920104316","1.2333523069834","21"
"14","BAUPUR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"15","BEIFOR","0.981139637001809","0.99206655920979","0.998747204694098","1.01052712615671","1.00957970194396","1.00916112910928","1.00557892900032","1.00030354891745","0.426","0.616","0.962","0.292","0.252","0.208","0.36","0.862","-0.80921638682959","-0.509677159407936","-0.0764255451721437","1.11145344143517","1.18025493459382","1.31220460307611","0.923085096881935","0.123015519860473","489"
"16","BEITSA","0.966938271019159","0.943647955258498","0.96270404843733","0.975545245938792","0.994932618198113","1.00278604379443","1.0109998422202","1.01025992543781","0.384","0.026","0.048","0.1","0.648","0.83","0.234","0.208","-0.900391864037361","-2.436601393849","-2.11141916989421","-1.70260815095171","-0.444817195000549","0.246036531412801","1.21526708533652","1.27281631844515","222"
"17","BETLUM","1.17054864481023","1.02190259252848","0.995154595295675","1.05984357268832","1.02025717305463","1.01544910399178","1.0209636447245","1.03057008896235","0.378","0.82","0.936","0.366","0.71","0.748","0.616","0.458","0.935941969281246","0.178545647773137","-0.0827199552815255","0.897270336569327","0.359093231750224","0.301585514125841","0.467176357482898","0.778722950444975","11"
"18","BLACOC","0.749015305454913","0.803492469642765","0.841225294386114","0.875877811456939","0.932624133771781","0.975153699271229","0.994766040145575","1.00284631680589","0.002","0.002","0.002","0.002","0.002","0.008","0.548","0.67","-7.51543006431123","-9.29995349410092","-9.53480371504127","-9.38752283648214","-6.04132829598655","-2.66767826303498","-0.62693399328373","0.414061159932546","240"
"19","BREFRU","1.17706637829545","1.14414132930731","1.18100380705452","1.15893443625977","1.13061771609993","1.15973510770384","1.12101623091925","1.14311349555157","0.326","0.276","0.05","0.028","0.03","0.004","0.012","0.004","0.899246524310113","1.1276249448789","1.95655010437426","2.22124112418858","2.22617969781306","3.21451064010731","2.72814684695499","3.52776266929155","6"
"20","BRESIN","0.936692827511499","1.11126201206448","1.15423294841949","1.24193717777774","1.26102377965659","1.25394391063566","1.24206812642122","1.2457701056653","0.91","0.444","0.164","0.01","0.002","0.002","0.002","0.002","-0.265794441044775","0.794914484627863","1.42198028254957","2.66049615865788","3.33604732129336","3.66539476948524","3.88826970107036","4.43628453972031","6"
"21","BRIMON","0.868408183000065","0.920166822278534","0.925333226568497","0.96218793917873","0.98374448801135","0.997145217847014","1.00521830475886","1.01332472886725","0.002","0.002","0.002","0.03","0.254","0.784","0.628","0.184","-3.29877296318689","-2.92944353988418","-3.46682827433657","-2.12406029927522","-1.10950284669284","-0.260998865550888","0.446655786098476","1.33266405043555","151"
"22","CALKOC","0.729202795773857","0.902234861707298","0.995302337762568","1.03974741381344","1.07804172350023","1.0989872800325","1.11243406337576","1.13324065228792","0.022","0.232","0.918","0.43","0.054","0.004","0.002","0.002","-2.12093875816498","-1.18725652765281","-0.0952211985415852","0.801644726011865","1.87478120177996","2.73996639164618","3.58700484046508","4.90215673714589","14"
"23","CALMAC","0.470415478221509","0.765594128740222","0.885954485230568","0.970677843065543","1.04063562906237","1.12750878696468","1.1531223027182","1.17115999655698","0.002","0.034","0.168","0.666","0.448","0.004","0.002","0.002","-3.0331191470755","-2.17888996968121","-1.34827338326321","-0.419409129455437","0.775855685868436","2.87264914796781","4.05466665766403","5.20638188265423","9"
"24","CALSPE","1.37092219323884","1.21184373907519","1.10494552962845","1.07883517355645","1.07067207148679","1.06320804221838","1.05010402443107","1.08081087213532","0.004","0.008","0.064","0.09","0.072","0.068","0.102","0.002","3.17045290108949","2.82836858229833","1.87690302063238","1.7361868654558","1.82298344315079","1.87749802377928","1.70272501078999","3.02890595479559","15"
"25","CAMCAU","0.990245937753047","1.00642797498954","1.00472730630536","1.00126262374291","1.00198532783654","1.00139307619339","1.00117080768958","1.00009251793024","0.408","0.386","0.4","0.794","0.608","0.722","0.718","0.992","-0.881240304508916","0.930805528726147","0.846495882574784","0.251675843731838","0.505019413998639","0.380007620697766","0.335045648069871","-0.0334857306477791","2301"
"26","CAMCOR","0.950961006650755","0.951306435587599","0.964698233354893","0.975117787684967","0.981525032451969","0.988210239524721","0.996964344616275","1.00253924362324","0.066","0.002","0.006","0.028","0.05","0.15","0.676","0.632","-1.87480381404579","-2.85378922051415","-2.66195329137212","-2.27888992275547","-2.01680351980778","-1.47774588698272","-0.414730107284858","0.450647930029824","366"
"27","CAMOLE","0.742728927320935","1.03948305362988","1.18785483357853","1.35418636275944","1.32170038717675","1.31607982193148","1.27793228313002","1.24026208223344","0.162","0.648","0.014","0.002","0.002","0.002","0.002","0.002","-1.40227985510055","0.39141347611309","2.44304432070959","5.73033934575088","5.99641315550988","6.54765825769805","6.14901628148946","5.5047938225834","7"
"28","CAMSEM","0.903089980413681","0.967556923674816","0.972725731745806","0.981097725965377","0.982805131193262","0.981154811785077","0.986304454851125","0.990760085611037","0.002","0.06","0.048","0.108","0.092","0.022","0.064","0.176","-3.49705719649446","-1.84077170301412","-1.9305664501919","-1.61943716045398","-1.7412862964221","-2.22852678863695","-1.81841901391056","-1.35912939139297","338"
"29","CAMSIN","0.852415397859231","0.951390511426588","0.995979375914811","1.00860520238751","1.0196519793603","1.02072777603795","1.02115932151797","1.01855019498348","0.002","0.004","0.796","0.424","0.042","0.01","0.004","0.006","-5.45572693836993","-2.78730670341453","-0.269183889862033","0.804623047210896","2.05175372089321","2.4457498909398","2.83367360640807","2.79126884275571","358"
"30","CANALB","0.954935094498008","0.981805874864803","0.987563216104792","0.998498565296535","1.00820062062339","1.01486421575746","1.01334740213346","1.01339983116986","0.01","0.118","0.14","0.76","0.158","0.002","0.002","0.002","-2.66621998700293","-1.70462922330469","-1.5195843557232","-0.2569289205226","1.40914767011054","2.95886493232846","3.01811761103338","3.33816559287536","851"
"31","CAPVER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"32","CARBRA","0.820629337386219","1.03901183872633","1.14645356266475","1.14575751930271","1.11398960165683","1.14328355579727","1.12451807809328","1.13663557638041","0.152","0.594","0.02","0.004","0.008","0.002","0.002","0.002","-1.46913730838626","0.530744420984841","2.49944335202522","3.00381606420297","2.75600897104777","4.14503570862437","4.14627641485705","5.04251531386234","18"
"33","CARDIP","0.970761515845219","0.990957863732203","0.973759674055899","1.00847951745217","1.00194498030924","1.00422230137783","0.999739507162485","1.00330674698028","0.514","0.708","0.226","0.626","0.888","0.722","0.97","0.704","-0.673407868937506","-0.319595056848467","-1.25301084941888","0.484119186027358","0.1313708023402","0.347682227948451","-0.044232314760946","0.349488024390454","154"
"34","CASCAR","1.0570161271941","1.04157326506306","1.0350408540796","1.02764087397172","1.0244359202839","1.01874452235661","1.01593877497043","1.01431505711212","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","5.95009496278337","6.58757333452911","7.36355132664762","7.11747729522461","7.41072638466294","6.37329567902998","6.02091161263361","5.91128847244205","2942"
"35","CASEYR","1.01060364900685","1.01454482528972","1.02510801695444","1.02205761602465","1.00805770029396","1.00258551270705","0.998608369521983","0.998408153016849","0.606","0.284","0.014","0.01","0.242","0.704","0.81","0.76","0.476423172046779","1.10638102694894","2.49439722912129","2.64053841029401","1.14316843916517","0.441370876278016","-0.234837829250326","-0.29394388507702","641"
"36","CASFAB","1.07984872310755","1.06430998932338","1.05436366554306","1.05376965045752","1.04234986673594","1.04029825449272","1.03627592914835","1.03715283649344","0.004","0.002","0.002","0.002","0.002","0.002","0.002","0.002","3.33158384574942","4.45053717991656","5.0147067193431","5.99310765481798","5.601925598682","6.20819999994417","6.30953732309405","7.14184778240285","506"
"37","CASFIS","1.0817221785205","1.05771670175505","1.05395804680927","1.05610915397788","1.05711368434047","1.06252143506792","1.05831789579259","1.0570322688678","0.004","0.002","0.002","0.002","0.002","0.002","0.002","0.002","3.04482650688668","3.36227813546076","4.10849665560783","5.30344791183626","6.29529101972544","7.88701408164279","8.41485275554073","9.11583054431746","372"
"38","CASFOR","1.08259061425389","1.03720255960183","1.03830190198092","1.05441899894234","1.05259630341439","1.05696989001553","1.06513424955419","1.06505763254149","0.034","0.138","0.042","0.002","0.002","0.002","0.002","0.002","2.03547024159962","1.45500527349604","2.02231803108115","3.63730382113912","4.17285869422498","5.28894028781411","6.56143573432691","7.20572068635895","188"
"39","CASHEN","1.2241009819311","1.07803680855862","1.05128327665337","1.02175631961306","0.995433639997026","0.99661712185791","0.988152364782829","0.987721592877446","0.002","0.014","0.038","0.28","0.764","0.83","0.422","0.35","4.39723373614162","2.48300119708057","2.1171557056471","1.06024805919182","-0.272098121727527","-0.217416090625487","-0.821097000801092","-0.935476611902216","101"
"40","CASNIG","1.03344132887512","0.979383165280419","0.975034257601098","0.969467790462541","0.969442322867417","0.975667238283809","0.982481477770098","0.986007798096202","0.072","0.092","0.008","0.002","0.002","0.002","0.002","0.006","1.76505835369451","-1.7547581712725","-2.81814154391261","-4.21276496100327","-4.84876723144367","-4.37195143779649","-3.4900650699728","-3.09758823853502","896"
"41","CASVIL","0.880712384088275","0.939834758154183","0.970400017405007","0.985445701949724","0.999145616472543","1.01295187719736","1.0204160035803","1.02367502965223","0.002","0.002","0.002","0.118","0.924","0.07","0.004","0.002","-5.20555691859543","-4.0130057549022","-2.59684943594046","-1.55253665237251","-0.108300969133972","1.89799696592967","3.37519081383803","4.29756755628174","455"
"42","CINAPP","0.997212585078967","0.993785074506968","1.01008678669219","1.03034954084608","1.03518947131822","1.03821022821538","1.03864792444929","1.04723167288496","0.97","0.734","0.64","0.056","0.006","0.002","0.002","0.002","-0.0761831541187865","-0.317005645991288","0.466605098401563","1.9391438541197","2.67117580338712","3.33565636084758","3.85204832204811","5.32787127751405","192"
"43","CINBUR","1.02934630673897","0.999248156127073","0.997004664286015","0.990967711886126","0.98705627985751","0.985284519925896","0.980440067496952","0.980069987127736","0.15","0.944","0.762","0.24","0.05","0.022","0.002","0.002","1.51317341077541","-0.0516965154108366","-0.326753687803173","-1.18741157154268","-1.95082138867547","-2.46219650228045","-3.57174862810335","-4.00043991525802","710"
"44","CINCUS","1.01010452376715","1.02492364579689","1.014741075051","1.01199289628853","1.01288376857499","1.019005663881","1.02112254110188","1.01760058025805","0.7","0.12","0.232","0.25","0.146","0.008","0.002","0.004","0.36393808744714","1.53487303688319","1.19306221644627","1.21470972985422","1.51612772279514","2.55544949290935","3.1670661192128","2.94513311639039","407"
"45","CINPAR","1.00700519137904","1.01203910363899","1.01209489486686","1.01133679789409","1.00917672209587","1.0069824499896","1.00985538637122","1.00864974493252","0.67","0.23","0.102","0.08","0.092","0.14","0.016","0.016","0.447973119883925","1.17821547992034","1.55948897433431","1.7646891320524","1.68986718069638","1.47808043992798","2.39821754477885","2.30353097794886","1216"
