"","x"
"Acerfabr",2133.25136753035
"Acerlaur",46666.5681612638
"Acropedu",63649.1069847007
"Adinhain",145160.33590399
"Alnifort",47906.4762418194
"Alsehain",1259673.1594082
"Alsopodo",3577.7478156693
"Alstrost",731535.392418037
"Altiobov",826169.163807114
"Antimacl",13473.1834798362
"Apoddimi",33859.7871690887
"Aquisine",929.911425462579
"Archclyp",422.732707467043
"Archluci",2794.10109017623
"Archutil",437.435361085843
"Ardidens",5599.4255201074
"Ardiobtu",777.960442790074
"Artostyr",222250.103030581
"Beilglau",88403.6475818167
"Beilinte",29958.9579649242
"Beillaev",168816.827036824
"Beiltsan",55474.0467275477
"Beiltung",493645.734299539
"Breyrost",3372.54683751845
"Bridbala",9178.56349052591
"Canaalbu",416479.335874146
"Canapime",20178.99153874
"Cantsimi",32428.1712508295
"Carabrac",63711.6325324888
"Casevelu",346.360590058275
"Castcarl",433756.75243803
"Castfabr",20399.1779138485
"Castfiss",266676.660651964
"Casthyst",23614.9985478609
"Castjian",194458.569107277
"Castledo",47042.7503195863
"Casttonk",180049.701525477
"Chiorami",80248.5757079221
"Cinnburm",62879.4246385528
"Cinnpart",17179.7680102292
"Cinnrigi",396041.642034364
"Cinnsuba",5167.67644172456
"Cleyobsc",94295.7046036243
"Craiscle",401.149965936881
"Crypchine",447706.287757948
"Crypching",36847.0726455158
"Cyclblak",46693.4523403969
"Cycledit",174078.036545827
"Cyclfleu",181180.062270202
"Cyclhui",14931.2123383305
"Cyclnegl",82362.5848204492
"Cyclpate",820155.338654053
"Cyclphan",146412.456925987
"Dacrimbr",199983.444633714
"Dacrpect",341055.751681294
"Daphpaxi",333157.387197106
"Dasyrost",2770.9554063009
"Decamont",2164.79295777239
"Dendhain",13953.5408505517
"Dillturb",111104.214902016
"Dioseria",1955.58644898821
"Diosmorr",41063.7261591456
"Diospoti",1261.05099911421
"Diossusa",28018.4982845631
"Dipldubi",709.787882207176
"Distrace",19760.8848264554
"Dysogota",1577.73924655933
"Dysohong",7364.16806937166
"Ehrelong",43924.2091020922
"Elaedubi",25991.7861778976
"Elaehowi",37590.3263434653
"Elaenite",819.398049890924
"Elaepoil",37982.9311773845
"Elaesylv",57522.4122615781
"Endochin",198825.068736501
"Engeroxb",139523.627533066
"Engespic",18037.8469196675
"Engeunij",26488.2442109627
"Eriodefl",26131.7676925599
"Ficualti",44873.299950705
"Ficuform",314.159265358979
"Ficutuph",333.291564619341
"Ficuvasc",41078.5152065624
"Garcmult",39745.3960719749
"Garcoblo",13502.5887870738
"Gardhain",1512.80252640963
"Girosuba",1124993.32582224
"Gloccocc",28038.4316899501
"Glyccoch",1353.46094701955
"Hanchook",3102.18137375051
"Helicoch",3262.76388223875
"Helilong",1439.3520901687
"Heyntrij",2394.43552676817
"Homapani",4717.15634723651
"Homaphan",768.001594078195
"Hopehain",5938.78035854817
"Ilexcoch",3302.32438772908
"Ilexfico",9174.82499526814
"Ilexgosh",342580.350888118
"Ilexhain",844.962760109511
"Ilexkobu",1901.95946239143
"Ilexkwan",1727.56965419066
"Ilexnucu",716.314540945009
"Ilexpube",10895.930822574
"Ilexsubf",6894.05229070685
"Illitern",979.242284105572
"Iteamacr",323.654729154455
"Ixonreti",1772.05460616549
"Lasihirs",829.576810088555
"Lindkwan",12306.1289329174
"Lindrobu",27912.9407714024
"Lithamyg",951130.700430684
"Lithfene",25645.7476010863
"Lithfenz",1625221.06586818
"Lithhanc",7713.01837160791
"Lithhand",25021.4581629466
"Lithhowi",12102.1296139566
"Lithlong",102578.59217463
"Lithpseu",285521.567016375
"Litsbavi",28632.5382766704
"Litselon",737.685224971053
"Litsvert",5745.44674664626
"Livisari",3001121.63166815
"Machchin",9184.99590148414
"Machcica",198197.629851726
"Machmont",37471.9825482046
"Machrobu",4402.05460408146
"Maclolig",42662.4355366677
"Madhhain",685037.71627783
"Mangford",258686.326042842
"Meliangu",23011.1608778961
"Melisqua",9252.50087362815
"Memeligu",4059.75452252795
"Michbala",36869.6292807686
"Michmedi",455209.188558903
"Micrchun",13320.1565016799
"Myrssegu",785.311769599474
"Neolelli",222272.981679081
"Neoloblo",791.241525733125
"Neolovat",1513.69002633427
"Neolpulc",24042.8049274635
"Nephtope",508137.217914146
"Oleabrac",795.985330640046
"Oleahain",806.839533258199
"Oleatsoo",12659.3303409789
"Ormobala",50653.1785528346
"Ormoford",6293.89028414669
"Ormosemi",130860.363777546
"Ormoxylo",1337.72156782507
"Osmadidy",92689.53394355
"Osmamarg",3356.66608665455
"Paralotu",597455.524489093
"Penteury",64820.8267967101
"Pertmetc",45668.9789760613
"Phoehung",57809.5773920611
"Photprun",50733.2734575378
"Platlati",9513.22164794957
"Platparv",234129.650805031
"Podoneri",14344.6141580522
"Polycamb",136649.745697452
"Polyhain",63664.3515630523
"Polylaui",7666.19293310615
"Poutanna",209539.195592212
"Pristetr",1354.41127879727
"Psycasia",2513.91814936582
"Psyddico",2891.51402438241
"Pygetope",32141.3202796118
"Pyrejonq",5527.20030500137
"Rauvvert",1052.08796376069
"Reevthyr",190288.756740112
"Rhamlong",1209.85089284233
"Rhapferr",4365.16445234668
"Rhoddumehain",7424.97359518189
"Sarclaur",159303.77817647
"Schehept",200101.898384718
"Schisupe",733878.714232331
"Schiwall",518.747632942381
"Sclewall",12342.3750581582
"Sloasine",140388.437304765
"Streindi",32746.0611574646
"Sympaden",13189.9531941518
"Sympanom",27483.587157418
"Sympcong",2213.44837399486
"Sympglau",2798.41292609328
"Symplanc",17356.2077076365
"Symppseu",25740.5373054267
"Sympsumu",404.707819617071
"Sympviri",23811.6151240859
"Sympwiks",3254.58003337615
"Syzyacum",50205.4466218266
"Syzyarai",13842.3598865412
"Syzybuxi",23965.7652216159
"Syzycham",201244.181473563
"Syzyglob",49068.1743732638
"Syzyhanc",76339.6176327665
"Syzyjien",1196.35775239516
"Syzyteph",1685.91213560406
"Terngymn",31306.5441336816
"Tetrglab",3126.03391597289
"Toxivern",55327.0987311761
"Triacoch",3334.32150890589
"Turpmont",415.47562843725
"Unidentified",1052.51207876892
"Vibupunc",19715.1589453824
"Wenduvar",323.654729154455
"Xanthain",644940.563930415
