"","allsp","","","","","","","","","","","","","","","","","","","","","","","","","abund"
"1","Acerfabr","0.93163535320116","0.994360108981049","0.978030093347279","0.958508227344871","0.969983844931603","0.982201354113549","0.989601492814903","0.999937236763405","0.288","0.92","0.524","0.132","0.176","0.316","0.476","0.934","-1.06994235988655","-0.134897031935705","-0.661897347543645","-1.51208920390954","-1.3556026602735","-0.978148079290468","-0.679668296671254","-0.0597999575074519","61"
"2","Acerlaur","1.11501986088456","1.08486837122577","1.05969852818355","1.0470068159653","1.03641431051958","1.02978107742669","1.02316191616733","1.01833699278524","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","10.4324579824606","11.9937412903833","11.3075194633856","11.1433430006375","10.5941054690484","10.2789800878259","9.45320221707792","8.54465311020019","1666"
"3","Acropedu","1.10186108978284","1.06779432596773","1.05045585777027","1.03758252805109","1.02843769196285","1.02020292552304","1.01619756961449","1.01157048596385","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","8.76394415535768","9.23564426631462","9.02046827716215","8.4465120812951","7.82082826476351","6.57469294187135","6.11297943421889","4.93036289870663","1647"
"4","Adinhain","1.07768079916419","1.07101722792587","1.05809402916617","1.04940843351268","1.04225102751139","1.03567054007032","1.03018552301687","1.02680576056407","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","7.4205285712654","10.7640937022301","11.6163220851766","12.4208254545343","12.7350192709792","12.7381336796224","12.6874816704738","12.9443583886816","1931"
"5","Aidicant","1.02868496147205","1.02558160490812","1.02243892686088","1.0184284317975","1.01560837769212","1.01372748037779","1.01159342639038","1.01024763016001","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","3.89607475955061","5.32879540515785","6.45939447777446","6.76159162100846","7.07072600751234","7.50557246774949","7.26274917514837","7.2366524065523","3882"
"6","Allobala","0.850201391048217","0.905992967837121","0.941785295710561","0.968446225280561","0.990651800467688","1.00826477130044","1.01639120824431","1.02536332079838","0.002","0.002","0.002","0.006","0.304","0.238","0.01","0.002","-5.56851627589126","-5.29098473783091","-4.2556649065704","-2.89849629057727","-1.03434656738652","1.12450970260555","2.64260288567363","4.87485570745746","305"
"7","Alnifort","0.992926165592331","0.994129292397102","1.00979381242574","1.01593847523318","1.02033337438205","1.0293821591193","1.03512740495253","1.03221009572082","0.894","0.852","0.68","0.384","0.172","0.024","0.004","0.004","-0.167968580832632","-0.201094025549306","0.417450476891502","0.857026615274765","1.35415913272616","2.32945584022213","3.26759478715839","3.40623905775746","128"
"8","Alsehain","1.03551349175453","1.02567989937929","1.01874975209431","1.01729537961936","1.01588458576384","1.01372043975354","1.01256490739725","1.01134802985878","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","5.14209945271872","5.97508962212677","5.8397687608892","7.06101003082704","7.7731026287924","8.01221297562877","8.5227065378245","8.98052492230363","5100"
"9","Alsopodo","0.729051313957696","0.86714997174557","0.907114363367488","0.932415074020068","0.952599765201171","0.965588033071106","0.981311049259687","0.992210812406814","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.048","-11.320457653653","-8.67880587972019","-8.24920583866194","-7.68839582491657","-6.78724350367755","-5.93579595290618","-3.82745896853237","-1.81740190887354","453"
"10","Alstrost","0.988962892833653","0.992237656611723","0.991945786688605","0.994809760278757","0.998071147183778","1.00026759990522","1.00378079879585","1.00497123650368","0.334","0.298","0.142","0.222","0.622","0.93","0.138","0.014","-0.94632973207023","-1.0672824520418","-1.48764754946581","-1.22833073364553","-0.533417298241194","0.0956500965287449","1.53179528804801","2.3397373128496","1910"
"11","Altiobov","0.974918306753276","0.972771366579768","0.971477853670369","0.974635790680033","0.978241658803018","0.981071571485365","0.985197490167621","0.988497211919485","0.04","0.006","0.002","0.002","0.002","0.002","0.002","0.002","-2.13353565803373","-3.62580918772422","-5.09105104239239","-5.63911472931548","-5.85105272921442","-6.22726684376958","-5.65698230753585","-5.11767129580764","1720"
