"","x"
"ALCFLO",5248765.49556908
"ALCLAT",10823880.6648647
"ANDINE",2574421.99588751
"ANTOBT",59981.4153713591
"ARDGLA",156692.619880494
"ARTALT",183084.165869579
"BEIPEN",29926.2539854004
"BRUPOR",95.0331777710912
"BUCTET",44410753.391862
"BYRSPI",14849934.678971
"BYRWAD",406364.711290538
"CALCAL",2657071.17249778
"CALSQU",179696.735736864
"CASARB",27043023.7439429
"CASDEC",314.159265358979
"CASGUI",5714.62772271454
"CASSYL",4925926.24532768
"CECSCH",14877066.525561
"CEIPEN",2107.41176795457
"CESMAC",4892.47292527009
"CHIDOM",6957093.95504402
"CHOVEN",360350.109998692
"CHRARG",4308.10527577585
"CINELO",2392.07933227797
"CINMON",38223.9541657679
"CITAUR",4512.61510354291
"CITCAU",1523.0833883685
"CITFRU",3048.9392322538
"CLUCLU",79922.9025054877
"COCPYR",69019.4632764716
"COCSPP",129307.435258968
"COCSWA",1620109.04274032
"COFARA",5250.56736388952
"COMGLA",4857.71120255812
"CORBOR",1226231.04698241
"CORSUL",3680827.68822172
"CROPOE",3358756.07043726
"CSSGUI",140284.285654317
"CUPAME",13273.2289614169
"CYRRAC",1282591.32914355
"DACEXC",72312809.4714896
"DAPPHI",2297.14825626812
"DENARB",1337207.9645501
"DITMYR",213.824649984955
"DRYALB",13446.3778405195
"DRYGLA",3784322.77722118
"EUGDOM",226686.479534403
"EUGSTA",1486878.86566842
"FAROCC",284718.081133275
"FICAME",1909353.98609982
"FICCIT",2434370.46297891
"FICCRA",1271802.31457296
"FICSPP",4783268.02303866
"FICTRI",3584487.04242005
"GENAME",265172.340425719
"GONSPI",994.620380144895
"GUAGLA",459523.506334151
"GUAGUI",32836630.3755484
"GUAULM",235952.457840515
"GUEVAL",3206370.73901845
"GUTCAR",1262168.52645295
"HENFAS",43324.5890202648
"HIBTIL",58461.8584207443
"HIRRUG",955137.57409487
"HOMRAC",16286359.0325521
"INGLAU",31205752.1495411
"INGVER",3436507.34702095
"IXOFER",563831.820153939
"LAEPRO",2709513.98286768
"LONLAT",331954.031547075
"MAGSPL",67244.2199537627
"MALFUR",3368.40778919734
"MANBID",36542058.3443139
"MANIND",1059801.35912341
"MARNOB",1758722.66869136
"MATDOM",13448948.4015844
"MAYELO",33158.2616755605
"MELHER",239713.871016695
"MICAFF",14717.2777326027
"MICIMP",28571.2850739071
"MICMIR",3807.18618114259
"MICPRA",211078.575992471
"MICTET",2003934.32685184
"MIRCHR",59311.6042556689
"MIRGAR",447078.385488257
"MYRDEF",502283.488322713
"MYRFAL",920.879346583508
"MYRLEP",237138.464045117
"MYRSPL",1280932.93735959
"OCHPYR",32912.1100371701
"OCOFLO",348741.131891532
"OCOGLO",36305.030103047
"OCOLEU",5327903.78530933
"OCOMOS",1070243.76963051
"OCOPOR",22957.8244886198
"OCOSIN",3827898.92927318
"ORMKRU",5671752.02801456
"OXALAU",344674.34020146
"PALRIP",270632.043612558
"PIPAMA",343.069771753639
"PIPBLA",8330.18424840562
"PIPGLA",9637.88789842564
"PIPHIS",419.135583878682
"PISBOR",521681.09508267
"PLEMAC",66051.9855417254
"PREMON",80577319.7857595
"PSESPU",734645.608414999
"PSYBER",733169.444712912
"PSYBRA",323955.882226228
"PSYGRA",16474.87315858
"PTEOFF",439889.73034646
"QUATUR",3696.05234102186
"RHEPOR",25216.9987436876
"RONPOR",91539.6089305749
"ROYBOR",5101962.96279126
"SAMSPI",36160.5168409819
"SAPLAU",6985664.97308255
"SCHMOR",10797629.5951911
"SIMAMA",878.075146678347
"SLOBER",22214990.3346611
"SPACAM",452.38934211693
"SWIMAC",67420.2669520883
"SYMMAR",36544.3801933424
"SYZJAM",488830.128292521
"TABHET",15896721.534996
"TERLUQ",11882.28881404
"TETBAL",5125960.13608543
"TETURB",172.033613710577
"TREMIC",39236.5208939464
"TRIPAL",1539411.43919442
"TUROCC",608.997735898382
"UREBAC",89744.1416051585
"VITDIV",804.247719318987
"XYLSCH",346.360590058275
"ZANMAR",2157230.42954287
