,sp,luq
1,ALCFLO,AM
2,ALCLAT,AM
3,ANDINE,AM
4,ANTOBT,AM
5,ARDGLA,AM
6,ARTALT,AM
7,BEIPEN,AM
8,BUCTET,AM
9,BYRSPI,AM
10,BYRWAD,AM
11,CALCAL,AM
12,CALSQU,AM
13,CASARB,AM
14,CASDEC,AM
15,CASSYL,AM
16,CECSCH,AM
17,CEIPEN,AM
18,CESMAC,AM
19,CHIDOM,AM
20,CHOVEN,AM
21,CHRARG,AM
22,CINELO,AM
23,CINMON,AM
24,CITAUR,AM
25,CITCAU,AM
26,CITFRU,AM
27,CLUCLU,AM
28,COFARA,AM
29,COMGLA,AM
30,CORBOR,AM
31,CORSUL,AM
32,CROPOE,AM
33,CUPAME,AM
34,CYRRAC,AM
35,DACEXC,AM
36,DAPPHI,AM
37,DENARB,AM
38,DITMYR,AM
39,DRYALB,AM
40,DRYGLA,AM
41,EUGDOM,AM
42,EUGSTA,AM
43,FAROCC,AM
44,FICAME,AM
45,FICCIT,AM
46,FICCRA,AM
47,FICSPP,AM
48,FICTRI,AM
49,GENAME,AM
50,GUAGLA,AM
51,GUAGUI,AM
52,GUAULM,AM
53,GUEVAL,AM
54,GUTCAR,AM
55,HENFAS,AM
56,HIBTIL,AM
57,HIRRUG,AM
58,HOMRAC,AM
59,INGLAU,AM
60,INGVER,AM
61,IXOFER,AM
62,LAEPRO,AM
63,LONLAT,AM
64,MAGSPL,AM
65,MALFUR,AM
66,MANBID,AM
67,MANIND,AM
68,MARNOB,AM
69,MATDOM,AM
70,MAYELO,AM
71,MELHER,AM
72,MICAFF,AM
73,MICIMP,AM
74,MICMIR,AM
75,MICPRA,AM
76,MICTET,AM
77,MIRCHR,AM
78,MIRGAR,AM
79,MYRDEF,AM
80,MYRFAL,AM
81,MYRLEP,AM
82,MYRSPL,AM
83,OCHPYR,AM
84,OCOFLO,AM
85,OCOGLO,AM
86,OCOLEU,AM
87,OCOMOS,AM
88,OCOPOR,AM
89,OCOSIN,AM
90,ORMKRU,AM
91,OXALAU,AM
92,PALRIP,AM
93,PLEMAC,AM
94,PREMON,AM
95,PSESPU,AM
96,PSYBER,AM
97,PSYBRA,AM
98,PSYGRA,AM
99,PTEOFF,AM
100,QUATUR,AM
101,RHEPOR,AM
102,RONPOR,AM
103,ROYBOR,AM
104,SAMSPI,AM
105,SAPLAU,AM
106,SCHMOR,AM
107,SIMAMA,AM
108,SLOBER,AM
109,SPACAM,AM
110,SWIMAC,AM
111,SYMMAR,AM
112,SYZJAM,AM
113,TABHET,AM
114,TERLUQ,AM
115,TETURB,AM
116,TREMIC,AM
117,TRIPAL,AM
118,TUROCC,AM
119,VITDIV,AM
120,XYLSCH,AM
121,ZANMAR,AM
122,COCPYR,EcM
123,COCSPP,EcM
124,COCSWA,EcM
125,PISBOR,EcM
126,CASGUI,NM-AM
127,CSSGUI,NM-AM
128,PIPAMA,NM-AM
129,PIPBLA,NM-AM
130,PIPGLA,NM-AM
131,PIPHIS,NM-AM
132,TETBAL,NM-AM
133,UREBAC,NM-AM
134,BRUPOR,uncertain
135,GONSPI,uncertain
