"","allsp","","","","","","","","","","","","","","","","","","","","","","","","","abund"
"1","ALCFLO","1.01671421048211","1.06773946226897","1.0687843187308","1.0563640409671","1.0484097058629","1.03170486088527","1.02631895410257","1.02638358279621","0.756","0.022","0.006","0.006","0.006","0.026","0.03","0.012","0.324325801620456","2.24356372474661","2.89544614815571","2.91298577239021","2.94072618369669","2.22004443674974","2.10242382259505","2.32901233664092","152"
"2","ALCLAT","1.00427163702797","1.01071691376196","1.0211618924007","1.01844011378749","1.01681262796395","1.0155133593144","1.01199657933173","1.01088691634756","0.904","0.552","0.158","0.136","0.096","0.074","0.116","0.114","0.103898630237469","0.548395671728172","1.44620370573901","1.54548751927706","1.63451719405245","1.72948288924893","1.54405211713946","1.58095723601785","392"
"3","ANDINE","0.989541241651631","1.01326233968049","1.02564662869783","1.01363650237109","1.04252994740956","1.04234832942601","1.03631648793524","1.03859113328577","0.886","0.67","0.31","0.562","0.022","0.018","0.012","0.004","-0.19968480650279","0.395953782391788","1.01380224782505","0.650058660579712","2.30543071628368","2.60798552896787","2.58452968582404","3.08790742169653","147"
"4","ANTOBT","1.16501144555326","1.2227898757555","1.17154511487179","1.17328747731795","1.17079691479293","1.1079568611976","1.09723890240236","1.1158207016264","0.346","0.044","0.028","0.006","0.002","0.028","0.016","0.002","1.0324391584098","2.250836766199","2.19155116568533","2.61201033911992","2.9796330391491","2.15878630423009","2.2097298897979","3.08112902846904","15"
"5","ARDGLA","1.09197514370537","1.0386846467202","1.00585418024404","0.991129879628266","0.996491720091381","1.01383394635621","1.02258882904236","1.03171510438853","0.104","0.226","0.794","0.656","0.846","0.352","0.084","0.006","1.6789403988403","1.15981254010216","0.257043967573271","-0.424933531117322","-0.183829330749526","0.939283737279333","1.68028441763922","2.63290805857708","106"
"6","ARTALT","0.469932798257456","0.688523695599192","0.749920161880162","0.842849737308236","0.852976969184065","0.856563972857908","0.887294832783279","0.916380442233109","0.004","0.002","0.002","0.008","0.006","0.004","0.006","0.026","-3.21324994614343","-3.25311269823138","-3.5017315353844","-2.65830929923815","-2.81332987774397","-3.04077446040554","-2.65376372179948","-2.24267758891687","14"
"7","BEIPEN","1.62786532951289","1.07424714065901","1.36764487573673","1.8118711858429","1.58938712092057","1.49684099036752","1.43762424430067","1.33026610959142","0.332","0.828","0.186","0.004","0.008","0.01","0.008","0.028","1.18220910592291","0.250297584743222","1.46987406039326","3.56056009843089","2.88969942117467","2.68120348255399","2.73288479708787","2.35466773244054","2"
"8","BRUPOR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"9","BUCTET","1.08839737928691","1.08697285790017","1.07389372701444","1.06939117198929","1.06330191645906","1.05180925251286","1.04049021876566","1.02982949144034","0.062","0.002","0.002","0.002","0.002","0.002","0.002","0.004","2.00796625363195","3.39371997615391","3.7034061885973","4.15488805943179","4.41187848327306","4.12827615149974","3.69817447123868","3.15234931503401","188"
"10","BYRSPI","1.09022462428232","1.0922009940058","1.04854537726639","1.03661950394","1.0195926241171","0.997600224177559","0.999533073303656","1.00538468654117","0.014","0.002","0.002","0.008","0.056","0.806","0.966","0.478","2.68725874324552","4.67074436624488","3.32418109605438","2.94928880984111","1.85664197052263","-0.250230539459992","-0.0461703546832267","0.762187826459989","308"
"11","BYRWAD","1.13855091310782","1.072484646157","1.09747851547514","1.05708529725614","1.02558614540385","1.04723257614322","1.04542612894302","1.0416247913378","0.206","0.258","0.026","0.09","0.322","0.038","0.024","0.028","1.37775988308702","1.19301228237953","2.22586244959931","1.70592868428502","0.959585314643814","2.01086935725671","2.23185289147925","2.33835261357923","30"
"12","CALCAL","1.06754136140002","1.00319625718447","1.01445431712571","1.03592774844642","1.03008109572719","1.00864968948611","0.995909058811903","0.99400138071741","0.398","0.936","0.632","0.16","0.178","0.644","0.796","0.684","0.809378668846375","0.0820281333299186","0.425523606824418","1.38445255253349","1.38954790078222","0.472391153074829","-0.232956549188391","-0.40160672800131","66"
"13","CALSQU","0.90518649475181","0.963077193787855","1.03234494728668","1.04907618814741","1.06322428260722","1.07126131104727","1.07913137516228","1.09106419162234","0.426","0.602","0.59","0.34","0.144","0.06","0.016","0.008","-0.825949807210389","-0.566465384668974","0.552029176926153","1.00284035885266","1.43982815447708","1.82475744561969","2.28116129987444","2.867214173745","26"
