"","x"
"凹脉柃",1242.62555820091
"八角枫",61844.4662087359
"白毛椴",51791.7074384588
"百日青",6455.51737219225
"半枫荷",3116.90758931421
"薄叶润楠",58209.5099908447
"薄叶山矾",1644.50594442975
"变叶树参",218.678410634752
"伯乐树",1630.60439693761
"茶梨",755.388099574032
"檫木",1713.3618014148
"赤楠",3405.29008695049
"赤杨叶",328051.772918253
"翅柃",5083.81162583698
"川桂",80222.5633207504
"刺毛杜鹃",1977.499057747
"刺楸",1522.08593270099
"刺叶桂樱",934.026911838781
"楤木",486.208587032824
"大果冬青",299.896434711682
"大果马蹄荷",182004.180563055
"大果卫矛",648.919524543874
"大青",897.395941497924
"大叶新木姜子",2534.97467412651
"灯台树",6418.23452137578
"东方古柯",3845.29370003064
"冬青",20.4282062299676
"杜英",84127.1859980441
"短柄紫珠",28.2743338823081
"短尾越桔",3187.98612310168
"钝齿尖叶桂樱",30.1907054009979
"多花山矾",586.598180278286
"多脉青冈",14603.7641360469
"芬芳安息香",17092.6359379819
"枫香树",100782.00172984
"凤凰润楠",14453.1404762705
"福建柏",22133.6198019688
"福建假卫矛",58.0880481648753
"钩锥",21435.5500603596
"谷木叶冬青",345.370988372394
"光亮山矾",13217.072992734
"光叶山矾",1128.33441746331
"光叶石楠",2314.76473707313
"广东冬青",1147.33319903589
"广东杜鹃",682.126158892318
"广东木瓜红",13700.2813587826
"海通",22955.436878203
"海桐山矾",854.96087872956
"黑柃",3840.65199688496
"黑叶冬青",1559.69079676446
"红淡比",18187.9365086927
"红楠",319324.915473442
"猴欢喜",10405.7088509263
"猴头杜鹃",132.056847193647
"厚边木樨",126.90463524176
"厚皮香",1431.5609403878
"厚叶冬青",39418.8275156342
"厚叶红淡比",3010.65107178817
"厚叶紫茎",83.9512096855533
"虎皮楠",61687.9756246789
"华南青皮木",239.475754001516
"华南吴萸",3994.26016968223
"华南五针松",131754.633834353
"黄丹木姜子",92571.2372721791
"黄棉木",389.557489045134
"黄牛奶树",128.726758980842
"黄樟",63809.1004445664
"尖脉木姜子",3383.27537643046
"尖叶川杨桐",11186.3396474719
"尖叶毛柃",13337.6394647971
"江南越桔",1987.52859229358
"交让木",12686.7407368815
"金毛柯",8635.09937738142
"金叶含笑",29905.598013703
"金叶细枝柃",253.188805934435
"栲",91536.8050591316
"苦树",3375.09152756785
"蓝果树",32255.7763539637
"老鼠矢",1303.91803087244
"乐东拟单性木兰",25931.1612936649
"雷公鹅耳枥",137488.817971336
"里白算盘子",660.731912921371
"楝叶吴萸",3426.16597013359
"亮叶桦",56091.7388211149
"岭南枫",10815.0819356339
"鹿角杜鹃",6577.15198575762
"鹿角锥",71417.0718118199
"罗浮枫",17791.1140866362
"罗浮栲",201666.764955379
"绿冬青",50.2654824574367
"马比木",33.1830724035422
"马尾松",42132.3074843377
"马银花",72150.9557096801
"满山红",41.85386812745
"毛冬青",21.237166338267
"毛桂",997.573477239269
"毛棉杜鹃花",72238.0249500744
"毛山矾",1784.00051223077
"毛桃木莲",5104.27124799348
"毛叶石楠",916.771714188939
"美叶柯",213382.188075624
"木荷",638625.090904738
"木姜润楠",854.913754839756
"木姜子",1877.69851312408
"木莲",237780.087220722
"南方红豆杉",2454.68341988238
"南国山矾",334.548201680777
"南岭黄檀",5222.06526453983
"南岭山矾",123.126870075818
"南酸枣",40474.6304127078
"南烛",379.315896994432
"拟榕叶冬青",2572.71305587775
"刨花润楠",20185.8166487799
"朴树",4190.29555126624
"青冈",254.154845675414
"青榨枫",41535.4205881189
"日本杜英",84489.0503478478
"绒毛石楠",1107.59205196798
"榕叶冬青",14754.8511807396
"山槐",64591.6476126307
"山鸡椒",2752.1372663059
"山桐子",7044.29110538315
"山乌桕",98.5203456165759
"杉木",98631.9271336498
"少叶黄杞",7381.11696173778
"深山含笑",55857.7137303674
"石斑木",592.881365585466
"石灰花楸",677.319522132325
"鼠刺",3067.87518197331
"水青冈",144226.34826206
"酸味子",229.658276959048
"穗花杉",324.919220197524
"穗序鹅掌柴",346.62762543383
"台湾林檎",259.448429296713
"台湾泡桐",36.316811075498
"甜槠",925822.045721327
"铁冬青",5590.18138372421
"微毛山矾",633.706362118865
"五列木",314786.429354397
"西川朴",8329.44597413203
"细脉木樨",1965.12903667349
"细叶青冈",17879.6991454858
"细枝柃",4991.44880182144
"狭叶山矾",19.6349540849362
"显脉冬青",6099.33145110988
"显脉新木姜子",4002.27123094889
"腺毛泡花树",68371.6433093565
"腺叶桂樱",1862.7916559828
"香椿",7638.2327584892
"香港四照花",9239.43970217085
"香桂",17079.6611603226
"香花枇杷",6274.78940081287
"香皮树",3115.77661595892
"香叶树",932.628903107934
"小果冬青",11237.7675192111
"小蜡",249.418894750128
"小叶青冈",43988.0541187948
"新木姜子",1406.18472572843
"锈叶新木姜子",587.132251029396
"蕈树",83275.1468004824
"延平柿",2534.47201930193
"盐肤木",272.619556496888
"杨梅",54788.4805246997
"野漆",34337.0108011323
"野柿",32007.3470608995
"野桐",15235.7033522981
"野鸦椿",2251.05323805833
"异叶榕",22.9022104446696
"银钟花",96108.3721488191
"瘿椒树",80.5268736931404
"硬壳柯",139185.898468824
"羽脉新木姜子",26.4207942166902
"圆锥柯",74107.8537736012
"越南安息香",3562.07912230952
"云和新木姜子",3254.4308077251
"云南桤叶树",1161.65100755463
"云山青冈",118722.412153357
"窄基红褐柃",1087.0224740686
"樟叶泡花树",17436.6638954949
"长苞铁杉",1434.87532063733
"长花厚壳树",9713.59242739552
"长毛山矾",10941.421084198
"长尾毛蕊茶",1518.17464984727
"长尾乌饭",71.2827373099524
"针齿铁仔",126.676869774374
"珍珠花",7497.30091204917
"枝花流苏树",54.1060794764502
"枳椇",19838.7649083378
"中华枫",10701.4897992617
"钟花樱桃",6758.6653553004
"紫楠",6132.08255452355
