"","x"
"矮冬青",2
"矮小天仙果",12
"凹脉柃",187
"八角枫",316
"白毛椴",319
"百日青",368
"半枫荷",19
"薄叶润楠",711
"薄叶山矾",160
"北江荛花",7
"变叶树参",18
"伯乐树",22
"茶",9
"茶梨",30
"檫木",43
"常绿荚蒾",10
"赤楠",1274
"赤杨叶",1692
"翅柃",726
"川桂",761
"刺毛杜鹃",183
"刺楸",6
"刺叶桂樱",80
"楤木",38
"大果冬青",4
"大果马蹄荷",1635
"大果卫矛",36
"大青",30
"大叶新木姜子",339
"单耳柃",23
"倒卵叶紫麻",1
"灯台树",39
"东方古柯",584
"冬青",9
"杜英",1161
"短柄紫珠",13
"短尾越桔",802
"钝齿尖叶桂樱",13
"多花山矾",401
"多脉青冈",123
"芬芳安息香",584
"枫香树",415
"凤凰润楠",2804
"福建柏",615
"福建假卫矛",55
"钩锥",93
"狗骨柴",1
"构棘",15
"谷木叶冬青",78
"冠盖藤",5
"光亮山矾",392
"光叶山矾",160
"光叶石楠",444
"广东冬青",55
"广东杜鹃",518
"广东木瓜红",117
"海通",129
"海桐山矾",186
"黑柃",964
"黑叶冬青",42
"红淡比",1093
"红楠",7141
"红紫珠",2
"猴欢喜",113
"猴头杜鹃",8
"厚边木樨",52
"厚皮香",123
"厚叶冬青",1969
"厚叶红淡比",138
"厚叶厚皮香",4
"厚叶紫茎",36
"虎皮楠",1128
"华南青皮木",38
"华南吴萸",29
"华南五针松",402
"黄丹木姜子",3542
"黄棉木",32
"黄牛奶树",20
"黄樟",453
"尖脉木姜子",325
"尖叶川杨桐",1923
"尖叶毛柃",2464
"江南越桔",241
"交让木",133
"金毛柯",202
"金叶含笑",940
"金叶细枝柃",106
"栲",490
"苦树",32
"蜡瓣花",1
"蜡莲绣球",81
"蓝果树",166
"老鼠矢",785
"乐东拟单性木兰",352
"雷公鹅耳枥",975
"棱果花",24
"里白算盘子",19
"楝叶吴萸",11
"两广杨桐",1
"亮叶桦",311
"岭南枫",320
"鹿角杜鹃",641
"鹿角锥",300
"罗浮枫",655
"罗浮栲",3057
"绿冬青",3
"马比木",11
"马尾松",172
"马银花",8815
"满山红",9
"蔓胡颓子",1
"毛冬青",30
"毛桂",73
"毛棉杜鹃花",3681
"毛山矾",152
"毛桃木莲",80
"毛叶石楠",111
"美叶柯",1452
"密花山矾",1
"木荷",4895
"木姜润楠",60
"木姜子",117
"木莲",2261
"木莓",3
"南方红豆杉",216
"南国山矾",430
"南岭黄檀",64
"南岭山矾",2
"南酸枣",137
"南烛",49
"拟榕叶冬青",395
"刨花润楠",263
"朴树",36
"茜树",15
"青冈",3
"青榨枫",237
"清风藤",1
"日本粗叶木",31
"日本杜英",1447
"日本女贞",1
"绒毛石楠",85
"榕叶冬青",1051
"锐尖山香圆",45
"山槐",276
"山鸡椒",276
"山绿柴",1
"山桐子",172
"山乌桕",1
"杉木",525
"少花柏拉木",2
"少叶黄杞",512
"深山含笑",1186
"石斑木",296
"石灰花楸",16
"鼠刺",1408
"水青冈",925
"水团花",8
"水榆花楸",1
"酸味子",10
"穗花杉",8
"穗序鹅掌柴",159
"台湾林檎",5
"台湾泡桐",1
"甜槠",6755
"铁冬青",214
"微毛柃",6
"微毛山矾",46
"五列木",13463
"西川朴",205
"细脉木樨",447
"细叶青冈",378
"细枝柃",5047
"狭叶海桐",1
"狭叶山矾",6
"狭叶山黄麻",1
"显脉冬青",476
"显脉新木姜子",234
"腺柄山矾",4
"腺毛泡花树",1162
"腺叶桂樱",245
"香椿",36
"香港四照花",296
"香桂",579
"香花枇杷",889
"香皮树",82
"香叶树",225
"小果冬青",56
"小蜡",15
"小叶青冈",1184
"新木姜子",203
"星毛鸭脚木",8
"锈叶新木姜子",1009
"蕈树",992
"延平柿",164
"盐肤木",11
"杨梅",767
"野漆",754
"野柿",815
"野桐",174
"野鸦椿",16
"异叶榕",92
"银钟花",1393
"瘿椒树",2
"硬壳柯",2970
"羽脉新木姜子",7
"圆锥柯",2371
"圆锥绣球",4
"越南安息香",118
"云和新木姜子",210
"云南桤叶树",68
"云山青冈",1717
"窄基红褐柃",305
"樟叶泡花树",557
"长苞铁杉",14
"长花厚壳树",128
"长毛山矾",683
"长尾毛蕊茶",679
"长尾乌饭",7
"针齿铁仔",15
"珍珠花",661
"枝花流苏树",24
"栀子",27
"枳椇",113
"中国旌节花",28
"中国绣球",8
"中华枫",154
"钟花樱桃",164
"朱砂根",68
"紫楠",209
