"","x"
"1","矮冬青"
"2","矮小天仙果"
"3","凹脉柃"
"4","八角枫"
"5","白毛椴"
"6","百日青"
"7","半枫荷"
"8","薄叶润楠"
"9","薄叶山矾"
"10","北江荛花"
"11","变叶树参"
"12","伯乐树"
"13","茶"
"14","茶梨"
"15","檫木"
"16","常绿荚蒾"
"17","赤楠"
"18","赤杨叶"
"19","翅柃"
"20","川桂"
"21","刺毛杜鹃"
"22","刺楸"
"23","刺叶桂樱"
"24","楤木"
"25","大果冬青"
"26","大果马蹄荷"
"27","大果卫矛"
"28","大青"
"29","大叶新木姜子"
"30","单耳柃"
"31","倒卵叶紫麻"
"32","灯台树"
"33","东方古柯"
"34","冬青"
"35","杜英"
"36","短柄紫珠"
"37","短尾越桔"
"38","钝齿尖叶桂樱"
"39","多花山矾"
"40","多脉青冈"
"41","芬芳安息香"
"42","枫香树"
"43","凤凰润楠"
"44","福建柏"
"45","福建假卫矛"
"46","钩锥"
"47","狗骨柴"
"48","构棘"
"49","谷木叶冬青"
"50","冠盖藤"
"51","光亮山矾"
"52","光叶山矾"
"53","光叶石楠"
"54","广东冬青"
"55","广东杜鹃"
"56","广东木瓜红"
"57","海通"
"58","海桐山矾"
"59","黑柃"
"60","黑叶冬青"
"61","红淡比"
"62","红楠"
"63","红紫珠"
"64","猴欢喜"
"65","猴头杜鹃"
"66","厚边木樨"
"67","厚皮香"
"68","厚叶冬青"
"69","厚叶红淡比"
"70","厚叶厚皮香"
"71","厚叶紫茎"
"72","虎皮楠"
"73","华南青皮木"
"74","华南吴萸"
"75","华南五针松"
"76","黄丹木姜子"
"77","黄棉木"
"78","黄牛奶树"
"79","黄樟"
"80","尖脉木姜子"
"81","尖叶川杨桐"
"82","尖叶毛柃"
"83","江南越桔"
"84","交让木"
"85","金毛柯"
"86","金叶含笑"
"87","金叶细枝柃"
"88","栲"
"89","苦树"
"90","蜡瓣花"
"91","蜡莲绣球"
"92","蓝果树"
"93","老鼠矢"
"94","乐东拟单性木兰"
"95","雷公鹅耳枥"
"96","棱果花"
"97","里白算盘子"
"98","楝叶吴萸"
"99","两广杨桐"
"100","亮叶桦"
"101","岭南枫"
"102","鹿角杜鹃"
"103","鹿角锥"
"104","罗浮枫"
"105","罗浮栲"
"106","绿冬青"
"107","马比木"
"108","马尾松"
"109","马银花"
"110","满山红"
"111","蔓胡颓子"
"112","毛冬青"
"113","毛桂"
"114","毛棉杜鹃花"
"115","毛山矾"
"116","毛桃木莲"
"117","毛叶石楠"
"118","美叶柯"
"119","密花山矾"
"120","木荷"
"121","木姜润楠"
"122","木姜子"
"123","木莲"
"124","木莓"
"125","南方红豆杉"
"126","南国山矾"
"127","南岭黄檀"
"128","南岭山矾"
"129","南酸枣"
"130","南烛"
"131","拟榕叶冬青"
"132","刨花润楠"
"133","朴树"
"134","茜树"
"135","青冈"
"136","青榨枫"
"137","清风藤"
"138","日本粗叶木"
"139","日本杜英"
"140","日本女贞"
"141","绒毛石楠"
"142","榕叶冬青"
"143","锐尖山香圆"
"144","山槐"
"145","山鸡椒"
"146","山绿柴"
"147","山桐子"
"148","山乌桕"
"149","杉木"
"150","少花柏拉木"
"151","少叶黄杞"
"152","深山含笑"
"153","石斑木"
"154","石灰花楸"
"155","鼠刺"
"156","水青冈"
"157","水团花"
"158","水榆花楸"
"159","酸味子"
"160","穗花杉"
"161","穗序鹅掌柴"
"162","台湾林檎"
"163","台湾泡桐"
"164","甜槠"
"165","铁冬青"
"166","微毛柃"
"167","微毛山矾"
"168","五列木"
"169","西川朴"
"170","细脉木樨"
"171","细叶青冈"
"172","细枝柃"
"173","狭叶海桐"
"174","狭叶山矾"
"175","狭叶山黄麻"
"176","显脉冬青"
"177","显脉新木姜子"
"178","腺柄山矾"
"179","腺毛泡花树"
"180","腺叶桂樱"
"181","香椿"
"182","香港四照花"
"183","香桂"
"184","香花枇杷"
"185","香皮树"
"186","香叶树"
"187","小果冬青"
"188","小蜡"
"189","小叶青冈"
"190","新木姜子"
"191","星毛鸭脚木"
"192","锈叶新木姜子"
"193","蕈树"
"194","延平柿"
"195","盐肤木"
"196","杨梅"
"197","野漆"
"198","野柿"
"199","野桐"
"200","野鸦椿"
"201","异叶榕"
"202","银钟花"
"203","瘿椒树"
"204","硬壳柯"
"205","羽脉新木姜子"
"206","圆锥柯"
"207","圆锥绣球"
"208","越南安息香"
"209","云和新木姜子"
"210","云南桤叶树"
"211","云山青冈"
"212","窄基红褐柃"
"213","樟叶泡花树"
"214","长苞铁杉"
"215","长花厚壳树"
"216","长毛山矾"
"217","长尾毛蕊茶"
"218","长尾乌饭"
"219","针齿铁仔"
"220","珍珠花"
"221","枝花流苏树"
"222","栀子"
"223","枳椇"
"224","中国旌节花"
"225","中国绣球"
"226","中华枫"
"227","钟花樱桃"
"228","朱砂根"
"229","紫楠"
