"","x"
"AGLAAM",967.618306930817
"AGLAAR",718.081680022101
"AGLAED",3280.2860755739
"AGLAEL",42718.2382863306
"AGLALW",417.635476967538
"AGLAOL",3748.43838920172
"ALANME",15036.9347977262
"ALBZBU",75967.6053002065
"ALLODI",254.979503599637
"ALLOLE",5272.84872540874
"ALSEEL",1622.27916974103
"ALSEMA",26440.9393498982
"ANTHBA",313.138251722091
"ANTICM",1201.63564660823
"ANTIPL",1398.4407075669
"APHAPO",2694.01770235551
"APORSP",703.983783952172
"ARCH01",38.484510006475
"ARCHSC",6939.37760209812
"ARDIPY",244.981385546645
"ARDITO",746.56023326586
"ARECWH",89.731739186882
"ARTORU",400.521652566543
"ARTOTR",1357.45076837109
"ASTRCA",1131.52314049582
"ASTRWM",6990.86831737813
"BARRAC",7131.66700189943
"BARRPT",2742.65746512936
"BERRCO",468.293654925729
"BHESPA",666.944443474093
"CALOBL",27423.4801210474
"CALOCD",19.6349540849362
"CALOCU",1015.66121906902
"CAMELA",1863.95405121323
"CANAAS",3209.62380374388
"CANAEU",568.321948959348
"CANAGR",3966.68483433942
"CANAHI",5978.41156397079
"CARYCM",141756.357468863
"CASEFU",62.2113831962987
"CASEGE",772.046420010673
"CASEGR",425.371676350074
"CCRP01",113.097335529233
"CCRPCU",23.7582944427728
"CCRPPL",16166.0467355145
"CELTLU",17644.166444385
"CHIOCO",847.695939087646
"CHISCE",4729.09438286653
"CHISCU",15582.158191406
"CHISPA",21847.106617232
"CHISPE",65753.9742104139
"CLAOAR",8682.01911875061
"CLAOEU",3455.59489513497
"CLAOPB",7530.88451348679
"CLERMC",1632.48148968617
"CLERMI",2942.19579654385
"CLSTMY",71.1649324330774
"CODILU",66.5075166565092
"CRATSU",1531.60495262156
"CRPTCU",789.238798260087
"CRYPCG",9988.08906829643
"CRYPTJ",1729.36817292727
"CYNOIN",42670.6273964976
"CYRTOB",107.175431487234
"DACRRO",39555.9500340445
"DASYCL",353.35062293088
"DEHACA",742.735338934281
"DEHAIN",13255.6989104229
"DENDSC",2315.00034652497
"DILLLU",1391.72554554028
"DILLMG",10417.3955772422
"DILLPH",32408.3558002757
"DIMOMA",8376.31078936318
"DIMOPH",3784.53524339278
"DIOS02",13802.3597006557
"DIOS03",7874.6141310197
"DIOSBU",2948.89518564221
"DIOSKZ",665.632789387864
"DIOSPE",4918.65814374046
"DIOSPO",4009.90520302444
"DIOSTO",32022.7411045304
"DIPTHA",16532.7338055955
"DIPTVA",83999.3706896265
"DISCEF",198.18737841251
"DISCMI",2740.4740971373
"DPLDPA",326199.709828442
"DPLSFA",559.792545214462
"DRACED",10207.3249732099
"DRYPLO",11974.0233514421
"DRYPME",238592.345919468
"DRYPMI",7929.59970792853
"DSCPWH",130.698100670926
"DYSO06",169.858056567655
"DYSOAL",162.820896163511
"DYSOAR",3462.52204661567
"DYSOCB",16214.4040802647
"DYSOCU",19.6349540849362
"DYSOEX",12818.4124550032
"DYSOOP",113255.012980488
"DYSOPA",30400.2885744115
"DYSOPF",23.7582944427728
"ELAELA",1969.15809944931
"ELLITO",999.780438662844
"ENDICO",7200.09839519103
"ENDOPE",33835.0630619045
"ENICGR",16499.5660378578
"ERYTVA",3466.9124394453
"FICUBO",7028.38683238352
"FICUCO",41242.5219173639
"FICUFI",19644.4259957708
"FICUFK",615.752160103599
"FICUIL",4202.78339982431
"FICULF",2281.13397574478
"FICUMC",56.7450173054656
"FICUMG",8235.58302304433
"FICUMH",7554.6112932846
"FICURC",8532.34571718968
"FICUSB",3539.09053840272
"FICUSC",3441.8581813589
"FICUTE",19.6349540849362
"FICUVR",10725.2872587579
"GARCCM",2833.44949284936
"GARCDV",746.787992025002
"GARCLF",307.122102806301
"GARCMG",602.023405338104
"GARCRU",1390.4453295574
"GARDLO",353.24853685671
"GARDME",3889.21304944217
"GLOCAL",5992.61157512153
"GLOCLT",3772.25157316068
"GLOCSB",101.740477430855
"GLOCSF",780.882151713885
"GLOCTR",728.236863382267
"GLYCGR",2415.42920964499
"GMPDCU",1298.6401664577
"GONIEL",551.789325961545
"GONOCA",4406.64124686722
"GREWST",52220.079273525
"GUIOPL",357.120543837475
"GYMN01",328.178619152545
"GYMNFA",2444.07266617523
"GYNOAX",820.968844657604
"HAPLBB",4444.25404570686
"HAPLLA",1936.28922288932
"HELIRO",422.481396140653
"HOPEAC",3090.2276374176
"HORSCO",14173.114779915
"KAYELA",146.453197588036
"KAYEPA",2564.85123626071
"KIBAEL",2936.80022998451
"KNEMGL",16957.8614768545
"KNEMKU",1341.06735840455
"LAGEBA",4324.74015548375
"LCSKCP",783.316839993257
"LEEAAC",233.396772037278
"LEEACG",841.232116908362
"LEEAHA",117.047891771378
"LEEAIN",62.6433586168503
"LEEANE",390.908371756021
"LEEAPH",6544.59715315758
"LEPIFR",2097.36651272032
"LEPITE",5586.14444753978
"LEPTBA",21449.1217321244
"LITH01",6034.33966998592
"LITHCD",15521.4153431683
"LITSAL",8232.84985656173
"LITSFU",3849.8097446882
"LITSGA",41502.3238760763
"LITSGB",9817.10785423456
"LITSGR",3772.90347040973
"LITSTO",3218.16900876802
"LITSUR",8636.94510261931
"LITSVA",3417.74652416215
"MACABI",9373.19307097894
"MACAGR",12368.6308820483
"MACAOV",103.868907109313
"MACATA",28983.2813397726
"MAGNCD",524.39465849396
"MALLFL",21.2371647781521
"MALLMO",639.086339872089
"MANGAL",45117.3856774158
"MARACO",10805.9871029501
"MCRDMG",11295.0858118682
"MEMEBR",1119.60865068758
"MEMEOL",87.5875991099512
"MEMERA",681.859123116838
"MEMESY",585.349364607602
"MISCPE",189.815034291815
"MITRRF",1519.59621988747
"MLCPCO",4170.47210566453
"MLSTMA",44.1786466911065
"MUSSAN",176.361157291032
"MYRIFR",5703.29451186881
"MYRIPH",5789.66468583201
"NAUC01",4693.02886475733
"NEPHRA",210812.397106377
"NTRWCU",176.910941304335
"NUVAAC",1650.52208619512
"OCTOSU",7415.52513665911
"OMPHMA",314.31635661728
"ORANDE",8073.16265403937
"ORMOPA",3344.86160192805
"OROPCU",495.782590644639
"PALA03",1300.01467246016
"PALA04",80.1184726768901
"PALABT",7055.95422698773
"PALAPH",1301.18483618462
"PALAPO",7664.08760177595
"PALATP",49532.0774714209
"PANDB1",20.4282054689168
"PANDBI",655.234118873782
"PANDOL",260.28881181878
"PCRTPE",365.626429411154
"PHOEST",6713.94479504759
"PHYLRA",724.380584994824
"PINAIN",148454.759276435
"PINAMA",18584.7904664277
"PIPTAS",315.109597049668
"PLANSP",5571.46547983595
"POMEPI",15561.8637646254
"POUT02",3455.32791955445
"PRARSB",1818.57373621146
"PRUNFR",7295.88558838787
"PSUVLU",4620.49738444283
"PSYCMA",1201.1722219934
"PSYCMB",153.9380400259
"PTERIN",44315.7305297134
"PTSPCE",1010.89382978623
"RADEPI",1446.39709116093
"SAURKL",7339.70291421339
"SEMEBU",1101.4109904377
"SEMECU",17331.1849865836
"SEMEDF",1644.85155701759
"SEMELF",1863.55351229665
"SEMEPH",3254.8785349731
"SHORCO",349095.390366563
"SHORGU",102267.134455599
"SHORNE",1291980.37688256
"SHORPA",1017927.19248071
"SHORPH",86142.0542502222
"SHORPO",372596.246229123
"SIPHCE",625.184797768885
"SLOAJA",20620.4169041802
"STERCO",10376.2722803238
"STERCP",314.159265358979
"STERMO",12420.1762476651
"STERRU",16374.9390735698
"STROPH",156749.875876741
"SUREGL",90.9098374132546
"SYMPDE",3521.60748899191
"SYZY01",229.658287166082
"SYZY05",16218.3071631744
"SYZY08",13305.2497037089
"SYZYBD",10656.7612970253
"SYZYBR",69.3977760921487
"SYZYBT",5733.20238199872
"SYZYCR",12296.8534289081
"SYZYCS",74.9269816430682
"SYZYEV",21887.6330767906
"SYZYGL",1652.54843304671
"SYZYLF",3961.76816225609
"SYZYLO",2246.47432147574
"SYZYLS",6493.13795627219
"SYZYLZ",63.6172512351933
"SYZYNI",43742.8760104359
"SYZYPO",4845.56901899814
"SYZYSM",2050.4626037876
"SYZYTP",257.422091649042
"SYZYUR",56.7450173054656
"SYZYVD",134.381624326779
"SYZYWZ",3169.23857520584
"TABEPA",43.393248527709
"TERMFT",2996.87522853187
"TERMMC",5723.42385779872
"TRDNPH",2072.41443746303
"TRIGFI",1678.61588849234
"TRIGLP",198.36801679949
"TURPSP",449.302730730997
"VATIMA",4837.26723062493
"VERNLA",1064.22238037843
"VILLFA",1307.0125253621
"VITIPH",1008.96174556486
"VOACGL",2353.05288801031
"WALSPI",1368.57986589527
"XPHLFL",54759.617201229
"XPHLPA",1554.24799996518
"ZANTIN",465.686111116924
"ZIZIAN",3367.22966747877
