"","x"
"AGLAAM",1
"AGLAAR",82
"AGLAED",1077
"AGLAEL",848
"AGLALW",64
"AGLAOL",330
"ALANME",428
"ALBZBU",201
"ALLODI",9
"ALLOLE",40
"ALSEEL",120
"ALSEMA",91
"ANTHBA",35
"ANTICM",812
"ANTIPL",95
"APHAPO",210
"APORSP",76
"ARCH01",10
"ARCHSC",132
"ARDIPY",249
"ARDITO",95
"ARECWH",2
"ARTORU",21
"ARTOTR",26
"ASTRCA",48
"ASTRWM",348
"BARRAC",19
"BARRPT",54
"BERRCO",4
"BHESPA",7
"BREY01",2
"CALOBL",559
"CALOCD",3
"CALOCU",33
"CAMELA",99
"CANAAS",41
"CANAEU",1
"CANAGR",52
"CANAHI",57
"CAPPCA",1
"CARYCM",472
"CASEFU",6
"CASEGE",5
"CASEGR",4
"CCRP01",5
"CCRPCU",1
"CCRPPL",508
"CELTLU",187
"CHIOCO",58
"CHISCE",164
"CHISCU",434
"CHISPA",370
"CHISPE",1625
"CLAOAL",1
"CLAOAR",79
"CLAOEU",168
"CLAOPB",29
"CLERIN",2
"CLERMC",47
"CLERMI",567
"CLSTMY",5
"CODILU",240
"CONN01",7
"CONNGR",1
"CRATSU",8
"CRPTCU",2
"CRYPAM",3
"CRYPCG",447
"CRYPTJ",33
"CYATSU",1
"CYNOBI",17
"CYNOIN",393
"CYRTOB",469
"DACRIN",1
"DACRRO",450
"DASYCL",65
"DEHACA",26
"DEHAIN",182
"DENDSC",167
"DILLLU",20
"DILLMG",49
"DILLPH",84
"DIMOMA",90
"DIMOPH",171
"DIOS02",24
"DIOS03",108
"DIOSBU",166
"DIOSCF",15
"DIOSKZ",12
"DIOSPE",55
"DIOSPO",14
"DIOSTO",204
"DIPTHA",19
"DIPTVA",1027
"DISCEF",65
"DISCIN",44
"DISCLI",47
"DISCMI",241
"DPLDPA",1116
"DPLSFA",13
"DPLSTI",15
"DRACED",39
"DRYPLO",312
"DRYPME",1994
"DRYPMI",239
"DSCPWH",8
"DYSO06",11
"DYSO07",4
"DYSOAL",19
"DYSOAR",83
"DYSOCB",281
"DYSOCU",9
"DYSOEX",377
"DYSOOP",2114
"DYSOPA",142
"DYSOPF",5
"ELAELA",55
"ELLITO",14
"ENDICO",320
"ENDOPE",88
"ENICGR",513
"ERYC01",2
"ERYTVA",2
"FICUBO",67
"FICUCO",1240
"FICUFI",734
"FICUFK",3
"FICUIL",18
"FICULF",88
"FICUMC",8
"FICUMG",89
"FICUMH",12
"FICURC",106
"FICUSB",125
"FICUSC",98
"FICUTE",10
"FICUVR",84
"GARCCM",106
"GARCDU",4
"GARCDV",29
"GARCLF",43
"GARCMG",24
"GARCRU",96
"GARDLO",11
"GARDME",95
"GLOCAL",151
"GLOCLT",34
"GLOCNI",1
"GLOCSB",13
"GLOCSF",5
"GLOCTR",8
"GLYCGR",606
"GMPDCU",148
"GONIEL",233
"GONOCA",57
"GREWST",809
"GUIOPL",4
"GYMN01",7
"GYMNFA",70
"GYNOAX",3
"HAPLBB",2116
"HAPLLA",168
"HELIRO",76
"HOPEAC",26
"HORSCO",210
"IXORMA",1
"KAYELA",9
"KAYEPA",22
"KIBAEL",16
"KNEMGL",144
"KNEMKU",23
"LAGEBA",9
"LCSKCP",26
"LEEAAC",14
"LEEACG",2088
"LEEAHA",148
"LEEAIN",128
"LEEANE",592
"LEEAPH",240
"LEPIFR",558
"LEPITE",860
"LEPTBA",1056
"LITH01",23
"LITHCD",168
"LITSAL",950
"LITSFU",1120
"LITSGA",750
"LITSGB",167
"LITSGR",68
"LITSTO",153
"LITSUR",452
"LITSVA",161
"LOPHBE",3
"MACA02",1
"MACABI",128
"MACAGR",407
"MACAOV",5
"MACATA",159
"MAESDE",1
"MAGNCD",35
"MALLFL",2
"MALLMO",9
"MANGAL",240
"MARACO",67
"MATTHE",158
"MCRDMG",121
"MELAMG",1
"MEMEBR",18
"MEMEOL",2
"MEMERA",284
"MEMESY",1
"MISCPE",17
"MITRRF",86
"MLCPCO",266
"MLSTMA",33
"MUSSAN",43
"MYRIFR",40
"MYRIPH",71
"NAUC01",16
"NEPHRA",3245
"NTRWCU",2
"NUVAAC",58
"OCTOSU",6
"OMPHMA",284
"ORANDE",32
"ORMOPA",81
"OROPCU",7
"OSMOFN",7
"PALA03",13
"PALA04",1
"PALA06",2
"PALA08",1
"PALABT",172
"PALAPH",54
"PALAPO",22
"PALATP",386
"PANDB1",2
"PANDBI",20
"PANDOL",6
"PCRTPE",11
"PHOEST",178
"PHYLRA",360
"PINAIN",1079
"PINAMA",1290
"PIPTAS",6
"PLANSP",12
"POMEPI",116
"POUT02",41
"PRARSB",1360
"PRUNFR",133
"PSUVLU",122
"PSYC02",2
"PSYCER",2
"PSYCMA",177
"PSYCMB",23
"PTERIN",319
"PTSPCE",22
"RADEPI",5
"SAURKL",259
"SEMEBU",35
"SEMECU",320
"SEMEDF",27
"SEMEGL",1
"SEMELF",66
"SEMEPH",72
"SHORCO",2055
"SHORGU",207
"SHORNE",1211
"SHORPA",2237
"SHORPH",321
"SHORPO",248
"SIPHCE",36
"SLOAJA",117
"STERCO",68
"STERCP",7
"STERMO",173
"STERRU",416
"STROPH",1617
"STRYAA",2
"SUREGL",140
"SYMPDE",3
"SYZY01",5
"SYZY05",48
"SYZY08",132
"SYZYBD",75
"SYZYBR",3
"SYZYBT",146
"SYZYCR",273
"SYZYCS",21
"SYZYEV",405
"SYZYGL",86
"SYZYLF",36
"SYZYLO",177
"SYZYLS",58
"SYZYLZ",2
"SYZYNI",978
"SYZYPO",13
"SYZYSM",6
"SYZYTP",3
"SYZYUR",4
"SYZYVD",11
"SYZYWZ",8
"TABEPA",96
"TARE01",1
"TERMFT",4
"TERMMC",2
"TRDNPH",46
"TRIGFI",341
"TRIGLP",20
"TURPSP",16
"VATIMA",71
"VERNLA",30
"VILLFA",96
"VITIPH",35
"VOACGL",194
"WALSPI",19
"XPHLF2",8
"XPHLFL",606
"XPHLPA",774
"ZANTIN",4
"ZIZIAN",167
