"","allsp","","","","","","","","","","","","","","","","","","","","","","","","","abund"
"1","AGLAAM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"2","AGLAAR","0.954291351818483","0.903263472222886","0.950117397432296","0.969707179103597","0.961018953430646","0.95863569117996","0.971991138042398","0.984443281343485","0.39","0.004","0.046","0.126","0.018","0.002","0.014","0.1","-0.849970684691369","-2.95204462459347","-1.98505133758546","-1.53081485299628","-2.56503857474326","-3.37332235035882","-2.69479022982266","-1.71785577066674","82"
"3","AGLAED","1.04751871436232","1.02967361147565","1.02239001860141","1.01318058052927","1.0094991240098","1.00515732876382","1.00189240799374","1.00125462825168","0.004","0.004","0.004","0.014","0.042","0.174","0.524","0.658","3.24443700721135","3.31907229956648","3.33629555082405","2.44023930772144","2.1556233342672","1.39437168066954","0.59723880486609","0.429905061272476","1077"
"4","AGLAEL","1.0745321886455","1.06314338096206","1.03476839888021","1.02659810419163","1.0233316943736","1.01812638595403","1.01353156127092","1.01155578228414","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","4.5265016431443","6.29584456132844","4.66190650376303","4.42094474686983","4.71023086843305","4.31122699902311","3.6428114270851","3.57020210598896","848"
"5","AGLALW","1.07849334141169","1.01829102030322","1.02982813891896","1.02460126108269","1.02282651054538","1.03680478344882","1.03341259376414","1.02823341049682","0.204","0.594","0.242","0.226","0.178","0.012","0.016","0.018","1.35670015550647","0.52079007434569","1.14589199697064","1.23849724159854","1.34052773832443","2.40973800633522","2.4401413891608","2.38341695414484","64"
"6","AGLAOL","1.01856411197153","1.01969185530144","1.02732420307071","1.02027620352384","1.01149184798465","1.009701783657","1.0055549142903","1.00465972954479","0.5","0.212","0.022","0.034","0.138","0.136","0.342","0.352","0.710047957547112","1.28174893673843","2.36274061391115","2.17049520046021","1.43703987208166","1.4452593950605","0.931637650984738","0.864440500783856","330"
"7","ALANME","1.04111018946617","1.05251824007004","1.03861205070029","1.03088327177843","1.02490421916396","1.02150674568089","1.0165575477196","1.01138535634183","0.076","0.002","0.002","0.002","0.002","0.002","0.004","0.012","1.75416207331975","3.77363291242415","3.63019068192638","3.63129103062825","3.48851893974617","3.47139217478509","3.06580041784157","2.37590103568365","428"
"8","ALBZBU","1.0462982330875","0.974159632530917","0.999053971009094","0.990434696023795","0.99297910249758","0.995427948780627","0.993822473597921","0.996024018162784","0.174","0.2","0.962","0.452","0.512","0.608","0.436","0.576","1.35279578805529","-1.24499115813279","-0.0441349573057586","-0.737717814490834","-0.648493256400505","-0.506633023248452","-0.764618489835602","-0.563199550914506","201"
"9","ALLODI","1.10466400630225","1.05348279743315","1.13141314328281","1.13552142418503","1.13568799977319","1.13149086451984","1.14799380336967","1.13884413976873","0.478","0.598","0.046","0.014","0.006","0.002","0.002","0.002","0.704822252342364","0.545897731753321","1.88367263815867","2.45744837891804","2.94486069265084","3.4227077274461","4.52138052653677","4.78215747422006","9"
"10","ALLOLE","1.05466165527907","1.08302563803792","1.07685114918494","1.062518322379","1.04585374643567","1.03175553078208","1.02525505503265","1.01617170939245","0.472","0.052","0.018","0.016","0.026","0.084","0.094","0.254","0.74646173969884","1.94557086035105","2.3818807474274","2.46098151607145","2.2085440096639","1.78209679798275","1.60613074250692","1.15577992715156","40"
"11","ALSEEL","1.02527616717018","1.05431230141505","1.06030458349814","1.04223591421546","1.02978440581704","1.03184375155919","1.0300328287826","1.02572124496079","0.566","0.048","0.004","0.008","0.016","0.004","0.004","0.004","0.578411141614963","2.12302970106471","3.1365373336034","2.8300060615051","2.40434110136187","2.9975035341846","3.24275123486017","3.22006690186878","120"
"12","ALSEMA","1.13683481388814","1.03457575858215","1.0204038777754","1.03115757899721","1.01606981446436","1.01881548357874","1.01659600144939","1.02420937624994","0.01","0.224","0.346","0.064","0.28","0.126","0.128","0.008","2.78287481840409","1.23091814976834","0.959012375767462","1.80278702484147","1.1195843429539","1.54253336563512","1.54405794092075","2.55490292914791","91"
"13","ANTHBA","1.02407630474137","0.919358918114554","0.953529279868063","0.995659950713285","1.00455839402908","1.00536716056749","1.01214483485373","1.01547236663694","0.774","0.1","0.208","0.884","0.87","0.796","0.49","0.318","0.310306860989862","-1.62764984891091","-1.23030619708365","-0.152381978299256","0.180065273293019","0.25702660638139","0.678567523364958","0.974539086423171","35"
"14","ANTICM","1.10400087927992","1.0493485355033","1.03081149751875","1.02087444657841","1.01450811376246","1.01221872496469","1.0081376847848","1.00750723684787","0.002","0.002","0.002","0.002","0.002","0.004","0.028","0.014","6.38638410833869","5.02597477300923","4.23541910467587","3.57559008200301","3.02502038726314","3.00757118810395","2.27650024778208","2.41194424282131","812"
"15","ANTIPL","1.04007068567813","1.04909424475945","1.05161781850125","1.05012598852795","1.04531815112466","1.030459658834","1.02207073896797","1.01033315369882","0.428","0.098","0.01","0.004","0.002","0.01","0.032","0.252","0.817015158028617","1.70967706752066","2.44786157292552","2.95139726697379","3.17587191978124","2.57049874591659","2.08960573758818","1.11549212170439","95"
"16","APHAPO","0.911294498061162","0.901621826232098","0.920571280387742","0.929482535152241","0.948581745824485","0.961274199232773","0.966253269535448","0.976505876924046","0.008","0.002","0.002","0.002","0.002","0.002","0.002","0.002","-2.6103368310687","-4.63184025397904","-4.94285012524501","-5.39452365853942","-4.67328905649605","-4.1145127265812","-4.16406628249984","-3.33201189069334","210"
"17","APORSP","1.04645785321727","1.05095527164861","1.05199182714254","1.02269875776393","1.02839097797261","1.02551541114428","1.02131720354797","1.01692665205078","0.366","0.086","0.026","0.218","0.068","0.052","0.056","0.086","0.940464244681869","1.74895871780376","2.34432317871414","1.25811501130304","1.89969946641908","2.00657748131359","1.87552028022068","1.7107679563302","76"
"18","ARCH01","0.957678685543378","0.977429911649383","0.994490323914615","1.09398893011131","1.0860827212502","1.09659606484447","1.10119696767218","1.09813895979561","0.8","0.766","0.872","0.074","0.04","0.008","0.002","0.002","-0.346496527484447","-0.313233578172844","-0.134122018248897","1.80895140069463","1.95839515923994","2.57508015717895","3.05615072417673","3.35147494689594","10"
"19","ARCHSC","1.09543645063002","1.05717887736137","1.05920517608392","1.0485760241317","1.03563461018697","1.02400610020693","1.01000823830592","1.00456034360296","0.028","0.024","0.004","0.002","0.004","0.018","0.294","0.54","2.27453655629174","2.31476528208528","3.18218552422668","3.23526316972973","2.82578993952923","2.24987461736277","1.0737975801929","0.564776801439242","132"
"20","ARDIPY","1.11347444388192","1.0659269648693","1.04398165960885","1.03068195229622","1.02356627319642","1.01944679861039","1.01353248464652","1.00825524993465","0.002","0.002","0.004","0.012","0.016","0.01","0.046","0.172","3.71951385709205","3.71964847552106","3.30488519062455","2.81489194591055","2.63127337729355","2.57364948229459","1.99663246413112","1.36313586178043","249"
"21","ARDITO","0.964715234682181","0.981251687702322","0.980080839311915","0.988655457669509","0.985347804286756","0.993208870757419","1.00131351912098","0.998958397310165","0.446","0.558","0.38","0.524","0.312","0.578","0.91","0.926","-0.757982699996382","-0.618168175919705","-0.874834126736311","-0.621641729599398","-1.00678682730031","-0.53746274276269","0.132731783366922","-0.11014121273982","95"
"22","ARECWH","0.901928686231323","0.725877951394347","1.00319863037453","1.29188346915241","1.3615262901606","1.34266393204538","1.50650088737699","1.54144028922855","0.984","0.286","0.984","0.008","0.002","0.002","0.002","0.002","-0.192482662054286","-1.14440871037155","0.0831667873967283","2.51825649931139","3.79051740417941","4.66130625372518","9.25450082036638","12.4971230839934","2"
"23","ARTORU","0.783544865319237","0.889063408654784","0.880914775090263","0.951445601306993","0.968514813676757","0.985039188211781","1.00879595717747","1.03409901119333","0.034","0.074","0.01","0.174","0.274","0.552","0.708","0.078","-2.1039427295976","-1.7681726597154","-2.52461415215842","-1.29335194324017","-1.03597537773429","-0.566602063109865","0.397166597471753","1.73162031109287","21"
"24","ARTOTR","1.12421565568424","1.13469786995237","1.07298076212506","1.090549921609","1.06759447172929","1.05775793702075","1.04058595889055","1.05075835155165","0.198","0.016","0.088","0.01","0.024","0.018","0.06","0.006","1.30203633702581","2.43727223878463","1.73542193019856","2.61699016391025","2.36486277669833","2.38508371703043","1.87242876828983","2.6335262651606","26"
"25","ASTRCA","0.887764611338212","0.913451921091889","0.954116021888322","0.946693150973843","0.945678418974367","0.938193435368547","0.947776672044374","0.952264025437528","0.12","0.052","0.162","0.056","0.016","0.004","0.004","0.002","-1.53597559013646","-1.93162224908006","-1.41291548394508","-1.98461839547368","-2.40526428742255","-3.1746742065876","-3.04638307598034","-3.11324351453658","48"
"26","ASTRWM","0.983839722534756","0.968940171889053","0.991801455316747","0.990748555944871","0.993601457479848","0.995438371741983","0.998665879116562","0.999011598941423","0.596","0.076","0.54","0.394","0.512","0.564","0.834","0.874","-0.561478160248424","-1.88325770216643","-0.633156854973385","-0.858081387950604","-0.683496053465043","-0.581984774595487","-0.174826513861608","-0.132360830412119","348"
