"","x"
"AAAAAA",2987693.88347206
"ACROPO",523701.139158928
"ACTIM1",10598.1628168852
"ACTIPR",350937.890554555
"ACTISE",72031.2217596702
"ADENBI",3743899.58253419
"ADRKR",907.92027688745
"AGLAAS",666480.242079277
"AGLACO",498529.913420203
"AGLAE1",1197265.67267205
"AGLAE2",452.38934211693
"AGLAFO",1351219.42066122
"AGLAGA",84529.2627338138
"AGLAGL",420445.628015229
"AGLAGR",968370.017329662
"AGLAME",17412.2772825214
"AGLAO2",626063.652590845
"AGLAOD",1181333.87092753
"AGLAOL",744367.392545239
"AGLAPA",71909.4850443436
"AGLARB",376571.715811521
"AGLARI",831409.144003761
"AGLARU",341287.703320891
"AGLAS1",272455.408280738
"AGLAS2",107597.19219096
"AGLAS3",10325.6296541863
"AGLAS4",40557.1757596808
"AGLAS5",29104.4997410192
"AGLAS7",61338.8111631773
"AGLATE",286769.289808657
"AIDIWA",11079454.026017
"ALANEB",7789037.05984315
"ALANGR",1376.80298043573
"ALANNO",399226.52583472
"ALANRI",1874492.51782109
"ALBIPE",232560.323172801
"ALCHRU",6402.565828016
"ALLOCO",314.159265358979
"ALPHEL",1263524.21793075
"ALPHMA",3376745.57609997
"ALSENI",96770.4785085264
"ALSEP1",23624.7767549952
"ALSEP2",505984.127389009
"ALSES1",511400.233123797
"ALSES2",4257.64344377757
"ALSTAN",1523787.89052107
"ANACHE",979596.498677265
"ANAXJA",3551942.77361271
"ANI1CO",443254.376078454
"ANI1LA",6732382.79116047
"ANI1ME",1916059.71561891
"ANI2CO",4013379.11717382
"ANT1CO",2895741.82269598
"ANT1CU",1035081.73732864
"ANT1MO",346.360590058275
"ANT1PE",151243.338927283
"ANT1SR",314.159265358979
"APH1PO",10935.8840271461
"APH1SU",171703.74648195
"APONO1",754.767635024948
"APORAU",2596701.4719824
"APORBR",2883846.96751133
"APORCO",55734.9952673365
"APORFA",2204860.83047627
"APORGL",2362919.85466552
"APORLU",284248.161704151
"APORM",314.159265358979
"APORM1",3207982.36034178
"APORM2",910695.088598733
"APORN1",1186533.99216739
"APORN2",507533.717965392
"APORNE",660248.107652718
"APORPR",2177540.75536249
"APORSY",592802.040370963
"AQUIMA",2960007.02741598
"ARCHBU",6680680.81546218
"ARCHCL",126597.544559871
"ARCHCO",13632.1559220895
"ARCHGL",87363.7647055152
"ARCHMI",673043.029132626
"ARDICO",871.00656320777
"ARDICR",2054315.71051625
"ARDIKU",703965.725621911
"ARDILA",9320.32000503752
"ARDIPA",440593.447100864
"ARDIRI",7650.56350965454
"ARDIS2",230927.480391098
"AROMEL",1216983.09356414
"ARTHDI",4623.63898792078
"ARTOAN",977750.027595117
"ARTODA",401546.592009396
"ARTOEL",1288.05298797182
"ARTOFU",561459.155864261
"ARTOIS",3111242.51236163
"ARTOKE",125157.1243282
"ARTOLA",962.112750161874
"ARTOLO",2256332.68451269
"ARTOMA",2801754.79527853
"ARTONG",1606262.55165944
"ARTORI",5189104.45981653
"ARTOSC",7191261.09290339
"ATUNEL",666105.607155337
"ATUNEX",5683383.01297826
"AUSTNI",50595.3496860636
"BACCAR",6647.610054996
"BACCGR",256414.436191509
"BACCKU",90842.2931712025
"BACCM2",120311.217660038
"BACCMI",376548.153866619
"BACCPA",2806394.14222972
"BACCPY",321595.415170026
"BACCR1",39931.9988216165
"BACCRA",3425882.4413966
"BACCRE",4213399.6090389
"BACCS1",31415.9265358979
"BACCSU",607441.076738528
"BARRFU",1376.80298043573
"BARRMA",8560825.84386525
"BARRPE",2835064.31678638
"BEILDI",178245.327784887
"BEILKU",5032.83143105085
"BEILL1",648271.571059071
"BEILLU",615.752160103599
"BEILM2",765021.008048101
"BEILP2",553660.152101724
"BEILS1",99396.8499669275
"BEILS2",86820.2691764441
"BHESPA",1235951.24460836
"BLUMCA",625893.221189387
"BLUMSU",1383079.8825576
"BLUMTO",1881657.70526577
"BOUEMA",1656922.3039949
"BOUEOP",1471358.63612347
"BRACHO",421516.911110103
"BRIDPU",196549.031982865
"BUCHSE",1833777.47703057
"CALLMA",133699.114753311
"CALODE",151097.254868891
"CALODI",1781784.11861366
"CALOMA",1918228.98534621
"CALOSO",134398.904516898
"CALOTE",1783396.54104312
"CALOWA",1357200.22767549
"CALOWI",22064.1906043245
"CAMPAU",999257.370901593
"CANAAP",560837.12051885
"CANALL",1923747.19284224
"CANALP",3810.75188880442
"CANALR",7185790.79469533
"CANALT",3559007.43009247
"CANAME",2541963.14698442
"CANAPA",789149.225025835
"CANAPI",842909.72931039
"CARABR",2598605.27713048
"CASECL",144210.883772222
"CASES2",196183.821836885
"CASSNO",105784.493229839
"CASTCU",347843.421790769
"CASTIN",246641.726844354
"CASTME",980133.711021029
"CASTNE",32872.8401290002
"CASTSC",6452857.22861283
"CCCCCC",11281.4592190409
"CELTRI",2077.37814218625
"CHAMMA",579131.399938867
"CHASCU",68091.6645720686
"CHEIMA",439822.971502571
"CHIOCA",25810.5398437303
"CHIOMA",25825.4624088349
"CHIORA",456247.217895538
"CHIOS1",33366.0701756138
"CHISCE",498448.23201121
"CHISER",690543.271009448
"CHISGL",23404.865269244
"CHISP2",391712.621605497
"CHISSA",13892.9081123375
"CHISTO",437511.544707692
"CHRYLA",901886.062798068
"CINNIN",854299.57347598
"CINNJA",282106.380912566
"CINNMO",157170.738866444
"CINNPO",498260.521850158
"CLE1M1",37311.1251503592
"CLE1M2",512107.091470855
"CLE1MY",259857.621739843
"CLE1SU",2421280.43599309
"CLERDE",8640.95059369873
"CLERLA",31584.001742865
"CLERNU",1150.60830937726
"COELGR",298463.083063481
"CRATAR",237582.944427728
"CRATCO",88087.1164140042
"CRATFO",653040.50870722
"CRATMA",1057141.21554398
"CROTAR",2265296.43375154
"CROTLA",2062476.78283211
"CRUDCU",433052.839334085
"CRY1FE",164698.780262608
"CRY1GR",518013.285659604
"CRY1IN",1061993.40539745
"CRY1KU",1205766.82239266
"CRY1RU",791544.689424197
"CRY1SC",118532.290819943
"CRY2GR",89599.7932767077
"CTENPA",436853.381046765
"CYATPR",251379.248565968
"CYATRA",363255.289951117
"CYNOMA",26855606.3479103
"DACCFU",4071.50407905237
"DACCRL",23312.1882859631
"DACRCO",4268988.52024784
"DACRIN",367043.265293183
"DACRLA",3810993.00604058
"DACRLO",1153002.2029793
"DACRNE",451359.685124716
"DACRPU",392415.552961738
"DACRR1",15063086.9731503
"DACRR2",1394307.14930337
"DACRRO",7788764.52668045
"DECAFR",79163.4224814824
"DEHACU",2730098.99384097
"DEHAIN",23337.3210271918
"DEHALO",434194.808263665
"DEHAPO",290277.663404553
