"","x"
"AAAAAA",2692
"ACROPO",109
"ACTIM1",16
"ACTIPR",141
"ACTISE",29
"ADENBI",163
"ADRKR",1
"AGLAAS",248
"AGLACO",327
"AGLAE1",182
"AGLAE2",1
"AGLAFO",286
"AGLAGA",11
"AGLAGL",147
"AGLAGR",296
"AGLAME",12
"AGLAO2",239
"AGLAOD",272
"AGLAOL",83
"AGLAPA",42
"AGLARB",12
"AGLARI",38
"AGLARU",60
"AGLAS1",26
"AGLAS2",18
"AGLAS3",6
"AGLAS4",8
"AGLAS5",2
"AGLAS7",9
"AGLATE",76
"AIDIWA",1852
"ALANEB",1793
"ALANGR",2
"ALANNO",47
"ALANRI",171
"ALBIPE",7
"ALCHRU",9
"ALLOCO",1
"ALPHEL",201
"ALPHMA",631
"ALSENI",6
"ALSEP1",21
"ALSEP2",161
"ALSES1",85
"ALSES2",7
"ALSTAN",57
"ANACHE",329
"ANAXJA",3813
"ANI1CO",18
"ANI1LA",100
"ANI1ME",38
"ANI2CO",476
"ANT1CO",510
"ANT1CU",193
"ANT1MO",1
"ANT1PE",145
"ANT1SR",1
"APH1PO",1
"APH1SU",115
"APONO1",1
"APORAU",1220
"APORBR",1405
"APORCO",3
"APORFA",621
"APORGL",803
"APORLU",39
"APORM",1
"APORM1",3569
"APORM2",312
"APORN1",476
"APORN2",231
"APORNE",187
"APORPR",1004
"APORSY",222
"AQUIMA",92
"ARCHBU",1034
"ARCHCL",36
"ARCHCO",19
"ARCHGL",18
"ARCHMI",153
"ARDICO",2
"ARDICR",2523
"ARDIKU",879
"ARDILA",5
"ARDIPA",212
"ARDIRI",3
"ARDIS2",396
"AROMEL",30
"ARTHDI",6
"ARTOAN",24
"ARTODA",97
"ARTOEL",2
"ARTOFU",58
"ARTOIS",244
"ARTOKE",17
"ARTOLA",2
"ARTOLO",121
"ARTOMA",100
"ARTONG",362
"ARTORI",177
"ARTOSC",264
"ATUNEL",87
"ATUNEX",233
"AUSTNI",2
"BACCAR",1
"BACCGR",60
"BACCKU",8
"BACCM2",17
"BACCMI",43
"BACCPA",2084
"BACCPY",40
"BACCR1",7
"BACCRA",854
"BACCRE",243
"BACCS1",1
"BACCSU",71
"BARRFU",2
"BARRMA",2256
"BARRPE",175
"BEILDI",15
"BEILKU",3
"BEILL1",113
"BEILLU",1
"BEILM2",76
"BEILP2",142
"BEILS1",51
"BEILS2",7
"BHESPA",150
"BLUMCA",106
"BLUMSU",92
"BLUMTO",167
"BOUEMA",223
"BOUEOP",249
"BRACHO",46
"BRIDPU",24
"BUCHSE",482
"CALLMA",19
"CALODE",29
"CALODI",312
"CALOMA",119
"CALOSO",3
"CALOTE",229
"CALOWA",106
"CALOWI",10
"CAMPAU",3
"CANAAP",64
"CANALL",658
"CANALP",6
"CANALR",949
"CANALT",243
"CANAME",145
"CANAPA",89
"CANAPI",252
"CARABR",153
"CASECL",24
"CASES2",43
"CASSNO",1
"CASTCU",11
"CASTIN",14
"CASTME",50
"CASTNE",7
"CASTSC",229
"CCCCCC",11
"CELTRI",2
"CHAMMA",613
"CHASCU",16
"CHEIMA",24
"CHIOCA",10
"CHIOMA",24
"CHIORA",21
"CHIOS1",20
"CHISCE",59
"CHISER",93
"CHISGL",9
"CHISP2",59
"CHISSA",1
"CHISTO",116
"CHRYLA",52
"CINNIN",122
"CINNJA",84
"CINNMO",52
"CINNPO",2
"CLE1M1",9
"CLE1M2",504
"CLE1MY",64
"CLE1SU",328
"CLERDE",10
"CLERLA",29
"CLERNU",2
