"","x"
"1","AAAAAA"
"2","ACROPO"
"3","ACTIM1"
"4","ACTIMA"
"5","ACTIPR"
"6","ACTISE"
"7","ADENBI"
"8","ADRKR"
"9","AGLAAS"
"10","AGLACO"
"11","AGLAE1"
"12","AGLAE2"
"13","AGLAFO"
"14","AGLAGA"
"15","AGLAGL"
"16","AGLAGR"
"17","AGLAME"
"18","AGLAO2"
"19","AGLAOD"
"20","AGLAOL"
"21","AGLAPA"
"22","AGLARB"
"23","AGLARI"
"24","AGLARU"
"25","AGLAS1"
"26","AGLAS2"
"27","AGLAS3"
"28","AGLAS4"
"29","AGLAS5"
"30","AGLAS7"
"31","AGLATE"
"32","AIDIWA"
"33","ALANEB"
"34","ALANGR"
"35","ALANNO"
"36","ALANRI"
"37","ALBIPE"
"38","ALCHRU"
"39","ALLOCO"
"40","ALPHEL"
"41","ALPHJA"
"42","ALPHMA"
"43","ALSENI"
"44","ALSEP1"
"45","ALSEP2"
"46","ALSES1"
"47","ALSES2"
"48","ALSTAN"
"49","ANACHE"
"50","ANAXJA"
"51","ANI1CO"
"52","ANI1LA"
"53","ANI1ME"
"54","ANI2CO"
"55","ANT1CO"
"56","ANT1CU"
"57","ANT1MO"
"58","ANT1PE"
"59","ANT1SR"
"60","ANT1VE"
"61","APH1PO"
"62","APH1SU"
"63","APONO1"
"64","APORAU"
"65","APORBR"
"66","APORCO"
"67","APORFA"
"68","APORGL"
"69","APORLU"
"70","APORM"
"71","APORM1"
"72","APORM2"
"73","APORN1"
"74","APORN2"
"75","APORNE"
"76","APORPR"
"77","APORSY"
"78","AQUIMA"
"79","ARALPI"
"80","ARCDIC"
"81","ARCHBU"
"82","ARCHCL"
"83","ARCHCO"
"84","ARCHGL"
"85","ARCHMI"
"86","ARDICO"
"87","ARDICR"
"88","ARDICU"
"89","ARDIKU"
"90","ARDILA"
"91","ARDIOD"
"92","ARDIPA"
"93","ARDIRI"
"94","ARDIS2"
"95","AROMEL"
"96","ARTHDI"
"97","ARTOAN"
"98","ARTODA"
"99","ARTOEL"
"100","ARTOFU"
"101","ARTOIS"
"102","ARTOKE"
"103","ARTOLA"
"104","ARTOLO"
"105","ARTOMA"
"106","ARTONG"
"107","ARTORI"
"108","ARTOSC"
"109","ATUNEL"
"110","ATUNEX"
"111","AUSTNI"
"112","BACCAR"
"113","BACCGR"
"114","BACCKU"
"115","BACCM1"
"116","BACCM2"
"117","BACCMI"
"118","BACCPA"
"119","BACCPY"
"120","BACCR1"
"121","BACCRA"
"122","BACCRE"
"123","BACCS1"
"124","BACCSU"
"125","BARRFU"
"126","BARRMA"
"127","BARRPE"
"128","BECCAR"
"129","BEILDI"
"130","BEILKU"
"131","BEILL1"
"132","BEILLU"
"133","BEILM2"
"134","BEILP2"
"135","BEILS1"
"136","BEILS2"
"137","BHESPA"
"138","BLUMCA"
"139","BLUMSU"
"140","BLUMTO"
"141","BOUEMA"
"142","BOUEOP"
"143","BRACHO"
"144","BRIDPU"
"145","BUCHSE"
"146","CALLMA"
"147","CALODE"
"148","CALODI"
"149","CALOMA"
"150","CALOSO"
"151","CALOTE"
"152","CALOWA"
"153","CALOWI"
"154","CAMPAU"
"155","CANAAP"
"156","CANALL"
"157","CANALP"
"158","CANALR"
"159","CANALT"
"160","CANAME"
"161","CANAPA"
"162","CANAPI"
