,sp,N.fixing,family
1,ADENBI,n,Fabaceae
2,ALBIPE,y,Fabaceae
3,ARCHBU,n,Fabaceae
4,ARCHCL,y,Fabaceae
5,ARCHCO,y,Fabaceae
6,ARCHGL,y,Fabaceae
7,ARCHMI,y,Fabaceae
8,CASSNO,n,Fabaceae
9,CRUDCU,n,Fabaceae
10,CYNOMA,n,Fabaceae
11,DIALMA,n,Fabaceae
12,DIALPL,n,Fabaceae
13,DIALPR,n,Fabaceae
14,DIALWA,n,Fabaceae
15,INTSPA,n,Fabaceae
16,KOOMMA,n,Fabaceae
17,MILLAT,y,Fabaceae
18,MILLS1,y,Fabaceae
19,ORMOPE,y,Fabaceae
20,ORMOVE,y,Fabaceae
21,PARKSP,n,Fabaceae
22,PITHSP,y,Fabaceae
23,SARADE,n,Fabaceae
24,SARATH,n,Fabaceae
25,SINDCO,n,Fabaceae
26,SINDEC,n,Fabaceae
27,SINDVE,n,Fabaceae
28,SINDWA,n,Fabaceae
