"","allsp","","","","","","","","","","","","","","","","","","","","","","","","","abund"
"1","AAAAAA","0.867641463178919","0.892040479670452","0.916766351869728","0.933064764624355","0.946237245411429","0.956497287528136","0.964669313696199","0.971200768543665","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","-33.6400628157023","-44.8895083752025","-47.5081283612926","-46.2606883198819","-43.6480998465186","-41.0476990894646","-37.1715573592066","-34.2099374937812","11400"
"2","ACROPO","0.972974713084427","1.00220865327984","1.0022887034323","1.00407182057862","1.00151784883629","1.00274936141882","1.00804709209876","1.00657409648013","0.442","0.968","0.914","0.726","0.858","0.752","0.322","0.374","-0.763936305135307","0.080510232331761","0.129789081278681","0.338678673438974","0.156973308232375","0.303982830379078","0.982662152033369","0.899655056905549","141"
"3","ACTIM1","1.11763055136749","1.05460665415784","1.07097970827507","1.05439818941812","1.05192277503667","1.05244325566947","1.04850173956101","1.05194051663338","0.11","0.192","0.036","0.032","0.018","0.004","0.004","0.002","1.630284856865","1.25397522144568","2.14483903213803","2.05209031279128","2.38423132307387","2.76918222890478","2.89567357200733","3.45436020484862","33"
"4","ACTIMA","1.89703162706284","1.5447572392143","1.44309508326742","1.4648257540557","1.4074415839779","1.45493892556834","1.45174993453228","1.46919762758516","0.008","0.004","0.002","0.002","0.002","0.002","0.002","0.002","3.05136792790712","3.14057720355423","3.73476524485991","4.88004454139199","5.30860713490707","7.18517191852212","8.44374615367154","9.81914336659945","2"
"5","ACTIPR","1.03390593483009","1.02886863169265","1.0217131534915","1.0246496138922","1.0239774911212","1.02130524725473","1.02368453061178","1.01740517518322","0.32","0.164","0.134","0.032","0.016","0.014","0.004","0.016","1.03133166635748","1.41133319079239","1.45739351134716","2.06034362453913","2.4105854503961","2.48139280378511","3.09029994040863","2.51751934284722","178"
"6","ACTISE","1.09313763634518","1.00997189430708","1.01702135012724","1.02643277633167","1.02931409439348","1.028433678048","1.02413459527135","1.02015440268789","0.112","0.768","0.51","0.186","0.082","0.058","0.076","0.102","1.58941482837653","0.297938088143919","0.669363639719538","1.29162728914913","1.68861413515982","1.85783434742336","1.7768484390961","1.64657694391245","53"
"7","ADENBI","1.02924696645327","1.05292615812963","1.03866722822514","1.02868158663481","1.02009103185638","1.01650910467389","1.01699759434943","1.01677034342908","0.388","0.008","0.01","0.018","0.028","0.044","0.022","0.012","0.847431937955184","2.71202881924978","2.75215175707193","2.53224442398907","2.10355094218535","1.95446344816639","2.31488593370215","2.59417858360206","181"
"8","ADRKR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"9","AGLAAS","1.08198661755369","1.03403959529692","1.00745505220964","1.01328018658952","1.01150263872722","1.01158944059711","1.01075514290253","1.00821546317839","0.002","0.022","0.514","0.126","0.118","0.08","0.074","0.128","3.45744947225653","2.32355590173479","0.690168805903702","1.46610596017177","1.50297735458737","1.73258555028017","1.81057589891496","1.5692854403034","334"
"10","AGLACO","1.02929746027862","1.00952799298707","1.00774926665187","1.0132317676866","1.01290114318818","1.01059866165702","1.00678379313761","1.00556002489755","0.128","0.432","0.354","0.056","0.032","0.044","0.122","0.182","1.58502698010896","0.798746886477909","0.889047805012238","1.93033094269598","2.18521158322089","2.03164875190961","1.49659920478598","1.37396487409483","502"
"11","AGLAE1","1.09740299666446","1.04863373353509","1.03902909362953","1.02473538995034","1.01518795593745","1.01734671099292","1.01529882207822","1.01238552480036","0.004","0.004","0.006","0.016","0.092","0.02","0.022","0.038","3.42188723233304","2.80995587295877","3.0050568063845","2.34451710653478","1.72389095394224","2.22663295084692","2.25847398785032","2.05813824787193","230"
"12","AGLAE2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"13","AGLAFO","1.02450804363939","1.02492283385474","1.02334867495231","1.01874106160588","1.01251129282507","1.01123150111269","1.00932885911673","1.00757265369866","0.308","0.076","0.028","0.028","0.084","0.086","0.102","0.136","1.05724809761684","1.79477556215776","2.28681674449813","2.2348279909838","1.7645692028323","1.85228383610152","1.74121970712943","1.5814296563661","361"
