"","x"
"#N/A",832.050814303257
"Acer oblongum",1682.21291025446
"Acronychia pedunculata",4841.73620391462
"Agapetes mannii",41685.9892700238
"Alangium chinense",902.587423357981
"Albizia mollis",10557.0707849762
"Alnus nepalensis",39108.1632721023
"Alsophila spinulosa",2632.4582941674
"Amoora yunnanensis",1052.08796376069
"Anneslea fragrans",166584.026452083
"Aporusa villosa",1188.84934595308
"Artocarpus tonkinensis",430.052618349907
"Bauhinia acuminata",1244.10210674809
"Beilschmiedia linocieroides",3653.70367205147
"Betula alnoides",602910.578118804
"Canthium horridum",735.949495029945
"Carpinus londoniana",1006.59770213671
"Caryodaphnopsis tonkinensis",1995.03699873566
"Caryota ochlandra",2251.1160699114
"Castanopsis calathiformis",223767.649361898
"Castanopsis ceratacantha",36986.2216381249
"Castanopsis echidnocarpa",1233605.2131704
"Castanopsis ferox",16490.49472805
"Castanopsis fleuryi",4636.11896473716
"Castanopsis hystrix",56270.7703324614
"Cerasus cerasoides",4067.7655837946
"Choerospondias axillaris",2445.44713748083
"Cinnamomum bejolghota",6114.45821973691
"Craibiodendron stellatum",2827.43338823081
"Craspedolobium schochii",2842.56015685785
"Decaspermum fruticosum",2922.4665660019
"Dichapetalum gelonioides",2685.61404186614
"Diospyros kaki",31701.866445246
"Diplospora mollissima",716.03965158782
"Elaeocarpus fleuryi",22279.7038603608
"Elaeocarpus sylvestris",12268.8225201561
"Engelhardtia aceriflora",1438.72377163798
"Engelhardtia colebrookiana",46778.7151650154
"Engelhardtia serrata",76244.3802514729
"Engelhardtia spicata",18673.8387904418
"Eriobotrya serrata",1783.55283527763
"Erythrina strica",7795.50088672791
"Eurya groffii",5289.59379862874
"Evodia lepta",1425.89036564807
"Evodia subtrigonosperma",2129.19871300721
"Ficus hookeriana",2358.58210060907
"Ficus oligodon",974.679120776233
"Glochidion lanceolarium",2444.42611986841
"Gnetum montanum",8143.13382181089
"Gordonia chrysandra",3811.26239761063
"Helicia nilagirica",19625.0266521509
"Helicia pyrrhobotrya",849.117516393883
"Heliciopsis henryi",18093.3274459299
"Ilex polyneura",1189.21848308988
"Ilex szechwanensis",1623.01745067919
"Laurocerasus jenkinsii",2981.16722473423
"Lithocarpus annamensis",6203.05898654978
"Lithocarpus fenestratus",70032.4305577135
"Lithocarpus grandifolius",59041.6786148725
"Lithocarpus truncatus",372457.839501553
"Litsea garrettii",1766.21909781145
"Litsea magnoliifolia",3955.50077031857
"Litsea rubescens",88292.4666178061
"Lyonia ovalifolia",28770.1871587875
"Macaranga denticulata",2637.13926722125
"Machilus bombycina",13492.2136773354
"Machilus robusta",330.063578167778
"Machilus rufipes",204756.215024901
"Maesa perlarius",1923.44010216035
"Maesa permollis",426.384808926841
"Mallotus paniculatus",369.836141162224
"Mallotus tetracoccus",2569.95630832423
"Medinilla septentrionalis",1306.06216785852
"Michelia floribunda",5921.53301487996
"Moru macroura",5851.89175973151
"Mussaenda pubescens",479.163565507149
"Myrica esculenta",24423.8644083807
"Olea dioica",463.769761504559
"Olea glandulifera",1501.94832379148
"Olea rosea",585.349397198484
"Ormosia yunnanensis",547.391103961485
"Paramichelia baillonii",5814.08269214556
"Phoebe puwenensis",22586.5667767818
"Photinia davidsoniae",426.384808926841
"Phyllanthus emblica",3483.31154050239
"Pinus kesiya",6427.47080377733
"Pithecellobium clypearia",1965.67096140623
"Pittosporum kerrii",415.47562843725
"Pygeum henryi",3641.85986774743
"Pyrus pashia",510.705155749191
"Rapanea neriifolia",663.826381685157
"Reevesia pubescens",3349.44827753293
"Rourea minor",373.252623173003
"Rubus paniculatus",380.132711084365
"Sarcosperma griffithii",576.80426518072
"Sarcosperma kachinense",2401.8182695041
"Saurauia napaulensis",3362.63511269637
"Schefflera delavayi",9187.81548089073
"Schefflera glomerulata",789.238760416462
"Schima wallichii",907019.268114401
"Spatholobus suberectus",1921.71222620088
"Symplocos cochinchinensis",709.630802574496
"Symplocos paniculata",369.836141162224
"Syzygium latilimbum",13189.6154729416
"Tapiscia yunnanensis",169052.093056669
"Tarennoidea wallichii",589.645525152268
"Ternstroemia gymnanthera",178709.254626025
"Toona ciliata",1870.1429827922
"Toxicodendron succedaneum",380.132711084365
"Trichilia connaroides",2829.17697215356
"Turpinia montana",2498.54790730813
"Vaccinium exaristatum",28605.0493409515
"Vitex quinata",1006.59770213671
"Walsura robusta",387.075630848798
"Wendlandia tinctoria",21208.263685854
"Wrightia pubescens",394.081382466304
"Xylosma longifolium",1972.92018645439
