"","x"
"#N/A",11
"Acacia sinuata",4
"Acer oblongum",9
"Acronychia pedunculata",33
"Adinandra integerrima",5
"Agapetes mannii",120
"Alangium chinense",2
"Albizia mollis",14
"Alnus nepalensis",21
"Alsophila spinulosa",36
"Amoora yunnanensis",6
"Anneslea fragrans",1170
"Aporusa villosa",44
"Artocarpus tonkinensis",29
"Bauhinia acuminata",1
"Beilschmiedia linocieroides",27
"Betula alnoides",661
"Bischofia javanica",1
"Canthium horridum",55
"Carpinus londoniana",1
"Caryodaphnopsis tonkinensis",4
"Caryota ochlandra",4
"Castanopsis calathiformis",789
"Castanopsis ceratacantha",96
"Castanopsis echidnocarpa",4250
"Castanopsis ferox",74
"Castanopsis fleuryi",67
"Castanopsis hystrix",146
"Celastrus monospermus",8
"Cerasus cerasoides",15
"Choerospondias axillaris",4
"Cinnamomum bejolghota",45
"Colona floribunda",1
"Craibiodendron stellatum",55
"Craspedolobium schochii",107
"Croton tiglium",1
"Cudrania cochinchinensis",2
"Dalbergia rimosa",7
"Dalbergia stipulacea",3
"Decaspermum fruticosum",11
"Dichapetalum gelonioides",40
"Diospyros kaki",190
"Diplospora mollissima",71
"Dolichandrone cauda-felina",1
"Elaeocarpus braceanus",1
"Elaeocarpus fleuryi",84
"Elaeocarpus prunifolioides",1
"Elaeocarpus sylvestris",48
"Embelia ribes",3
"Engelhardtia aceriflora",1
"Engelhardtia colebrookiana",378
"Engelhardtia serrata",175
"Engelhardtia spicata",46
"Eriobotrya serrata",7
"Ervatamia yunnanensis",2
"Erythrina strica",13
"Eurya groffii",222
"Evodia lepta",9
"Evodia subtrigonosperma",10
"Ficus hookeriana",1
"Ficus oligodon",4
"Fissistigma bracteolatum",1
"Fraxinus floribunda",2
"Glochidion lanceolarium",129
"Gnetum montanum",55
"Gomphandra tetrandra",1
"Gordonia chrysandra",30
"Helicia nilagirica",656
"Helicia pyrrhobotrya",6
"Heliciopsis henryi",91
"Ilex godajam",4
"Ilex polyneura",7
"Ilex szechwanensis",9
"Itea macrophylla",5
"Itea yunnanensis",1
"Kadsura coccinea",3
"Kadsura heteroclita",1
"Laurocerasus jenkinsii",32
"Ligustrum quihoui",2
"Lithocarpus annamensis",35
"Lithocarpus fenestratus",886
"Lithocarpus grandifolius",192
"Lithocarpus truncatus",1837
"Litsea garrettii",58
"Litsea lancifolia",4
"Litsea magnoliifolia",7
"Litsea monopetala",10
"Litsea rubescens",1006
"Lyonia ovalifolia",386
"Macaranga denticulata",9
"Macaranga kurzii",1
"Macaranga pustulata",1
"Machilus bombycina",72
"Machilus robusta",1
"Machilus rufipes",951
"Maesa perlarius",10
"Maesa permollis",4
"Maesa ramentacea",11
"Mallotus paniculatus",1
"Mallotus philippensis",1
"Mallotus tetracoccus",12
"Medinilla septentrionalis",12
"Michelia floribunda",27
"Mitrephora maingayi",11
"Moru macroura",28
"Mussaenda pubescens",3
"Mycetia glandulosa",1
"Myrica esculenta",424
"Neolitsea levinei",2
"Olea dioica",1
"Olea glandulifera",15
"Olea rosea",27
"Ormosia yunnanensis",3
"Paramichelia baillonii",24
"Phoebe puwenensis",121
"Photinia davidsoniae",2
"Phyllanthus emblica",23
"Pinus kesiya",8
"Pithecellobium clypearia",17
"Pittosporum kerrii",1
"Pygeum henryi",24
"Pyrularia edulis",11
"Pyrus pashia",8
"Rapanea neriifolia",18
"Reevesia pubescens",5
"Rhododendron hancockii",1
"Rourea minor",5
"Rubus paniculatus",5
"Sarcosperma griffithii",3
"Sarcosperma kachinense",1
"Sargentodoxa cuneata",14
"Saurauia napaulensis",6
"Schefflera delavayi",150
"Schefflera glomerulata",1
"Schima wallichii",2172
"Spatholobus suberectus",39
"Symplocos cochinchinensis",25
"Symplocos paniculata",1
"Syzygium latilimbum",40
"Tapiscia yunnanensis",291
"Tarennoidea wallichii",5
"Ternstroemia gymnanthera",805
"Tetrastigma delavayi",1
"Tetrastigma rumicispermum",2
"Toddalia asiatica",1
"Toona ciliata",3
"Toxicodendron succedaneum",2
"Trichilia connaroides",11
"Tupidanthus calyptratus",4
"Turpinia montana",22
"Vaccinium exaristatum",763
"Vitex quinata",1
"Walsura robusta",1
"Wendlandia scabra",4
"Wendlandia tinctoria",771
"Wrightia pubescens",1
"Xylosma longifolium",3
