"","x"
"1","#N/A"
"2","Abrus precatorius"
"3","Acacia sinuata"
"4","Acer mono"
"5","Acer oblongum"
"6","Acronychia pedunculata"
"7","Adinandra integerrima"
"8","Agapetes mannii"
"9","Ailanthus fordii"
"10","Alangium chinense"
"11","Albizia chinensis"
"12","Albizia mollis"
"13","Alchornea davidii"
"14","Alnus nepalensis"
"15","Alsophila spinulosa"
"16","Alyxia yunkuniana"
"17","Amoora yunnanensis"
"18","Angiopteris caudatiformis"
"19","Anneslea fragrans"
"20","Aporusa villosa"
"21","Aralia chinensis"
"22","Ardisia maculosa"
"23","Ardisia virens"
"24","Argyreia capitata"
"25","Artabotrys hongkongensis"
"26","Artocarpus tonkinensis"
"27","Baccaurea ramiflora"
"28","Bauhinia acuminata"
"29","Beilschmiedia linocieroides"
"30","Betula alnoides"
"31","Bischofia javanica"
"32","Brandisia hancei"
"33","Brassaiopsis glomerulata"
"34","Breynia fruticosa"
"35","Canthium horridum"
"36","Carallia diplopetala"
"37","Carpinus londoniana"
"38","Caryodaphnopsis tonkinensis"
"39","Caryota ochlandra"
"40","Castanopsis calathiformis"
"41","Castanopsis ceratacantha"
"42","Castanopsis echidnocarpa"
"43","Castanopsis ferox"
"44","Castanopsis fleuryi"
"45","Castanopsis hystrix"
"46","Castanopsis wattii"
"47","Celastrus monospermus"
"48","Cenocentrum tonkinense"
"49","Cerasus cerasoides"
"50","Chassalia curviflora"
"51","Choerospondias axillaris"
"52","Cinnamomum bejolghota"
"53","Cinnamomum tenuipilum"
"54","Cipadessa baccifera"
"55","Clerodendrum philippinum"
"56","Clerodendrum serratum"
"57","Colona floribunda"
"58","Colquhounia elegans"
"59","Craibiodendron stellatum"
"60","Craspedolobium schochii"
"61","Croton tiglium"
"62","Cudrania cochinchinensis"
"63","Cyclea polypetala"
"64","Dalbergia obtusifolia"
"65","Dalbergia polyadelpha"
"66","Dalbergia rimosa"
"67","Dalbergia stipulacea"
"68","Daphne papyracea"
"69","Debregeasia orientalis"
"70","Decaspermum fruticosum"
"71","Desmodium megaphyllum"
"72","Dichapetalum gelonioides"
"73","Dichroa febrifuga"
"74","Diospyros kaki"
"75","Diplospora mollissima"
"76","Dolichandrone cauda-felina"
"77","Dysoxylum binectariferum"
"78","Elaeagnus loureirii"
"79","Elaeocarpus balansae"
"80","Elaeocarpus braceanus"
"81","Elaeocarpus fleuryi"
"82","Elaeocarpus prunifolioides"
"83","Elaeocarpus sylvestris"
"84","Embelia parviflora"
"85","Embelia ribes"
"86","Embelia scandens"
"87","Engelhardtia aceriflora"
"88","Engelhardtia colebrookiana"
"89","Engelhardtia serrata"
"90","Engelhardtia spicata"
"91","Eriobotrya serrata"
"92","Ervatamia yunnanensis"
"93","Erythrina strica"
"94","Euaraliopsis ficifolia"
"95","Eurya groffii"
"96","Eurya jintungensis"
"97","Evodia lepta"
"98","Evodia subtrigonosperma"
"99","Evodia trichotoma"
"100","Ficus cyrtophylla"
"101","Ficus erecta"
"102","Ficus esquiroliana"
"103","Ficus fistulosa"
"104","Ficus hirta"
"105","Ficus hookeriana"
"106","Ficus laevis"
"107","Ficus neriifolia"
"108","Ficus oligodon"
"109","Ficus subincisa"
"110","Ficus tinctoria"
"111","Ficus virens"
"112","Fissistigma bracteolatum"
"113","Fissistigma minuticalyx"
"114","Fissistigma wallichii"
"115","Flacourtia indica"
"116","Fraxinus floribunda"
"117","Glochidion daltonii"
"118","Glochidion eriocarpum"
"119","Glochidion lanceolarium"
"120","Glochidion wrightii"
"121","Gnetum montanum"
"122","Gomphandra tetrandra"
"123","Gomphostemma arbusculum"
"124","Gordonia chrysandra"
"125","Hedyotis scandens"
"126","Helicia nilagirica"
"127","Helicia pyrrhobotrya"
"128","Heliciopsis henryi"
"129","Ilex godajam"
"130","Ilex polyneura"
"131","Ilex szechwanensis"
"132","Illicium micranthum"
"133","Inula cappa"
"134","Itea macrophylla"
"135","Itea yunnanensis"
"136","Ixora henryi"
"137","Jasminum lanceolarium"
"138","Jasminum nervosum"
"139","Kadsura coccinea"
"140","Kadsura heteroclita"
"141","Lasianthus biermanni"
