,sp,puer
1,Abrus precatorius,AM
2,Acacia sinuata,EcM-AM
3,Acer mono,AM
4,Acer oblongum,AM
5,Acronychia pedunculata,AM
6,Adinandra integerrima,AM
7,Agapetes mannii,ErM
8,Ailanthus fordii,AM
9,Alangium chinense,AM
10,Albizia chinensis,AM
11,Albizia mollis,AM
12,Alchornea davidii,AM
13,Alnus nepalensis,EcM
14,Alsophila spinulosa,AM
15,Alyxia yunkuniana,NM-AM
16,Amoora yunnanensis,AM
17,Angiopteris caudatiformis,AM
18,Anneslea fragrans,AM
19,Aporusa villosa,AM
20,Aralia chinensis,AM
21,Ardisia maculosa,AM
22,Ardisia virens,AM
23,Argyreia capitata,uncertain
24,Artabotrys hongkongensis,AM
25,Artocarpus tonkinensis,AM
26,Baccaurea ramiflora,AM
27,Bauhinia acuminata,AM
28,Beilschmiedia linocieroides,AM
29,Betula alnoides,EcM
30,Bischofia javanica,AM
31,Brandisia hancei,NM-AM
32,Brassaiopsis glomerulata,AM
33,Breynia fruticosa,AM
34,Canthium horridum,AM
35,Carallia diplopetala,AM
36,Carpinus londoniana,EcM
37,Caryodaphnopsis tonkinensis,AM
38,Caryota ochlandra,AM
39,Castanopsis calathiformis,EcM
40,Castanopsis ceratacantha,EcM
41,Castanopsis echidnocarpa,EcM
42,Castanopsis ferox,EcM
43,Castanopsis fleuryi,EcM
44,Castanopsis hystrix,EcM
45,Castanopsis wattii,EcM
46,Celastrus monospermus,AM
47,Cenocentrum tonkinense,AM
48,Cerasus cerasoides,AM
49,Chassalia curviflora,AM
50,Choerospondias axillaris,AM
51,Cinnamomum bejolghota,AM
52,Cinnamomum tenuipilum,AM
53,Cipadessa baccifera,AM
54,Clerodendrum philippinum,AM
55,Clerodendrum serratum,AM
56,Colona floribunda,AM
57,Colquhounia elegans,AM
58,Craibiodendron stellatum,ErM
59,Craspedolobium schochii,AM
60,Croton tiglium,AM
61,Cudrania cochinchinensis,AM
62,Cyclea polypetala,AM
63,Dalbergia obtusifolia,AM
64,Dalbergia polyadelpha,AM
65,Dalbergia rimosa,AM
66,Dalbergia stipulacea,AM
67,Daphne papyracea,AM
68,Debregeasia orientalis,NM-AM
69,Decaspermum fruticosum,AM
70,Desmodium megaphyllum,AM
71,Dichapetalum gelonioides,AM
72,Dichroa febrifuga,AM
73,Diospyros kaki,AM
74,Diplospora mollissima,AM
75,Dolichandrone cauda-felina,AM
76,Dysoxylum binectariferum,AM
77,Elaeagnus loureirii,AM
78,Elaeocarpus balansae,AM
79,Elaeocarpus braceanus,AM
80,Elaeocarpus fleuryi,AM
81,Elaeocarpus prunifolioides,AM
82,Elaeocarpus sylvestris,AM
83,Embelia parviflora,uncertain
84,Embelia ribes,uncertain
85,Embelia scandens,uncertain
86,Engelhardtia aceriflora,AM
87,Engelhardtia colebrookiana,AM
88,Engelhardtia serrata,AM
89,Engelhardtia spicata,AM
90,Eriobotrya serrata,AM
91,Ervatamia yunnanensis,AM
92,Erythrina strica,AM
93,Euaraliopsis ficifolia,AM
94,Eurya groffii,AM
95,Eurya jintungensis,AM
96,Evodia lepta,AM
97,Evodia subtrigonosperma,AM
98,Evodia trichotoma,AM
99,Ficus cyrtophylla,AM
100,Ficus erecta,AM
101,Ficus esquiroliana,AM
102,Ficus fistulosa,AM
103,Ficus hirta,AM
104,Ficus hookeriana,AM
105,Ficus laevis,AM
106,Ficus neriifolia,AM
107,Ficus oligodon,AM
108,Ficus subincisa,AM
109,Ficus tinctoria,AM
110,Ficus virens,AM
111,Fissistigma bracteolatum,uncertain
112,Fissistigma minuticalyx,uncertain
113,Fissistigma wallichii,uncertain
114,Flacourtia indica,AM
115,Fraxinus floribunda,AM
116,Glochidion daltonii,AM
117,Glochidion eriocarpum,AM
118,Glochidion lanceolarium,AM
119,Glochidion wrightii,AM
120,Gnetum montanum,EcM
121,Gomphandra tetrandra,AM
122,Gomphostemma arbusculum,AM
123,Gordonia chrysandra,AM
124,Hedyotis scandens,AM
125,Helicia nilagirica,NM
126,Helicia pyrrhobotrya,NM
127,Heliciopsis henryi,NM
128,Ilex godajam,AM
129,Ilex polyneura,AM
130,Ilex szechwanensis,AM
131,Illicium micranthum,AM
132,Inula cappa,AM
133,Itea macrophylla,AM
134,Itea yunnanensis,AM
135,Ixora henryi,AM
136,Jasminum lanceolarium,AM
137,Jasminum nervosum,AM
138,Kadsura coccinea,AM
139,Kadsura heteroclita,AM
140,Lasianthus biermanni,AM
141,Lasianthus fordii,AM
142,Lasianthus formosensis,AM
143,Lasianthus henryi,AM
144,Laurocerasus jenkinsii,AM
145,Ligustrum quihoui,AM
146,Lindera caudata,AM
147,Lindera communis,AM
148,Lithocarpus annamensis,EcM
149,Lithocarpus fenestratus,EcM
150,Lithocarpus grandifolius,EcM
151,Lithocarpus truncatus,EcM
152,Litsea garrettii,AM
153,Litsea lancifolia,AM
154,Litsea longistaminata,AM
155,Litsea magnoliifolia,AM
156,Litsea monopetala,AM
157,Litsea rubescens,AM
158,Lyonia ovalifolia,ErM
159,Macaranga denticulata,AM
160,Macaranga kurzii,AM
161,Macaranga pustulata,AM
162,Machilus bombycina,AM
163,Machilus robusta,AM
164,Machilus rufipes,AM
165,Maesa indica,AM
166,Maesa perlarius,AM
167,Maesa permollis,AM
168,Maesa ramentacea,AM
169,Mallotus apelta,AM
170,Mallotus paniculatus,AM
171,Mallotus philippensis,AM
172,Mallotus tetracoccus,AM
173,Maytenus royleana,AM
174,Medinilla septentrionalis,AM
175,Melastoma affine,AM
176,Meliosma arnottiana,AM
177,Michelia floribunda,AM
178,Mitrephora maingayi,AM
179,Moru macroura,AM
180,Mucuna macrocarpa,AM
181,Mussaenda pubescens,NM-AM
182,Mycetia glandulosa,AM
183,Myrica esculenta,NM-AM
184,Myriopteron extensum,AM
185,Neocinnamomum caudatum,AM
186,Neolitsea levinei,AM
187,Nephelium chryseum,AM
188,Olea dioica,AM
189,Olea glandulifera,AM
190,Olea rosea,AM
191,Ormosia yunnanensis,AM
192,Oxyceros sinensis,AM
193,Pandanus furcatus,NM-AM
194,Paramichelia baillonii,AM
195,Phoebe puwenensis,AM
196,Photinia davidsoniae,AM
197,Phyllanthus emblica,AM
198,Pinus kesiya,EcM
199,Piper macropodum,NM-AM
200,Pithecellobium clypearia,AM
201,Pittosporum kerrii,AM
202,Podocarpus neriifolius,AM
203,Psychotria yunnanensis,AM
204,Pygeum henryi,AM
205,Pyrularia edulis,NM-AM
206,Pyrus pashia,AM
207,Quercus acutissima,EcM
208,Rapanea neriifolia,AM
209,Reevesia pubescens,AM
210,Rhaphidophora decursiva,AM
211,Rhododendron hancockii,ErM
212,Rhus chinensis,AM
213,Rourea minor,AM
214,Rubus paniculatus,AM
215,Sapindus delavayi,AM
216,Sarcosperma griffithii,AM
217,Sarcosperma kachinense,AM
218,Sargentodoxa cuneata,AM
219,Saurauia napaulensis,AM
220,Schefflera delavayi,AM
221,Schefflera glomerulata,AM
222,Schefflera venulosa,AM
223,Schima wallichii,AM
224,Schisandra henryi,AM
225,Smilax hypoglauca,AM
226,Smilax macrocarpa,AM
227,Smilax ocreata,AM
228,Spatholobus suberectus,AM
229,Sterculia lanceolata,AM
230,Symplocos cochinchinensis,AM
231,Symplocos paniculata,AM
232,Syzygium balsameum,AM
233,Syzygium latilimbum,AM
234,Syzygium szemaoense,AM
235,Tapiscia yunnanensis,AM
236,Tarennoidea wallichii,AM
237,Ternstroemia gymnanthera,AM
238,Tetrastigma cruciatum,AM
239,Tetrastigma delavayi,AM
240,Tetrastigma erubescens,AM
241,Tetrastigma henryi,AM
242,Tetrastigma planicaule,AM
243,Tetrastigma rumicispermum,AM
244,Toddalia asiatica,AM
245,Toona ciliata,AM
246,Toona ciliata ,AM
247,Toxicodendron succedaneum,AM
248,Trichilia connaroides,AM
249,Tupidanthus calyptratus,AM
250,Turpinia montana,AM
251,Uncaria laevigata,AM
252,Vaccinium exaristatum,ErM
253,Ventilago leiocarpa,AM
254,Vernonia parishii,AM
255,Vernonia sylvatica,AM
256,Vernonia volkameriifolia,AM
257,Vitex quinata,AM
258,Wallichia chinensis,uncertain
259,Walsura robusta,AM
260,Wendlandia scabra,AM
261,Wendlandia tinctoria,AM
262,Whitfordiodendron filipes,AM
263,Winchia calophylla,AM
264,Wrightia pubescens,AM
265,Xanthophyllum hainanense,AM
266,Xanthophyllum siamense,AM
267,Xylosma longifolium,AM
268,Xylosma racemosum,AM
269,Zanthoxylum dissitum,AM
270,#N/A,uncertain
