"","allsp","","","","","","","","","","","","","","","","","","","","","","","","","abund"
"1","#N/A","1.03815744559715","1.01839543808412","1.00459805005646","1.00108958671165","0.988547407881194","0.987151832808161","0.974125277705146","0.973508314288966","0.53","0.668","0.932","0.99","0.6","0.524","0.186","0.166","0.616965473062721","0.44794523312841","0.109011157691204","-0.00621302711857157","-0.510737813901161","-0.612256041246984","-1.27591403656817","-1.40106193986717","103"
"2","Abrus precatorius","1.32953706623845","1.41411902005966","1.27298736548426","1.17810284095313","1.16933179480931","1.15733514753459","1.11594106961875","1.1168061081231","0.198","0.012","0.038","0.096","0.066","0.058","0.126","0.082","1.37993298707985","2.61382137437098","2.21882789361525","1.7141062638634","1.89266309980757","1.96001941211658","1.58467774924714","1.72101514297028","5"
"3","Acacia sinuata","0.9402897904183","0.92274918479033","0.937297381684344","0.940315535732815","0.951771601477969","0.967951945819996","0.97659587009016","0.980881239849477","0.592","0.288","0.318","0.254","0.304","0.45","0.526","0.58","-0.5558522722965","-1.04268925381984","-1.00759498566462","-1.12925326151185","-1.04312972535007","-0.754454553384653","-0.619234393402701","-0.547038202744362","31"
"4","Acer mono","1.45506133484311","1.16900840890995","1.45231519476138","1.53051254218952","1.51921844417799","1.55075524197495","1.53658886610182","1.56805048847746","0.23","0.356","0.004","0.002","0.002","0.002","0.002","0.002","1.39737377429725","0.92571415553254","3.20075350560185","4.34522111731292","4.93322114103357","5.88673139573207","6.20833121227093","7.13793828676175","2"
"5","Acer oblongum","0.930634257760928","0.924877708425458","0.939934203388914","0.931641722271042","0.955286490146701","0.967561802847056","0.965035042267792","0.969065524023338","0.506","0.234","0.228","0.104","0.224","0.346","0.272","0.31","-0.700390721333612","-1.21439290434576","-1.20220038653733","-1.61243774056833","-1.16927959047544","-0.919553419513309","-1.07033733690857","-1.01900748525207","34"
"6","Acronychia pedunculata","0.842927054766553","0.877965684992676","0.88327271083897","0.895388951576385","0.899476028643024","0.9082246849755","0.912043521203078","0.917310270218497","0.004","0.002","0.002","0.002","0.002","0.002","0.002","0.002","-2.93576472705674","-3.36495787447607","-3.98401099821125","-4.01990609872998","-4.34656289314368","-4.30393189731044","-4.39070480168432","-4.38482129453379","125"
"7","Adinandra integerrima","0.940937286119691","0.896410913593367","0.933822943918872","0.934382330808205","0.960856219317712","0.934813577083213","0.937745711385677","0.943783425305875","0.52","0.062","0.114","0.074","0.224","0.038","0.052","0.054","-0.654490716041378","-1.8498860028537","-1.5065889042709","-1.73134804961849","-1.14146828284021","-2.02854584898098","-2.07996514504449","-1.99988667759484","38"
"8","Agapetes mannii","0.972839496806282","0.945447322126897","0.945652180091749","0.948569921148441","0.946967892528902","0.943749333950027","0.947647904604628","0.951124964944161","0.5","0.034","0.014","0.004","0.002","0.002","0.002","0.002","-0.667823115783377","-2.07141891846433","-2.52604804886469","-2.76459317529274","-3.21030412914192","-3.76979263600937","-3.76269866604588","-3.69228019300995","200"
"9","Ailanthus fordii","1.56614976030249","1.21855370771154","1.47578820545836","1.63316778503936","1.60598395495208","1.58502384077615","1.59332714284262","1.656288815859","0.138","0.286","0.012","0.002","0.002","0.002","0.002","0.002","1.55839878124565","1.02995635123489","2.78719712846509","4.41704172129657","5.01619514833238","5.40855727099528","5.62843329162532","6.64008314682032","2"
"10","Alangium chinense","0.68485106836439","0.785348105869179","0.798360433773128","0.855314599639357","0.889627730912884","0.905327463285511","0.913099356309247","0.929672930737845","0.004","0.006","0.002","0.004","0.012","0.016","0.026","0.052","-2.5819361155039","-2.79993600481616","-3.26108878308102","-2.74294241511531","-2.37335616194272","-2.25621644906971","-2.19715404199331","-1.89247391510864","21"
