"","x"
"AFROKA",565
"AFZEBI",5
"ALBIGL",13
"ALLO02",10
"AMANST",1257
"ANGY02",446
"ANGY03",10
"ANIS03",175
"ANISGL",475
"ANISPU",187
"ANISSP",98
"ANNICH",1
"ANNO02",228
"ANNO03",4
"ANOPKL",5
"ANTHAU",795
"ANTHCP",197
"ANTHVO",115
"ANTIVO",212
"APOC02",32
"ARDI02",1
"ARGO02",17
"AUCOKL",4
"AULAGL",1
"AULAJA",15
"BAIK02",46
"BALAWI",5
"BAPH02",850
"BAPHGF",99
"BARTFI",4
"BEIL02",339
"BEIL03",77
"BEIL04",5
"BEILGF",187
"BEILLF",69
"BEILNV",261
"BEILPF",24
"BEILPU",43
"BELO02",2
"BERL02",556
"BERLCB",55
"BERT02",1
"BIKI02",21
"BLIGWE",2
"CALPDI",1981
"CALPHE",17
"CAMP02",1893
"CAMP03",10
"CAMPBO",33
"CAMPDU",5
"CAMPFM",71
"CAMPLF",260
"CARPAL",14
"CASE02",181
"CENTGL",205
"CHRYWE",1
"CHYT02",37
"CHYT03",45
"CHYTBA",127
"CHYTBC",3
"CHYTGF",20
"CHYTTA",28
"CLEIIT",99
"CLEILE",156
"CLEIPA",2
"CLEIST",3
"COELPR",5
"COFF02",26
"COLA02",77
"COLAFD",452
"COLALA",37
"COPAMI",2
"COULED",495
"CRAT02",547
"CRATGF",341
"CRATLE",2
"CRATPF",44
"CRATSN",355
"CROT02",3830
"CRUD02",541
"CRYP02",138
"CRYPPE",84
"CUVI02",86
"CUVIPC",10
"CUVIUN",47
"DACRBU",7
"DACRED",81
"DACRIG",233
"DACRKL",6
"DACRNO",1
"DACT02",104
"DACTGL",68
"DACTPF",1040
"DACTPU",116
"DIALAN",606
"DIALCO",2
"DIALDI",1
"DIALPF",713
"DIALTE",134
"DICH02",2
"DICH03",9
"DICHAF",3
"DICHGL",10800
"DIDEAF",917
"DIDEBR",107
"DIDEMI",37
"DIOGZE",1543
"DIOSBO",169
"DIOSCC",104
"DIOSCI",1012
"DIOSCO",2
"DIOSDE",61
"DIOSFR",348
"DIOSHO",964
"DIOSIT",1861
"DIOSMA",21
"DIOSOB",1669
"DIOSPI",148
"DIOSRA",254
"DISCCA",6
"DRYP02",538
"DUGUCO",107
"ENGLST",272
"ERIO02",388
"ERIOPU",47
"ERIS02",53
"ERISRE",430
"EUCL02",26
"EUGE02",13
"EUGELF",125
"EURYTE",389
"GAER02",137
"GAERSP",61
"GARCKO",1
"GARCSM",2844
"GARCTA",552
"GILB02",376
