"","x"
"1","AFROKA"
"2","AFZEBI"
"3","ALBIGL"
"4","ALLO02"
"5","AMANST"
"6","ANGY02"
"7","ANGY03"
"8","ANIS03"
"9","ANISGL"
"10","ANISPU"
"11","ANISSP"
"12","ANNICH"
"13","ANNO02"
"14","ANNO03"
"15","ANOPKL"
"16","ANTHAU"
"17","ANTHCP"
"18","ANTHVO"
"19","ANTIVO"
"20","APOC02"
"21","ARDI02"
"22","ARGO02"
"23","AUCOKL"
"24","AULAGL"
"25","AULAJA"
"26","BAIK02"
"27","BAILTO"
"28","BALAWI"
"29","BAPH02"
"30","BAPHGF"
"31","BARTFI"
"32","BEIL02"
"33","BEIL03"
"34","BEIL04"
"35","BEILGF"
"36","BEILLF"
"37","BEILNV"
"38","BEILPF"
"39","BEILPU"
"40","BELO02"
"41","BERL02"
"42","BERLCB"
"43","BERT02"
"44","BERT03"
"45","BIKI02"
"46","BLIGWE"
"47","CALPDI"
"48","CALPHE"
"49","CAMP02"
"50","CAMP03"
"51","CAMPBO"
"52","CAMPDU"
"53","CAMPFM"
"54","CAMPLF"
"55","CARPAL"
"56","CASE02"
"57","CENTGL"
"58","CHAZ02"
"59","CHAZCM"
"60","CHRYWE"
"61","CHYT02"
"62","CHYT03"
"63","CHYTBA"
"64","CHYTBC"
"65","CHYTGF"
"66","CHYTTA"
"67","CLEIIT"
"68","CLEILE"
"69","CLEIPA"
"70","CLEIST"
"71","COELPR"
"72","COFF02"
"73","COLA02"
"74","COLA03"
"75","COLAFD"
"76","COLALA"
"77","COPAMI"
"78","COULED"
"79","CRAT02"
"80","CRATGF"
"81","CRATLE"
"82","CRATPF"
"83","CRATSN"
"84","CROT02"
"85","CRUD02"
"86","CRYP02"
"87","CRYPPE"
"88","CUVI02"
"89","CUVILO"
"90","CUVIPC"
"91","CUVIUN"
"92","DACRBU"
"93","DACRED"
"94","DACRIG"
"95","DACRKL"
"96","DACRNO"
"97","DACT02"
"98","DACTGL"
"99","DACTPF"
"100","DACTPU"
"101","DESBIN"
"102","DESM02"
"103","DIALAN"
"104","DIALCO"
"105","DIALDI"
"106","DIALPF"
"107","DIALTE"
"108","DICH02"
"109","DICH03"
"110","DICHAF"
"111","DICHGL"
"112","DIDEAF"
"113","DIDEBR"
"114","DIDEMI"
"115","DIOGZE"
"116","DIOSBO"
"117","DIOSCC"
"118","DIOSCI"
"119","DIOSCO"
"120","DIOSDE"
"121","DIOSFR"
"122","DIOSHO"
"123","DIOSIT"
"124","DIOSMA"
"125","DIOSOB"
"126","DIOSPI"
"127","DIOSRA"
"128","DISCCA"
"129","DRYP02"
"130","DRYP03"
"131","DUGUCO"
"132","ENGLST"
"133","ERIO02"
"134","ERIOPU"
"135","ERIS02"
"136","ERISRE"
"137","EUCL02"
"138","EUGE02"
"139","EUGELF"
"140","EURYTE"
"141","GAER02"
"142","GAERSP"
"143","GARCKO"
"144","GARCSM"
