,sp,rabi
1,UNKNOW,uncertain
2,AFROKA,AM
3,ALBIGL,AM
4,ALLO02,AM
5,AMANST,AM
6,ANGY02,AM
7,ANGY03,AM
8,ANIS03,AM
9,ANISGL,AM
10,ANISPU,AM
11,ANISSP,AM
12,ANNICH,AM
13,ANNO02,AM
14,ANNO03,AM
15,ANTHAU,AM
16,ANTHCP,AM
17,ANTHVO,AM
18,ANTIVO,AM
19,APOC02,AM
20,ARDI02,AM
21,ARGO02,AM
22,AUCOKL,AM
23,AULAGL,AM
24,AULAJA,AM
25,BAIK02,AM
26,BAILTO,AM
27,BAPH02,AM
28,BAPHGF,AM
29,BARTFI,AM
30,BEIL02,AM
31,BEIL03,AM
32,BEIL04,AM
33,BEILGF,AM
34,BEILLF,AM
35,BEILNV,AM
36,BEILPF,AM
37,BEILPU,AM
38,BELO02,AM
39,BERT02,AM
40,BERT03,AM
41,BLIGWE,AM
42,CALPDI,AM
43,CALPHE,AM
44,CARPAL,AM
45,CASE02,AM
46,CENTGL,AM
47,CHAZ02,AM
48,CHAZCM,AM
49,CHRYWE,AM
50,CHYT02,AM
51,CHYT03,AM
52,CHYTBA,AM
53,CHYTBC,AM
54,CHYTGF,AM
55,CHYTTA,AM
56,CLEIIT,AM
57,CLEILE,AM
58,CLEIPA,AM
59,CLEIST,AM
60,COELPR,AM
61,COFF02,AM
62,COLA02,AM
63,COLA03,AM
64,COLAFD,AM
65,COLALA,AM
66,COPAMI,AM
67,COULED,AM
68,CRAT02,AM
69,CRATGF,AM
70,CRATLE,AM
71,CRATPF,AM
72,CRATSN,AM
73,CROT02,AM
74,CRUD02,AM
75,CUVI02,AM
76,CUVILO,AM
77,CUVIPC,AM
78,CUVIUN,AM
79,DACRBU,AM
80,DACRED,AM
81,DACRIG,AM
82,DACRKL,AM
83,DACRNO,AM
84,DACT02,AM
85,DACTGL,AM
86,DACTPF,AM
87,DACTPU,AM
88,DESBIN,AM
89,DESM02,AM
90,DIALAN,AM
91,DIALCO,AM
92,DIALDI,AM
93,DIALPF,AM
94,DIALTE,AM
95,DICH02,AM
96,DICH03,AM
97,DICHAF,AM
98,DICHGL,AM
99,DIOGZE,AM
100,DIOSBO,AM
101,DIOSCC,AM
102,DIOSCI,AM
103,DIOSCO,AM
104,DIOSDE,AM
105,DIOSFR,AM
106,DIOSHO,AM
107,DIOSIT,AM
108,DIOSMA,AM
109,DIOSOB,AM
110,DIOSPI,AM
111,DIOSRA,AM
112,DISCCA,AM
113,DRYP02,AM
114,DRYP03,AM
115,DUGUCO,AM
116,ENGLST,AM
117,ERIO02,AM
118,ERIOPU,AM
119,ERIS02,AM
120,ERISRE,AM
121,EUCL02,AM
122,EUGE02,AM
123,EUGELF,AM
124,EURYTE,AM
125,GAER02,AM
126,GAERSP,AM
127,GARCKO,AM
128,GARCSM,AM
129,GARCTA,AM
130,GREEGA,AM
131,GREESU,AM
132,GREW02,AM
133,GREWCO,AM
134,GUIBEH,AM
135,HALLCI,AM
136,HANNKL,AM
137,HARUMA,AM
138,HEINCR,AM
139,HEMA02,AM
140,HEMA03,AM
141,HOMA02,AM
142,HOMA03,AM
143,HYMEFL,AM
144,HYMEKL,AM
145,HYMENG,AM
146,IRVIGA,AM
147,IRVIGR,AM
148,IRVIRO,AM
149,ISOLHE,AM
150,IXOR02,AM
151,IXOR03,AM
152,IXORPF,AM
153,JOLL02,AM
154,KLAI02,AM
155,KLAIGA,AM
156,LACC02,AM
157,LACC03,AM
158,LASI02,AM
159,LASIAF,AM
160,LASIMA,AM
161,LASYMA,AM
162,LECO02,AM
163,LECOBI,AM
164,LEPT02,AM
165,LEPTCA,AM
166,LETEDU,AM
167,LOPHAL,AM
168,MACAMO,AM
169,MACASP,AM
170,MAESBA,AM
171,MAESBC,AM
172,MAESEM,AM
173,MAESFA,AM
174,MAESGF,AM
175,MAESGL,AM
176,MAESPF,AM
177,MAESPU,AM
178,MAGN02,AM
179,MAGNBI,AM
180,MAGNPU,AM
181,MAPRME,AM
182,MARACH,AM
183,MARE02,AM
184,MASSAC,AM
185,MASSST,AM
186,MEME02,AM
187,MEME03,AM
188,MEMEC2,AM
189,MEMEFC,AM
190,MEMEMO,AM
191,MEMENV,AM
192,MEMEPF,AM
193,MEMETO,AM
194,MICRGL,AM
195,MICRPU,AM
196,NAPO02,AM
197,NAPOGF,AM
198,NEOCST,AM
199,NESO02,AM
200,NEWTLE,AM
201,NICHSO,AM
202,OCHTAF,AM
203,OCHTCA,AM
204,OCTOCA,AM
205,ODYEGA,AM
206,OMPHEL,AM
207,ONCOFL,AM
208,ONCOGL,AM
209,OUBAAF,AM
210,OXYAFO,AM
211,PANC02,AM
212,PANC03,AM
213,PARKBI,AM
214,PARO02,AM
215,PARODE,AM
216,PAUR02,AM
217,PAURCA,AM
218,PAURFC,AM
219,PAUSJO,AM
220,PAUSMA,AM
221,PAVE02,AM
222,PAVENB,AM
223,PAVEPF,AM
224,PHYLDI,AM
225,PICRNI,AM
226,PIPTMU,AM
227,PLAGAF,AM
228,POLYPA,AM
229,PORTCL,AM
230,POUCAF,AM
231,PROT02,AM
232,PROTMA,AM
233,PSYC02,AM
234,PSYC03,AM
235,PSYC04,AM
236,PSYC05,AM
237,PSYCDE,AM
238,PSYCFE,AM
239,PTERBE,AM
240,PTERSO,AM
241,QUASAF,AM
242,RAUVVO,AM
243,RHAB02,AM
244,RHAP02,AM
245,RINO02,AM
246,RINO03,AM
247,RINOBC,AM
248,RUBI03,AM
249,RUBI04,AM
250,RUBIPU,AM
251,SACOGA,AM
252,SANTTR,AM
253,SAPI02,AM
254,SCHUMA,AM
255,SCOTKL,AM
