"","x"
"ACACCO",2731676.07335307
"ACROPE",49541.3453507842
"ADENMI",11499.014510302
"ADINPI",1079739.47689942
"AIDICA",188119.35349512
"AIDIPY",25676.2367577894
"AILAFO",65597.2400051183
"ALANCH",84250.4463858077
"ALCHTR",265.464579228338
"ALLELE",49443.1705803596
"ANTICH",67190.0274804883
"ANTIFO",27638.1613699562
"ANTIJA",7792.72057722948
"ANTIVE",15784.1468897985
"APORDI",11217633.0518943
"AQUISI",510157.733229303
"ARCHCL",928342.985330274
"ARCHLU",325003.257801008
"ARDIHA",23258.781210852
"ARDILI",78.5398163397448
"ARDIQU",2382460.56097085
"ARTOHY",427381.479196192
"ARTOST",1446567.54309583
"ARTOTO",67275.6358802986
"BISCJA",123473.230665876
"BLASCO",189731.775924575
"BREYFR",15444.0694850474
"BRIDIN",464171.099966055
"BRIDTO",226.980069221863
"CALLBR",21458.6486203451
"CALLFO",340.077404751095
"CALLKO",1256.63706143592
"CALLRU",201.061929829747
"CAMECA",116306.472424875
"CAMEKI",1963.49540849362
"CANAAL",442403.789867495
"CANTDI",32835.1410171571
"CARABR",748774.261640062
"CASEVE",481609.295387969
"CASTCA",2450433.63042024
"CASTFA",1813900.62031131
"CASTFI",27916285.7821803
"CASTLA",3115987.10266671
"CELTTI",51182.0421141215
"CHOEAX",47295.1066034675
"CINNCA",1204195.24066771
"CINNPA",7565584.99917127
"CLEINE",2333084.14923437
"CLERCY",687.223392972767
"CRATCO",1189896.28170489
"CROTLA",11756.6251078964
"CRYPCO",1122.33397549495
"CUNNLA",861479.683485759
"DAPHCA",533828.063077775
"DAPHOL",189452.959576569
"DENDHO",45099.1333386083
"DENDPR",95.0331777710912
"DICHFE",56693.9664248448
"DIOSER",912023.982291202
"DIOSKA",21124.0690027378
"DIOSMO",37307679.6086164
"DIPLDU",296172.862019014
"EHRELO",569705.836579934
"ELAECH",64760.0055629366
"ELAENI",186732.34033856
"ELAESY",238709.990792203
"ENDOCH",1057.14592793297
"ENGERO",31637162.9883509
"EUON01",418140.484405658
"EURYDI",137801.249360736
"EURYNI",1776688.45532954
"EUSTOB",132826.537393776
"FICUFI",1018965.36701573
"FICUHI",14391.6359460948
"FICUNE",42273.2707467043
"FICUPY",13298.3617026456
"FICUSU",279011.126750617
"FICUV1",583331.709316716
"FICUV2",121065.1998969
"FICUV3",142955.817507113
"FORTHI",13067.4546426067
"GARCOB",7260376.91668053
"GARDJA",38579.5431842461
"GIROSU",102504.670499491
"GLOCER",50992.7611567427
"GLOCHI",101776.606402022
"GLOCLA",121512.091451873
"GLOCWR",273621.724553383
"GLOCZE",34835.5501393304
"HELICO",23563.5156982502
"HOMACO",105565.367142251
"HUODBI",101011.628590873
"ILEX01",14395996.476698
"ILEXAS",399498.273599256
"ILEXFI",405559.976624357
"ILEXKW",282216.336655442
"ILEXPU",981268.611367138
"ILEXRO",403700.939171596
"ITEACH",8368730.01946884
"IXONRE",1610683.5579212
"LASIAT",330.652626790326
"LASICH",761.836218495525
"LASIFO",3160.44220951133
"LIQUFO",816552.552344935
"LITHCO",323833.799935709
"LITHEL",2514015.53873808
"LITHGL",637697.755585251
"LITHHA",254.469004940773
"LITSCU",70976.4320262274
"LITSGL",254644.148731211
"LITSRO",76707.4824245386
"MACASA",139768.671760047
"MACHBR",3369337.7006228
"MACHC1",54683.3471265473
"MACHCH",153642884.254502
"MACHGA",13533619.0831115
"MACHPA",64388879.7979901
"MACHVE",2113105.9046392
"MAESPE",28323.0285684388
"MAGNCH",25851.380548227
"MALLHO",29955.0859519787
"MALLPA",1452.20120412188
"MELASA",265540.762850187
"MELIPT",498583.320495315
"MELIRI",1472236.71127015
"MICRNE",283.528736986479
"MYRIRU",451718.612085389
"MYRSSE",215173.964029672
"OLEATS",8221.54797444449
"ORMOPA",172317.142447564
"OSMAMA",288871.015293908
"PAVEHO",18771.8015033624
"PHYLEM",29772.8735780705
"PICRQU",226.980069221863
"PINUMA",735804.196369716
"PITTGL",3062.26743908665
"POLYAX",132.732289614169
"PRUNPH",7338.76043878576
"PSYCAS",14532894.5181709
"PYGETO",22610.8277260491
"REEVTH",2927431.8531909
"RHAPIN",14131.6691540103
"RHODCH",78.5398163397448
"RHODTO",96781.474082814
"RHUSSU",651081.725687707
"SAPIDI",566931.024868651
"SARCLA",600587.692364722
"SAURTR",261374.225593364
"SCHEHE",9888622.33509946
"SCHISU",4907623.25584203
"SCOLSA",19573.6930281912
"SINOWI",238296.085960093
"SLOASI",728141.066489447
"STERLA",9346236.57363331
"STYROD",176.714586764426
"SYMPCO",3077.1900041912
"SYMPGL",73177.1176800671
"SYMPLA",1885415.83547763
"SYZYBU",603.971187652638
"SYZYCH",112779.249273057
"SYZYHA",3983551.26572431
"SYZYJA",8727.34439167244
"SYZYLE",542311.148640631
"SYZYRE",322496.266863443
"TERNLU",74104.6729110394
"TURPAR",80912.5041913685
"TURPMO",42169.5981891358
"VIBUOD",179812.197120865
"VIBUSE",9936.85756330451
"VITEQU",1180872.05680746
"WIKSNU",70559.3856014633
"ZANTAV",713833.468146836
