"","x"
"ACACCO",24
"ACROPE",21
"ADENMI",1
"ADINPI",232
"AIDICA",67
"AIDIPY",9
"AILAFO",1
"ALANCH",4
"ALLELE",42
"ANTICH",8
"ANTIFO",15
"ANTIJA",7
"ANTIVE",21
"APORDI",2522
"AQUISI",57
"ARCHCL",100
"ARCHLU",144
"ARDIHA",27
"ARDIQU",2304
"ARTOHY",24
"ARTOST",40
"ARTOTO",4
"BISCJA",11
"BLASCO",223
"BREYFR",10
"BRIDIN",199
"CALLBR",20
"CALLKO",1
"CAMECA",94
"CAMEKI",1
"CANAAL",16
"CANTDI",5
"CARABR",96
"CASEVE",290
"CASTCA",43
"CASTFA",100
"CASTFI",448
"CASTLA",119
"CELTTI",9
"CHOEAX",4
"CINNCA",12
"CINNPA",126
"CLEINE",60
"CRATCO",169
"CROTLA",13
"CRYPCO",2
"CUNNLA",21
"DAPHCA",340
"DAPHOL",17
"DENDHO",10
"DICHFE",47
"DIOSER",298
"DIOSKA",1
"DIOSMO",3980
"DIPLDU",228
"EHRELO",30
"ELAECH",11
"ELAENI",13
"ELAESY",6
"ENDOCH",1
"ENGERO",1556
"EUON01",493
"EURYDI",52
"EURYNI",752
"EUSTOB",5
"FICUFI",374
"FICUHI",2
"FICUNE",1
"FICUPY",13
"FICUSU",24
"FICUV1",211
"FICUV2",39
"FICUV3",10
"FORTHI",13
"GARCOB",2374
"GARDJA",32
"GIROSU",5
"GLOCER",50
"GLOCHI",6
"GLOCLA",8
"GLOCWR",141
"GLOCZE",3
"HELICO",1
"HOMACO",54
"HUODBI",32
"ILEX01",743
"ILEXAS",479
"ILEXFI",20
"ILEXKW",85
"ILEXPU",774
"ILEXRO",9
"ITEACH",786
"IXONRE",48
"LASICH",2
"LASIFO",3
"LIQUFO",15
"LITHCO",101
"LITHEL",118
"LITHGL",55
"LITSCU",15
"LITSGL",11
"LITSRO",66
"MACASA",61
"MACHBR",313
"MACHC1",2
"MACHCH",5124
"MACHGA",396
"MACHPA",1751
"MACHVE",325
"MAESPE",29
"MAGNCH",11
"MALLHO",19
"MALLPA",1
"MELASA",273
"MELIPT",307
"MELIRI",260
"MYRIRU",18
"MYRSSE",54
"OLEATS",3
"ORMOPA",47
"OSMAMA",15
"PAVEHO",14
"PHYLEM",5
"PINUMA",22
"PITTGL",3
"PRUNPH",6
"PSYCAS",14450
"PYGETO",2
"REEVTH",151
"RHAPIN",12
"RHODTO",99
"RHUSSU",83
"SAPIDI",35
"SARCLA",108
"SAURTR",84
"SCHEHE",835
"SCHISU",346
"SCOLSA",12
"SINOWI",43
"SLOASI",71
"STERLA",890
"SYMPCO",2
"SYMPGL",29
"SYMPLA",238
"SYZYBU",1
"SYZYCH",21
"SYZYHA",1081
"SYZYJA",9
"SYZYLE",169
"SYZYRE",166
"TERNLU",4
"TURPAR",91
"TURPMO",26
"VIBUOD",22
"VIBUSE",10
"VITEQU",98
"WIKSNU",49
"ZANTAV",72
