"","allsp","","","","","","","","","","","","","","","","","","","","","","","","","abund"
"1","ABBI","1.86641983477289","1.48278071609358","1.32778136991878","1.24807972222105","1.21049741811139","1.18398575594937","1.1664923856538","1.14830188736119","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","136.596099299312","98.3124221518123","79.7622747950078","67.0581048333913","63.9318887840658","61.8408300134666","60.3958849553731","57.6942403481695","20396"
"2","ABCO","0.389139078499965","0.630619029883401","0.704350710318757","0.738904618933231","0.70030322360825","0.693456658693836","0.690975226171694","0.713181440585184","0.002","0.03","0.05","0.064","0.03","0.022","0.012","0.02","-2.53257939049962","-1.98950948390253","-1.89158368368477","-1.77198611281509","-2.13572563771478","-2.24326035475993","-2.32856945800573","-2.2692839784815","14"
"3","AMAL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"4","CELE","0.574427055738306","0.473309144018151","0.684101440094137","0.6516700543717","0.602192049744924","0.634388345369828","0.672462834835807","0.651897292930893","0.038","0.002","0.032","0.012","0.002","0.002","0.004","0.002","-1.82284476876306","-2.97044651882804","-2.05203291607797","-2.53571785551712","-3.24640086597369","-3.18772173227061","-2.98994645636767","-3.32846597980586","9"
"5","JUCO","0.447167234827221","0.604986458981786","0.677321917000619","0.732143240061246","0.793383206489682","0.839405038754331","0.860647716422772","0.862373861891001","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","-10.0468632647333","-9.30210376702899","-8.76504551419688","-7.73595359479119","-6.39532306813964","-5.32400538601329","-4.7884913886261","-4.93413709158387","174"
"6","JUSC","0.16623230272224","0.345808539549342","0.496476255371886","0.423392052685732","0.378088530899565","0.355312025256322","0.369143479331965","0.373823644046755","0.002","0.008","0.036","0.006","0.004","0.002","0.002","0.002","-2.19566901741771","-2.11384707212085","-1.86802466788941","-2.42846762321301","-2.93653226935518","-3.28457729714062","-3.28301175589487","-3.40327566414055","4"
"7","PIED","0.235824103451569","0.270104579936579","0.268189751238174","0.223581068571241","0.231486450910459","0.262967164865083","0.278977385509629","0.335291235025924","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","-2.94557339008908","-3.38902660401341","-3.716520704445","-4.44156114023934","-4.94094728624751","-5.09744408576614","-5.29901898850157","-5.09433805594961","7"
"8","PIEN","0.620528633515312","0.728951808747111","0.773976732791357","0.807869294025602","0.832302035200511","0.85167456228088","0.861285132660299","0.87376117737822","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","-18.5889256213349","-17.1301698590916","-16.1430738501999","-14.6292208947125","-13.74979706488","-12.8145406593568","-12.7641627603443","-12.4262308582221","1361"
"9","PIFL","0.478952054246755","0.563295776643956","0.642505273559155","0.691723582747281","0.722925526836356","0.743063685044917","0.759665977166506","0.774135299804447","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","-20.7114405020708","-22.8293806018219","-21.861298353776","-20.4276658055235","-20.0366476052417","-19.8954163566045","-19.6107730378999","-19.2278292756035","1083"
"10","PILO","0.389765803126898","0.458016194792625","0.520545992809729","0.559886566399614","0.590163846207275","0.612750147958254","0.632591767552847","0.649337967807998","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","-18.437974311558","-19.939844260296","-19.8195200222248","-19.0437422173132","-19.1456875113483","-19.299532199925","-19.0296673382424","-19.02257248172","814"
"11","PIPO","0.283093053735256","0.24236654199252","0.466559642825154","0.551522806547943","0.643482125496514","0.58725610368733","0.613819922225546","0.647165637690251","0.162","0.022","0.11","0.15","0.226","0.102","0.128","0.134","-1.33125365288228","-1.83392533328264","-1.48913396399344","-1.41646613396138","-1.19551755212089","-1.49277626582988","-1.5043209212795","-1.49881514224715","2"
"12","PIPU","0.664508549335879","0.675808963888165","0.667575597660752","0.650603254235462","0.643490652904799","0.638115514934349","0.635087968893709","0.634638074343091","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","-7.05566219817651","-8.207588219137","-9.43314118606377","-10.4333590309263","-11.2733620168774","-12.059435626968","-12.6104561432401","-12.9854044911978","442"
"13","POTR","0.59326279531683","0.742877787625767","0.820722765153881","0.869927401700823","0.887754855684552","0.900188862334326","0.912199840859682","0.922391072288235","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","-25.5325109589705","-21.422648346309","-18.7495362889414","-15.8525257062399","-15.3008385982438","-14.7110327801074","-13.8343118219767","-12.8651327000536","3031"
"14","PSME","0.826422352742844","0.875663687766522","0.971398346643152","1.00481016712063","1.01430604655966","1.03402462364935","1.07868576216569","1.07101465459844","0.234","0.27","0.776","0.926","0.816","0.626","0.204","0.242","-1.16255570527926","-1.10529029742249","-0.281491367535463","0.0718683950604714","0.200883658524961","0.492494042879756","1.20909174147802","1.12819550206817","33"
"15","RICE","0.870053789921588","0.627411279428432","0.552858357027318","0.503056438442875","0.524849271775619","0.543315214450324","0.540572551732474","0.583500059403891","0.098","0.002","0.002","0.002","0.002","0.002","0.002","0.002","-1.71969710033272","-6.30450481462244","-8.65049029451117","-10.7210479503786","-11.42109180009","-11.8838681042708","-12.749291476718","-12.235493315925","86"
"16","RIMO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
