"","allsp","","","","","","","","","","","","","","","","","","","","","","","","","abund"
"1","ABBI","0.975103805079558","0.909154461417597","0.947061776758731","0.959444807880392","0.961732252175378","0.96485606397988","0.967773454796156","0.966677411197786","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","-6.33370132179407","-34.0619288098698","-23.57750724834","-19.847135842012","-20.3317754388891","-18.614914363769","-17.6652223252021","-18.4102871414098","20396"
"2","ABCO","0.780183699182138","1.17789072828249","1.222506946634","1.20567110637602","1.16204152314166","1.16181316485576","1.1252763204878","1.18360799576965","0.17","0.122","0.014","0.006","0.028","0.012","0.078","0.018","-1.53058586559367","1.62547901277911","2.52700811304384","2.58079076422367","2.21297769061554","2.26930384292887","1.73480003518232","2.52315062018765","14"
"3","AMAL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"4","CELE","1.27794991259892","2.13322324701594","2.0948297775952","1.8658966275314","1.74975762237841","1.62072835440982","1.73067241919887","1.6560435617739","0.084","0.002","0.002","0.002","0.002","0.002","0.002","0.002","1.92482579615507","9.36033220486439","10.1990008943623","8.79541225280781","7.83302099697491","6.53027016884239","7.65779920083872","7.01719384304697","9"
"5","JUCO","1.20095524797217","1.31965060838009","1.27914849244833","1.23397980909862","1.22911194983307","1.25609431852622","1.25978564642835","1.26666791706427","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","5.98958411229508","10.897196861564","11.0447836263102","10.4848304257278","10.9008369531087","12.3175975235869","13.1788900356518","14.2358300341769","174"
"6","JUSC","0.231349654764458","1.46332135190986","1.99651446150616","1.88357462185991","1.88133058374887","1.82870076888224","1.79048192115079","1.83359166582091","0.002","0.04","0.002","0.002","0.002","0.002","0.002","0.002","-3.23770452398923","2.31400592404981","6.00331309181439","5.35806100859294","5.35724399345789","5.19575792805683","5.25389368050776","5.55637081632474","4"
"7","PIED","0.91704683628439","1.53192891575046","1.85387932096489","1.94846482209158","2.25083390906222","2.39920514245898","2.27720372528206","2.20268820237168","0.842","0.006","0.002","0.002","0.002","0.002","0.002","0.002","-0.440871531421906","3.82994175632152","6.84763645233614","7.70337943047342","9.86889897462849","11.5478888599799","10.5282657872922","9.69859538696967","7"
"8","PIEN","1.05479076877859","1.06463940124579","1.02166029310235","0.999166330207197","0.998148063770229","0.99271603560674","0.991466572672646","0.996222228064982","0.002","0.002","0.016","0.974","0.792","0.346","0.248","0.624","4.25905438498635","6.10043271297382","2.52462667546505","-0.0485175847845127","-0.194039802930666","-0.947785310341626","-1.13416853688579","-0.52193865153996","1361"
"9","PIFL","0.992465367503154","1.07845770475306","1.0510633703865","1.06076937084894","1.06432740516137","1.07291339599923","1.0816559734617","1.08608344799676","0.652","0.002","0.002","0.002","0.002","0.002","0.002","0.002","-0.470515152107446","6.2853710894528","4.95624720943102","6.52573912236868","7.37212931487739","8.75299906704549","10.2432024123579","11.2890394612813","1083"
"10","PILO","0.771369805389942","0.877234750131977","0.894122381697963","0.911518505588499","0.923023858653688","0.936012664292163","0.952990402163262","0.956575522663642","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","-10.5709082309716","-7.64602206211096","-8.59277812995965","-8.16946947672736","-7.78877545545868","-6.86436253982972","-5.20856111655781","-5.03679014532316","814"
"11","PIPO","1.13756782636451","1.04516129032258","1.05905950523735","1.12230759541504","1.33834021779947","1.55444632905258","1.44525547445255","1.47394540942928","1","0.796","1","0.44","0.1","0.006","0.028","0.06","0.357337981157164","0.213948796422514","0.303685884755564","0.651547806174486","1.72665995717815","2.62370254320624","2.14071854166567","2.24197185182927","2"
"12","PIPU","1.08897613486871","1.04024841814178","0.997052691048325","0.9888117883107","0.977502522519509","0.96717383237425","0.968436098887509","0.979104527912966","0.012","0.096","0.898","0.498","0.128","0.022","0.022","0.098","2.64265708758003","1.69515630169574","-0.132611999599582","-0.670522195751199","-1.50477310072149","-2.33697761322907","-2.34368702811452","-1.62579005569372","442"
"13","POTR","0.925579752083748","0.988631700006428","0.966054986860997","0.949561039904029","0.94733000285236","0.945653185180394","0.942271176853076","0.943434878136458","0.002","0.078","0.002","0.002","0.002","0.002","0.002","0.002","-8.36984166813172","-1.70764145875959","-5.91926849323904","-9.81457510775498","-10.8740360914257","-11.3287905540932","-12.6890857744791","-12.7574117594114","3031"
"14","PSME","0.910662406453386","1.08011617143278","1.07488385875491","1.13675436234097","1.12150928305507","1.09679387273234","1.09763615531324","1.07220470287614","0.38","0.218","0.19","0.014","0.006","0.034","0.01","0.07","-0.907529976183957","1.24144603960787","1.35354821132427","2.74017231996768","2.74059718035564","2.2822890496294","2.48252591509648","1.83499137220037","33"
"15","RICE","1.3016471508805","1.25957954362768","1.1288802501167","1.09834766266893","1.20782280919851","1.22116528553223","1.18464569369877","1.19230355255623","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","5.75316114204221","6.23007787720168","3.84301468373693","3.24912454095144","7.21726126736384","7.75285176224017","6.84258970450925","7.5062766413224","86"
"16","RIMO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
