"","x"
"ACER01",1958.57096200912
"ACTI01",564.104376878583
"ACTINI",10088.5022406933
"ADENNO",5130.41715285298
"ADENPA",3166.92174435936
"AGANHE",25046.3945546344
"AGLA01",10185.9230288811
"AGLA02",1761.71876633518
"AGLAAR",11282.723710084
"AGLABN",3354.875378842
"AGLABR",43140.1775314991
"AGLACA",349.667116326178
"AGLACO",611.361784370208
"AGLACU",4305.76478924893
"AGLALE",108224.905965092
"AGLARI",34907.1784518323
"AGLASU",1188.47235483465
"AGLATO",12756.5547796259
"AILAIN",29115.0240764088
"ALANVI",49867.0028452554
"ALBIPR",23004.8070067542
"ALLOCO",10344.3535464016
"ALSEAR",5664.62142165102
"ALSTBR",707.87936467012
"ALSTSC",147544.286365277
"ANTHCH",15435.0531141316
"ANTIOL",2209.05014427983
"APHA01",730.145402602438
"APHAPH",1347.59402273898
"APHAPO",21130.2422323021
"APORPA",314.159265358979
"ARCHGL",326.851299679482
"ARCHLU",4807.42215815578
"ARCHPT",4983.26495295884
"ARDIIM",572.55526111674
"ARTOAL",6795.27276369636
"ARTOCA",17586.1644358976
"ARTOCO",5434.76679515113
"ARTOLA",16788.4276673532
"ARTOSE",50193.100162698
"ARYTLI",1630.26667572735
"ASTRAC",2596.48705828379
"ASTRMO",359.680942909495
"BAMBFO",769.446726698846
"BARRAP",18648.1012926273
"BARRNO",1140.09182796937
"BOMBCE",4092.02653306195
"BRIDMA",37793.2418129607
"BUCHMO",4238.17342330694
"CALLFA",535.021082887976
"CALOSO",19330.9657257932
"CANAAC",53194.4756821764
"CANAIN",111147.089787755
"CANAMA",7494.96042552224
"CANAOD",11125.5655375882
"CANAOL",6752.60993546061
"CANASC",1485.76126764385
"CARABR",5853.8081312502
"CARYRU",3397.97017606762
"CELT01",764.043187334672
"CELTLA",373513.430341123
"CELTNY",15363.0713724562
"CELTPH",119694.852889367
"CERBFL",13385.4466510031
"CHIOBR",7812.1199118654
"CHIORA",2878.13083967812
"CHIOTR",725.833566685386
"CHISCE",204459.821465998
"CHISCU",123203.030135723
"CHISFO",6433.05498471909
"CHISLA",5063.19492404779
"CHISLO",3334.33721686916
"CHISPA",585.349397198484
"CHISTR",13555.7838046807
"CHISWE",37861.320125764
"CHRYRO",21835.2863096023
"CINNGR",50741.7950276107
"CLAOPO",383.596316984948
"CLERIN",1057.84493229839
"COMMPA",593.95736106932
"CRYPCA",6880.75549980053
"CRYPDE",15604.5263298295
"CRYPDP",1187.93043010191
"CRYPEN",1783.9848042675
"CRYPMA",41112.7350045417
"CRYPME",7864.08970833741
"CRYPMS",17063.5997678811
"CRYPMU",12505.1331195591
"CRYPNO",16850.7804275453
"CUPAAC",5413.89876594966
"CUPACU",314.159265358979
"CUPAMA",4948.5582081183
"CYATOB",2422.47424120146
"CYCLLA",13873.6187334444
"DECA01",1148.2364069238
"DECARH",5121.84060490868
"DENDCO",722.762659866502
"DENDLO",1106.50820250249
"DIOSAR",897.270277791781
"DIOSEL",3542.76618147158
"DIOSFO",1040.62115057508
"DIOSPE",5309.0481111361
"DRACAN",2276.21739521358
"DRACDA",67388.7017999013
"DRACLE",23246.2541101458
"DRYPLA",2039.37272505945
"DRYPOB",1162.70344109358
"DYSOAB",45638.8982264032
"DYSOAC",12119.3533956799
"DYSOAH",1999.24673289147
"DYSOAL",24646.8468009509
"DYSOAN",10745.8176716039
"DYSOAR",15468.518929874
"DYSOAT",2100.20181281458
"DYSOBR",3206.11311271289
"DYSOGA",1330.25243129116
"DYSOMI",9944.24030604045
"DYSOMO",5903.83014027698
"DYSOMY",10630.3562876028
"DYSOPA",15375.5120793645
"DYSOPE",9260.91248795814
"DYSORI",91729.4318126864
"DYSOSE",31212.5790974127
"ELAE01",907.92027688745
"ELAEAM",16584.758215621
"ELAEMI",7771.83684006474
"ELAESC",564.104376878583
"ELAESP",23223.6817669298
"ELAEUN",3078.32883152813
"ENDIBR",1165.50731253691
"ENDIDI",387.075630848798
"ENDISQ",2047.45447216081
"ENDOLA",21236.9699887262
"ENDOMA",25851.2627385025
"ENDOME",11352.6241466264
"ERYTCA",170607.87257058
"EUPOLA",430.052618349907
"EUROPA",1288.24933751266
"FICUAB",36155.7102042219
"FICUAD",441.150294398713
"FICUAL",5224.88484394643
"FICUAP",18374.8141476915
"FICUAR",471.435247579318
"FICUAU",415.47562843725
"FICUBA",1590.43128087983
"FICUBE",5597.77618396427
"FICUBO",876.158775159657
"FICUCA",11309.7335529233
"FICUCH",1194.59060652752
"FICUCO",1467.9013134082
"FICUDR",23564.4267601198
"FICUER",10542.3838393207
"FICUGL",63209.5903184819
"FICUGU",8313.32960381911
"FICUHO",2450.92136267971
"FICUME",24053.1329133122
"FICUMO",3818.54303858532
"FICUNO",35623.7914440794
"FICUPO",32554.1962401282
"FICUPR",14367.2100632132
"FICUPS",25007.6979871238
"FICUPU",3006.59841726504
"FICURU",21261.4587034609
"FICUSE",15539.8252291288
"FICUST",11888.1871542471
"FICUSU",7430.52636019711
"FICUTR",1418.62543263664
"FICUVA",28983.1949946825
