"","x"
"ACER01",2
"ACERLE",2
"ACEROP",46
"ACTI01",4
"ACTINI",101
"ADENNO",2
"ADENPA",1
"AGANHE",113
"AGLA01",146
"AGLA02",12
"AGLAAR",302
"AGLABN",188
"AGLABR",252
"AGLABS",8
"AGLACA",6
"AGLACO",8
"AGLACU",23
"AGLADE",7
"AGLALE",503
"AGLARI",567
"AGLASA",9
"AGLASU",7
"AGLATO",109
"AILAIN",88
"ALANVI",288
"ALBIPR",18
"ALLOCO",110
"ALSEAR",13
"ALSTBR",2
"ALSTSC",267
"ANTHCH",14
"ANTIOL",26
"ANTITO",9
"APHA01",28
"APHAPH",8
"APHAPO",536
"APORPA",57
"ARCHGL",5
"ARCHLU",28
"ARCHPT",52
"ARDIIM",113
"ARDILA",23
"ARECA1",1
"ARTOAL",7
"ARTOCA",44
"ARTOCO",18
"ARTOLA",100
"ARTOSE",146
"ARYTLI",10
"ASTRAC",57
"ASTRMO",7
"BAMBFO",7
"BARRAP",265
"BARRCA",2
"BARRNO",78
"BARRRA",7
"BOMBCE",6
"BREYCE",5
"BRIDMA",78
"BUCHMO",5
"CALDNY",1
"CALLFA",3
"CALLPE",11
"CALLPR",30
"CALOMU",1
"CALOSO",323
"CANAAC",595
"CANAAS",2
"CANAIN",239
"CANAMA",76
"CANAOD",17
"CANAOL",70
"CANASC",13
"CANT01",3
"CARABR",56
"CARYRU",29
"CASECL",14
"CELT01",21
"CELTLA",1522
"CELTNY",69
"CELTPH",218
"CERBFL",87
"CHIOBR",191
"CHIORA",195
"CHIOTR",21
"CHISCE",824
"CHISCU",660
"CHISFO",63
"CHISLA",63
"CHISLO",71
"CHISMO",1
"CHISPA",4
"CHISTR",323
"CHISWE",313
"CHRYRO",36
"CINNGR",91
"CITRSU",7
"CLAO01",1
"CLAOPO",30
"CLEIJA",2
"CLERIN",7
"CLERTR",17
"CLYMPA",5
"COMMBA",14
"COMMPA",5
"CORDTE",3
"CROTWO",3
"CRYP01",11
"CRYP03",1
"CRYPAP",3
"CRYPCA",322
"CRYPDE",56
"CRYPDP",18
"CRYPEN",8
"CRYPMA",189
"CRYPME",99
"CRYPMS",59
"CRYPMU",88
"CRYPNO",117
"CUPA01",1
"CUPAAC",134
"CUPACU",23
"CUPAMA",59
"CYAT01",2
"CYATOB",29
"CYATPO",31
"CYCLLA",29
"CYCLLO",1
"DECA01",10
"DECA02",1
"DECARH",28
"DENDCO",5
"DENDLO",113
"DICHPA",3
"DICTOB",20
"DIOSAR",1
"DIOSEL",50
"DIOSFE",1
"DIOSFO",73
"DIOSLO",2
"DIOSPE",66
"DRACAN",387
"DRACDA",113
"DRACLE",113
"DRYPLA",58
"DRYPOB",112
"DUABMO",2
"DYSO02",1
"DYSOAB",1098
"DYSOAC",16
"DYSOAH",43
"DYSOAL",193
"DYSOAN",33
"DYSOAR",193
"DYSOAT",20
"DYSOBR",25
"DYSOCA",1
"DYSOCO",3
"DYSOEX",1
"DYSOGA",14
"DYSOMI",272
"DYSOMO",49
"DYSOMY",569
"DYSOPA",42
"DYSOPE",184
"DYSORI",417
"DYSOSE",129
"ELAE01",2
"ELAEAL",4
"ELAEAM",94
"ELAEDO",1
"ELAELE",1
"ELAEMI",64
"ELAESC",5
"ELAESP",21
"ELAEUN",112
"ENDIBR",15
"ENDIDI",37
"ENDISQ",8
"ENDOLA",68
"ENDOMA",300
