"","x"
"1","ABRUPR"
"2","ACER01"
"3","ACERLE"
"4","ACEROP"
"5","ACTI01"
"6","ACTINI"
"7","ADENNO"
"8","ADENPA"
"9","AGANHE"
"10","AGLA01"
"11","AGLA02"
"12","AGLA04"
"13","AGLAAR"
"14","AGLABN"
"15","AGLABR"
"16","AGLABS"
"17","AGLACA"
"18","AGLACO"
"19","AGLACU"
"20","AGLADE"
"21","AGLAIN"
"22","AGLALE"
"23","AGLARI"
"24","AGLASA"
"25","AGLASU"
"26","AGLATO"
"27","AILAIN"
"28","ALANJA"
"29","ALANVI"
"30","ALBIPR"
"31","ALLOCO"
"32","ALPHIN"
"33","ALSEAR"
"34","ALSTBR"
"35","ALSTSC"
"36","ANTHCH"
"37","ANTIAN"
"38","ANTIOL"
"39","ANTITO"
"40","APHA01"
"41","APHAPH"
"42","APHAPO"
"43","APORPA"
"44","ARCHGL"
"45","ARCHLU"
"46","ARCHPT"
"47","ARDIIM"
"48","ARDILA"
"49","ARECA1"
"50","ARTOAL"
"51","ARTOCA"
"52","ARTOCO"
"53","ARTOFR"
"54","ARTOLA"
"55","ARTOSE"
"56","ARYTLI"
"57","ASTRAC"
"58","ASTRMO"
"59","BAMB01"
"60","BAMBFO"
"61","BARRAP"
"62","BARRCA"
"63","BARRNO"
"64","BARRRA"
"65","BOMBCE"
"66","BREYCE"
"67","BRIDMA"
"68","BUCHAR"
"69","BUCHMO"
"70","CALDNY"
"71","CALLAR"
"72","CALLFA"
"73","CALLLO"
"74","CALLPE"
"75","CALLPR"
"76","CALOMU"
"77","CALOSO"
"78","CALYMA"
"79","CANAAC"
"80","CANAAS"
"81","CANAHI"
"82","CANAIN"
"83","CANAMA"
"84","CANAOD"
"85","CANAOL"
"86","CANAPO"
"87","CANASC"
"88","CANAVI"
"89","CANT01"
"90","CARABR"
"91","CARYRU"
"92","CASECL"
"93","CELT01"
"94","CELTLA"
"95","CELTNY"
"96","CELTPH"
"97","CERBFL"
"98","CHIOBR"
"99","CHIORA"
"100","CHIOSE"
"101","CHIOTR"
"102","CHISCE"
"103","CHISCU"
"104","CHISFO"
"105","CHISLA"
"106","CHISLO"
"107","CHISMO"
"108","CHISPA"
"109","CHISSC"
"110","CHISTR"
"111","CHISWE"
"112","CHRYRO"
"113","CINNGR"
"114","CITRSU"
"115","CLAO01"
"116","CLAOPO"
"117","CLEIJA"
"118","CLERIN"
"119","CLERTR"
"120","CLYMPA"
"121","COMMBA"
