"","allsp","","","","","","","","","","","","","","","","","","","","","","","","","abund"
"1","ABRUPR","1.00063409991042","1.02647537629261","1.09087685462135","1.16825136185065","1.20196660773844","1.25219995775397","1.21447159264445","1.23198539857995","0.946","0.88","0.432","0.066","0.004","0.002","0.002","0.002","0.0109376705787207","0.171631199876181","0.808778717635795","1.84766372173292","2.68962119251485","3.95923413221886","3.9816145528485","4.98466813066635","4"
"2","ACER01","1.75131818710503","1.95632162552466","2.06995884154597","1.89479324739165","1.81579932139739","1.62804229830659","1.61665412833824","1.56029303597458","0.054","0.002","0.002","0.002","0.002","0.002","0.002","0.002","2.23039655816851","4.36670069321835","7.08360122648564","7.58735667888288","8.82875234543145","8.69984978175885","10.1216833376413","10.8051823594216","2"
"3","ACERLE","0.992968030476113","1.07814478009837","1.14715129769543","1.1208664850146","1.13014309761391","1.1383503724837","1.14084042169215","1.12677437980171","0.982","0.364","0.022","0.02","0.006","0.004","0.002","0.002","-0.0608363925766961","0.962450439375563","2.29706330774241","2.31914164865021","2.89248222759308","3.42525989244746","3.92354541163638","3.85496353053047","11"
"4","ACEROP","1.02065464725635","1.05658339239487","1.03119591512808","1.03351628069535","1.03320985140677","1.0223241645079","1.02152680761414","1.02143428320341","0.5","0.008","0.05","0.012","0.01","0.05","0.04","0.018","0.647737235524422","2.67140128281462","1.89954686262604","2.44619658519569","2.73585753267739","2.09394939662926","2.27880087477677","2.5350045265703","179"
"5","ACTI01","1.06603856380649","1.10645284755322","1.05199173402105","1.07395114333122","1.07318824549431","1.05148700848677","1.05280243811252","1.05635973662903","0.508","0.092","0.288","0.076","0.042","0.092","0.054","0.03","0.655739817210564","1.71761272516577","1.0602089521915","1.81934321723826","2.06210390491879","1.64274254265323","1.90331847926915","2.27612334040754","19"
"6","ACTINI","1.07771271269688","1.0621421775394","1.04434147781169","1.02794084504016","1.0145895010344","1.00794032341602","1.00525436327007","1.00120100717474","0.002","0.002","0.002","0.002","0.03","0.152","0.26","0.798","4.42926071576146","5.60921152008995","5.10935308782289","3.91373364989855","2.37190787619125","1.47218606382467","1.10968493743548","0.268643167369189","724"
"7","ADENNO","1.34775755601278","1.03598689688264","1.17296881718156","1.22172128983304","1.2531886371675","1.25612606343604","1.26329512181392","1.25853438286849","0.09","0.744","0.052","0.004","0.002","0.002","0.002","0.002","1.80614581828222","0.292451003859576","1.82743250568292","2.63672484244378","3.57937852286768","3.98888198593038","4.50422973015644","4.90659140283708","5"
"8","ADENPA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"9","AGANHE","1.07328045141374","1.05403792357852","1.04584176560087","1.03180716497666","1.02247078012279","1.01805114302174","1.0102010331354","1.00747309813393","0.008","0.002","0.002","0.002","0.002","0.006","0.118","0.196","2.8733118559192","3.42798506942976","3.76762404025164","3.21095848562917","2.70166517245415","2.54135933371835","1.62287603723913","1.32557176630613","351"
"10","AGLA01","1.08299762628699","1.03970321964918","1.02692787555266","1.01830585434968","1.01308346370224","1.00951099710091","1.0063501117054","1.00497789503019","0.002","0.002","0.002","0.002","0.002","0.022","0.07","0.088","6.337205924309","4.69672510670135","4.21420186786526","3.55414795946321","2.98961093201876","2.47131766041667","1.86152572955301","1.65643146013403","1201"
