"","x"
"ABARJU",1273148.48702502
"ABARLA",85422.2604455967
"ABUTGR",31606.7782896035
"ACALCU",166482.419491684
"ACALSD",41524.0008988231
"ACALSH",10913.1074804075
"ACANAN",53045.0065577003
"ACIDNI",230988.741447843
"AEGIEL",1761.64808050048
"AEGIHA",120056.748655097
"AEGIIN",13987.9412901086
"AEGIME",10598.1628168852
"AEGIVI",82277.5261993533
"AGONPE",260138.794282339
"AGONSI",468899.982307871
"AGOUCU",9893.66066431766
"AGOUIS",279322.144423322
"AGOUVE",628.318530717959
"AIOUGR",120109.370332045
"AIOUPE",14741.9235269701
"AIOUPS",11596.4038825633
"AIPHUL",395594.059329007
"ALBINI",446218.468747116
"ALC1CO",855.298599939821
"ALC1GL",33051.1255120914
"ALC1TR",21360438.507003
"ALC2FL",1299863.80555299
"ALIBIT",75190.0931728547
"ALIBJO",122090.929898297
"ALIBLA",56979.8513563215
"ALIBPE",22024.1352979912
"ALIBPI",14707.3660077806
"ALLOAM",193232.295538838
"ALLOGL",659949.656350627
"ALLOPI",119548.596043379
"ALLOSC",265664.855760004
"ALSECO",4221075.30528978
"ALSOCU",25732.785425554
"AMIRAM",5284.15884333803
"AMPEED",965503.314033261
"AMPELO",26903.8140871796
"AMYRMA",61707.9482999741
"ANAXBR",49845.2944400191
"ANDIIN",104730.48889456
"ANDILA",33992.817910005
"ANDIMA",28033.2166461451
"ANDIMU",50999.0443420499
"ANIBAN",47824.4649655974
"ANIBGU",1506107.79246483
"ANIBHO",419384.555096479
"ANIBRI",641842.301693499
"ANIBTA",55068.9776247755
"ANNOAM",122834.701959034
"ANNODU",114732.534505426
"ANNOMO",457653.866006183
"ANTHAM",588187.040762839
"APARCO",2815331.97332919
"APEIME",13274188.7179725
"APEITI",29739.1014570444
"APHECR",660.519855417254
"APTATU",888238.19891271
"APULLE",119164.536341478
"ARDIDE",111940.444034548
"ARDISE",4607.93102465283
"ASPIBL",886876.318497379
"ASPIME",860275.668101271
"ASPIRI",575690.570585022
"ASPISP",86528.8864578237
"ASTCCH",4347319.42067612
"ASTCMU",1524548.15594324
"ASTRGR",877222.204272898
"ATTAMA",53092.9158456675
"BACTCO",21818.3609791811
"BACTMA",27044.4003584277
"BANANI",151254.334501571
"BATOAM",86748.797943575
"BATOCO",57089.8070991971
"BATOOR",1739013.69082953
"BAUHBR",716865.10505755
"BEILPE",681160.119151339
"BELLPE",139002.908550734
"BERTGU",5481.29378235079
"BESLQU",1906.946740729
"BOROCL",503465.355478993
"BROSAC",1955632.78747985
"BROSGU",1545652.58999189
"BROSLA",576841.1788944
"BROSPO",214829.174235941
"BROSUT",1206746.21390242
"BROWGR",8773814.04480618
"BROWLO",1644229.48427623
"BROWRO",15174.6779150021
"BRUNSH",3440.82935384422
"BUCHCO",88570.921682657
"BUCHGR",1452666.15983461
"BUCHMA",24086.5908750729
"BUCHPA",1326572.84089564
"BUCHPU",297996.556554423
"BUNCAR",128519.413865705
"BUNCBL",475169.815846273
"BUNCMY",12917.4435933978
"BYRSJU",128795.874019221
"BYRSPU",755721.108395312
"CABRCA",4121991.82919005
"CALCME",1636943.34551439
"CALLCA",803353.936209041
"CALOBR",405134.290819796
"CALPBI",56502.3292729758
"CALPGC",706.858347057703
"CALPGI",22821.3144338397
"CALPLO",706.858347057703
"CALPPC",31766.9995149366
"CALPPE",24981.944781346
"CALPPL",172201.688917544
"CALPPS",100554.526859775
"CALPPT",10365.6849605195
"CALPRU",260682.28981141
"CALPSE",205241.818855348
"CALPSP",70932.4497290771
"CAMPLI",224936.463200702
"CAPIDE",404864.899249751
"CAPPDE",151464.035811198
"CAPPOS",466307.382970496
"CAPPSO",237678.763003663
"CARACO",1242576.86351478
"CARDOR",1264271.9169823
"CARIBR",2235.24317302914
"CARIMI",16221.6136668109
"CAROCH",39057.0652675917
"CAROFO",91793.4103470768
"CAROTO",138934.578910518
"CARPLO",358580.600082576
"CARYGL",585497.052053203
"CASEAC",6800.7626968585
"CASEAE",741569.018889054
"CASEAR",81476.4200726879
"CASEBR",209289.760989498
"CASEJA",808738.626017294
"CASENI",98153.5646742693
"CASEPF",158933.172345108
"CASEPI",16643.3724805553
"CASEPR",239057.136780425
"CASESP",182792.783150959
"CASESY",157346.668055045
"CASETU",7700.82899211198
"CASEUL",510826.892464517
"CASSCO",178417.329982672
"CASTUL",1842574.72185879
"CATHAC",843917.395154029
"CECREN",626880.466680778
"CECRFI",2340685.23265974
"CECRHE",978862.151394488
"CECRMA",115342.003480222
"CECRME",54992.0086047625
"CECRPU",21248.1619125546
"CECRSC",18596437.801439
"CEDAOD",7074662.45236173
"CEDGCA",13703646.7899128
"CEIBPE",3062296.4988187
"CELTSC",2799612.22908879
"CESTME",13194.6891450771
"CESTSI",22205.5622737361
"CESTTO",415.47562843725
"CHAMPI",1256.63706143592
"CHEICO",20306.469514641
"CHIMGL",285423.117356593
"CHIMJA",801516.889904854
"CHIOOP",198576.930040757
"CHLO2S",8949.61207191392
"CHOMCO",388180.686064699
"CHRCFR",5022.62125492668
"CHRCHU",34913.3045575068
"CHRCME",478363.244778647
"CHRCTE",23458.272344355
"CHRYAM",768718.662601377
"CHRYAR",106686.915719583
"CHRYCU",336483.422755388
