"","x"
"ABARJU",21
"ABARLA",52
"ABUTGR",57
"ACALCU",213
"ACALSD",36
"ACALSH",10
"ACANAN",6
"ACIDNI",398
"AEGIEL",3
"AEGIHA",59
"AEGIIN",3
"AEGIME",12
"AEGIVI",47
"AGONPE",24
"AGONSI",18
"AGOUCU",14
"AGOUIS",62
"AGOUVE",2
"AIOUGR",4
"AIOUPE",3
"AIOUPS",5
"AIPHUL",352
"ALBINI",19
"ALC1CO",1
"ALC1GL",2
"ALC1TR",183
"ALC2FL",64
"ALIBIT",25
"ALIBJO",15
"ALIBLA",31
"ALIBPE",11
"ALIBPI",12
"ALLOAM",18
"ALLOGL",131
"ALLOPI",62
"ALLOSC",25
"ALSECO",152
"ALSOCU",8
"AMIRAM",5
"AMPEED",80
"AMPELO",21
"AMYRMA",9
"ANAXBR",28
"ANDIIN",29
"ANDILA",5
"ANDIMA",4
"ANDIMU",6
"ANIBAN",49
"ANIBGU",106
"ANIBHO",157
"ANIBRI",189
"ANIBTA",8
"ANNOAM",31
"ANNODU",23
"ANNOMO",6
"ANTHAM",11
"APARCO",386
"APEIME",364
"APEITI",2
"APHECR",2
"APTATU",39
"APULLE",9
"ARDIDE",37
"ARDISE",9
"ASPIBL",5
"ASPIME",9
"ASPIRI",38
"ASPISP",4
"ASTCCH",98
"ASTCMU",85
"ASTRGR",52
"ATTAMA",1
"BACTCO",37
"BACTMA",46
"BANANI",7
"BATOAM",8
"BATOCO",2
"BATOOR",89
"BAUHBR",142
"BEILPE",38
"BELLPE",18
"BERTGU",11
"BESLQU",5
"BOROCL",114
"BROSAC",44
"BROSGU",63
"BROSLA",48
"BROSPO",1
"BROSUT",56
"BROWGR",1657
"BROWLO",335
"BROWRO",1
"BRUNSH",2
"BUCHCO",9
"BUCHGR",30
"BUCHMA",6
"BUCHPA",28
"BUCHPU",8
"BUNCAR",60
"BUNCBL",31
"BUNCMY",9
"BYRSJU",17
"BYRSPU",63
"CABRCA",92
"CALCME",137
"CALLCA",72
"CALOBR",13
"CALPBI",73
"CALPGC",1
"CALPGI",10
"CALPLO",1
"CALPPC",36
"CALPPE",11
"CALPPL",79
"CALPPS",31
"CALPPT",11
"CALPRU",93
"CALPSE",106
"CALPSP",79
"CAMPLI",27
"CAPIDE",37
"CAPPDE",121
"CAPPOS",27
"CAPPSO",258
"CARACO",36
"CARDOR",141
"CARIBR",5
"CARIMI",5
"CAROCH",10
"CAROFO",8
"CAROTO",19
"CARPLO",384
"CARYGL",7
"CASEAC",6
"CASEAE",82
"CASEAR",46
"CASEBR",69
"CASEJA",189
"CASENI",112
"CASEPF",140
"CASEPI",21
"CASEPR",215
"CASESP",19
"CASESY",42
"CASETU",2
"CASEUL",71
"CASSCO",11
"CASTUL",107
"CATHAC",12
"CECREN",16
"CECRFI",160
"CECRHE",36
"CECRMA",7
"CECRME",2
"CECRPU",5
"CECRSC",375
"CEDAOD",66
"CEDGCA",34
"CEIBPE",4
"CELTSC",119
"CESTME",12
"CESTSI",9
"CESTTO",1
"CHAMPI",4
"CHEICO",13
"CHIMGL",10
"CHIMJA",32
"CHIOOP",43
"CHLO2S",8
"CHOMCO",119
"CHRCFR",7
"CHRCHU",4
"CHRCME",33
"CHRCTE",28
"CHRYAM",11
"CHRYAR",118
"CHRYCU",90
"CHRYMA",23
"CHRYMI",7
"CHRYOV",11
"CHRYTR",11
"CHRYVE",8
"CINNNA",13
"CINNOP",36
"CINNTR",2
"CITHPO",1
"CLARBI",60
"CLARRA",16
"CLAVDE",2
"CLAVPR",45
"CLAVWE",4
"CLIDDI",1
"COCCCO",1
"COCCDE",252
"COCCGI",72
"COCCJI",1
"COCCLA",6
"COCCMO",24
"COCCNI",5
"COCCPA",45
"COCCPB",11
"COCCPU",12
"COCCSU",3
"COLUAR",5
"COMPCA",87
"COMPUL",30
"CONCRH",356
"CORDBU",5
"CORDCH",15
"CORDCO",43
"CORDHE",8
"CORDJO",32
"CORDKI",23
"CORDNO",618
"CORDUC",47
"COSSOR",24
"COUEOB",23
"COUEPA",17
"COURGU",7
"COUSBR",7
"COUSCE",16
"COUSDU",17
"COUSKL",18
"COUTGU",19
"CREMCA",35
"CREMGR",11
"CREPGO",3
"CREPRH",137
"CRYPNO",291
"CUPACI",19
"CUPALI",78
"CYATLA",273
"CYATPU",8
"CYBIAN",2
"CYBIPE",13
"CYMBCO",15
"CYPHME",10
"CYPHPI",8
"DACRGO",74
"DACRPE",94
"DALBNI",3
"DENBBO",64
"DENDAR",72
"DENDCA",119
"DENDQU",228
"DIALGU",59
"DILKPA",166
"DIOSAR",15
"DIOSCR",29
"DIOSEK",22
"DIOSPS",44
"DIOSSU",10
"DIPLPT",2
"DIPLPU",9
"DIPOCU",1
"DISCGU",136
"DRYPAM",85
"DRYPVA",54
"DUGUCO",27
"DUGUHA",275
"DUGUQU",109
"DUGUSP",83
"DUGUSU",17
"DULACA",80
"DUROES",54
"DUROHI",235
"DUSSDE",15
"DUSSPE",16
"DUSSTE",23
"ECCLAN",10
"ECCLGU",46
"ELAEGL",13
"ENDLBR",34
"ENDLBU",12
"ENDLCA",2
"ENDLDO",203
"ENDLFA",26
"ENDLFO",76
"ENDLKR",8
"ENDLPL",18
"ENDLSE",35
"ENDLTE",40
"ENDLTS",242
"ENTEBA",3
"ERIOGL",5
"ERISUN",5
"ERYNAM",3
"ERYOGR",9
"ERYOMA",51
"ERYOSQ",7
"ESCHAN",19
"ESCHBR",151
"ESCHCO",1174
"ESCHGG",47
"ESCHGI",391
"ESCHGR",9
"ESCHJU",12
"ESCHRU",174
"ESENAM",126
"EUGEEG",13
"EUGEFE",63
"EUGEFL",373
"EUGEGR",39
"EUGEGV",66
"EUGELA",29
"EUGEMA",37
"EUGEMC",46
"EUGEME",58
"EUGEMI",407
"EUGEMN",11
"EUGEMU",61
"EUGEMV",38
"EUGEPA",29
"EUGERA",24
"EUGESB",50
"EUGESC",179
"EUGESD",21
"EUGESM",50
"EUGESS",10
"EUGEYA",67
"EUPLMI",6
"EUTEPR",31
"FARACA",334
"FARAGL",15
"FARAMU",3
"FARAQU",45
"FARATO",36
"FARAUN",13
"FICUAC",3
"FICUBA",6
"FICUCR",4
"FICUDO",1
"FICUEC",1
"FICUGO",2
"FICUMA",22
"FICUNY",2
"FICUPI",3
"FICUPU",5
"FICUTR",6
"FROEDI",4
"GARCBR",45
"GARCMA",5
"GARCMC",6
"GENIAM",3
"GEONCO",2
"GEONMA",86
"GEONTR",79
"GLOEEQ",229
"GLOEES",1
"GLOELO",120
"GLYCAM",17
"GORDFR",1
"GRIANE",183
"GUAPCL",154
"GUAPGR",58
"GUARCA",110
"GUAREC",14
"GUARFA",10
"GUARFI",864
"GUARGI",52
"GUARGL",82
"GUARGO",193
"GUARGR",224
"GUARGU",108
"GUARGZ",58
"GUARKU",718
"GUARMA",317
"GUARPB",150
"GUARPN",1
"GUARPT",266
"GUARPU",194
"GUARSI",328
"GUATCI",16
"GUATGI",14
"GUATGL",191
"GUATGR",158
"GUATGS",3
"GUATMU",148
"GUATPC",15
"GUATPL",7
"GUATPU",179
"GUATRE",132
"GUETAC",97
"GUSTHE",122
"GUSTLO",851
"HASSFL",107
"HASSHA",19
"HEISAC",86
"HEISFL",1
"HEISGR",28
"HEISMU",4
"HEISNI",27
"HELITO",87
"HERRCU",65
"HERRNI",30
"HIERAL",33
"HIEROB",23
"HIMASU",107
"HIRTEX",112
"HIRTRA",4
"HUERGL",15
"HYMAOB",94
"INGA3C",12
"INGA3O",133
"INGA4A",1
"INGA6C",334
"INGAAB",79
"INGAAC",164
"INGAAL",46
"INGAAU",1016
"INGABO",76
"INGABR",136
"INGACA",669
"INGACI",166
"INGACN",25
"INGACO",191
"INGACY",107
"INGAHE",55
"INGALE",165
"INGAMA",356
"INGAMI",47
"INGAMU",22
"INGANO",70
"INGAOE",73
"INGAPO",39
"INGAPU",41
"INGARU",244
"INGASA",25
"INGASB",35
"INGASE",8
"INGASL",26
"INGASP",14
"INGASR",33
"INGAST",18
"INGATE",56
"INGATH",101
"INGATO",15
"INGAUE",102
"INGAUM",405
"INGAVE",20
"INGAVI",86
"INGAYA",130
"IRIADE",2226
"IRYAGR",49
"IRYAHO",577
"IRYAJU",100
"IRYAPA",12
"IXORAC",10
"IXORKI",89
"IXORPA",31
"JACACO",63
"JACAGL",35
"JACTDI",14
"KLARNA",4
"KOTCSE",10
"LACIAG",3
"LACIME",36
"LACINE",69
"LACMLA",44
"LACMOB",4
"LACUCR",3
"LACUJE",60
"LAETPR",12
"LAXOTE",13
"LEANBL",1
"LECOPE",39
"LEONCR",128
"LEONGL",349
"LEONOC",3
"LICAAR",16
"LICABL",1
"LICACA",34
"LICAFI",1
"LICAHA",133
"LICAHI",26
"LICALG",404
"LICALO",42
"LICAMA",3
"LICANE",92
"LICAOP",63
"LICARE",45
"LICAUR",17
"LICAZI",120
"LICRBR",19
"LICRCA",71
"LICRGU",14
"LINDPA",78
"LONCSE",114
"LOREKL",3
"LORESP",4
"LOZAKL",127
"LUNAPA",2
"MABECO",561
"MABESU",382
"MACHAR",11
"MACHFI",51
"MACRAN",67
"MACRCO",15
"MACRST",105
"MACRYA",486
"MAQUCA",263
"MAQUGU",26
"MARGNO",136
"MARGRO",23
"MARICO",96
"MARIPU",17
"MARMBA",1372
"MATAOC",12
"MATIBR",505
"MATICO",28
"MATILO",785
"MATIMA",1801
"MATIOB",2800
"MATIOQ",380
"MAYNAN",83
"MAYNOD",14
"MAYTAL",24
"MAYTCI",7
"MAYTCU",41
"MELCNG",113
"MELIDO",29
"MELIPO",1
"MELIVA",18
"MEMOCL",1140
"MEZIEX",4
"MEZITR",37
"MICOAB",2
"MICOAC",34
"MICOAM",4
"MICOAT",1
"MICOBU",107
"MICOCE",3
"MICOCH",9
"MICOCO",14
"MICOCR",2
"MICODE",63
"MICOEL",155
"MICOET",18
"MICOFA",1
"MICOFO",33
"MICOGC",34
"MICOGR",233
"MICOKL",50
"MICOLA",10
"MICOLU",6
"MICOMA",2
"MICOME",96
"MICOMU",58
"MICONA",74
"MICONE",34
"MICONV",4
"MICOPE",55
"MICOPI",73
"MICOPO",14
"MICOPR",28
"MICOPT",14
"MICOPU",377
"MICORB",11
"MICORU",10
"MICOSA",34
"MICOSM",13
"MICOTI",615
"MICOTN",24
"MICOTO",76
"MICOTR",3
"MICOZU",22
"MICRBR",42
"MICRDO",9
"MICRDU",18
"MICREG",46
"MICRVE",76
"MINQGU",142
"MOLIGR",13
"MOLLKI",41
"MOLLRO",2
"MOLLSP",26
"MOLLTO",27
"MOLLTR",9
"MOROPA",2
"MOURAC",8
"MOURGC",9
"MOURGR",55
"MOURIN",30
"MOURMY",25
"MYRCBL",106
"MYRCPI",120
"MYRCPL",35
"MYRCPS",10
"MYRCSP",175
"MYRCVE",137
"MYROBA",2
"MYRRAM",26
"MYRRFL",69
"MYRRIN",66
"NAUCGL",65
"NAUCIN",36
"NAUCKR",413
"NAUCUL",194
"NECTAC",1
"NECTGR",131
"NECTLA",143
"NECTLI",93
"NECTME",108
"NECTMI",2
"NECTOP",131
"NECTVI",394
"NEEAAG",123
"NEEAAL",10
"NEEAAN",138
"NEEABA",733
"NEEACL",149
"NEEACO",695
"NEEADA",5
"NEEAFU",19
"NEEAGA",22
"NEEAGI",41
"NEEAGR",259
"NEEAMC",9
"NEEAMI",18
"NEEAPA",18
"NEEAPO",38
"NEEASU",168
"NEEAVC",2
"NEEAVE",11
"NEOSGR",61
"OCHRPY",1
"OCOTAL",93
"OCOTAR",103
"OCOTBA",4
"OCOTBO",116
"OCOTCE",84
"OCOTCH",13
"OCOTFL",55
"OCOTJA",284
"OCOTLA",124
"OCOTLE",47
"OCOTLO",2
"OCOTLU",185
"OCOTME",70
"OCOTNE",19
"OCOTOB",2
"OCOTSC",32
"OCOTUC",11
"OENOBA",103
"OENOMA",2
"OPHIHE",439
"ORMOAM",2
"ORMOEL",19
"ORMOPA",25
"OSSABO",1
"OTOBGL",312
"OURAFL",65
"OXANME",44
"OXANRI",47
"PACHIN",151
"PACHPU",221
"PALIGR",11
"PALIGU",98
"PALILA",3
"PALINI",185
"PARASU",10
"PARIKL",5
"PARKBA",6
"PARKMU",57
"PARKNI",41
"PARKVE",30
"PATIPA",53
"PAULXE",9
"PAUSTR",443
"PENPHU",1
"PENTPA",243
"PENTSU",425
"PENTWU",60
"PERABI",3
"PERADU",24
"PEREAN",54
"PEREGU",85
"PEREMO",33
"PERETE",61
"PEREXA",364
"PERSAR",19
"PERSPE",13
"PERSPS",25
"PHYLAT",3
"PHYTTE",102
"PICRJU",77
"PICRMA",33
"PICRMI",28
"PICRPB",1
"PICRPU",19
"PICRSE",15
"PIPEAE",1
"PIPEAR",50
"PIPEAU",177
"PIPEBE",10
"PIPEBF",1
"PIPECR",24
"PIPEFU",19
"PIPEMA",1
"PIPEMI",1
"PIPEMY",2
"PIPEOC",217
"PIPEOG",22
"PIPEON",3
"PIPEOT",273
"PIPEOV",25
"PIPEPU",12
"PIPERE",12
"PIPERT",3
"PIPESC",11
"PIPTPT",4
"PLATPI",2
"PLATST",13
"PLEUBI",50
"PLEUCI",1
"PLEUCO",9
"PLEUCU",48
"PLEUGL",57
"PLEUIN",118
"PLINCA",1
"PLINCO",23
"PLINPS",72
"PLINUN",36
"POSOLA",84
"POSOLO",22
"POTARE",5
"POULAR",10
"POURBI",883
"POURDE",110
"POURGU",60
"POURME",4
"POURMI",205
"POURNA",8
"POURPE",76
"POURTO",222
"POUTAC",12
"POUTAN",32
"POUTAP",35
"POUTBA",11
"POUTBI",18
"POUTCA",17
"POUTCL",1
"POUTDO",14
"POUTDU",43
"POUTGM",111
"POUTGO",6
"POUTGR",18
"POUTGU",47
"POUTKR",32
"POUTLA",19
"POUTMU",50
"POUTNU",17
"POUTPE",107
"POUTPL",25
"POUTPR",26
"POUTRB",9
"POUTRD",55
"POUTRE",85
"POUTRO",86
"POUTSM",12
"POUTTC",20
"POUTTO",64
"POUTTR",60
"POUTTU",197
"POUTVE",172
"PRADAT",40
"PRESSC",417
"PROTAM",96
"PROTAR",211
"PROTBR",146
"PROTGL",114
"PROTGR",148
"PROTGU",69
"PROTNO",518
"PROTSA",505
"PROTTR",1
"PROTUN",3
"PRUNDE",30
"PSEDDI",55
"PSEPSU",112
"PSEULA",246
"PSEULS",419
"PSEUMA",106
"PSEURI",18
"PSYCBO",3
"PSYCCA",33
"PSYCDE",9
"PSYCDR",4
"PSYCHU",105
"PSYCME",12
"PSYCPO",5
"PSYCST",52
"PSYCVI",14
"PTERRH",169
"QUALPA",113
"QUARSE",179
"QUARWI",96
"QUIIFL",103
"QUIIGO",6
"QUIIGR",22
"QUIIMD",27
"RANDBI",22
"RANDGO",8
"RANDMA",5
"RAUVPR",5
"RHAMEL",1
"RHODJU",57
"RHODKU",17
"RHODLI",26
"RHODSO",3
"RICHRA",114
"RINOAP",856
"RINOLI",2117
"RINOVI",1050
"ROLLCH",26
"ROLLCU",29
"ROLLDO",38
"ROLLFL",12
"ROLLGL",23
"ROLLPI",31
"ROUPMO",14
"RUAGIN",3
"RUDGBR",35
"RUDGFI",8
"RUDGNO",10
"RUIZOV",17
