"","allsp","","","","","","","","","","","","","","","","","","","","","","","","","abund"
"1","ABARJU","0.991341948360857","0.95255031204055","0.999684652907889","1.00316628327189","0.993727050060071","1.01377059152713","1.02953002336996","1.03401387323713","0.912","0.39","0.974","0.938","0.816","0.678","0.264","0.168","-0.129037031051954","-0.875831197202657","-0.0260557707375111","0.0934513503309337","-0.182852585801638","0.455807162479392","1.08697799418923","1.37392110726762","22"
"2","ABARLA","0.991387331425945","0.995606418908487","0.992120661397146","1.00768702887613","1.00528220792431","1.00623642572936","1.00418934744377","1.00062526761735","0.838","0.832","0.688","0.624","0.698","0.622","0.714","0.966","-0.216696792002367","-0.215301169443206","-0.417408991486109","0.455358459012058","0.365953347793917","0.483188924745272","0.349544294166994","0.0537342885523525","96"
"3","ABUTGR","0.956117383218258","0.991810928474359","1.0052160441519","1.00989809507149","1.00429002718137","1.00307173987711","1.00137027768301","1.0019595151639","0.082","0.588","0.698","0.382","0.66","0.692","0.826","0.736","-1.791566818111","-0.528685588879419","0.394389977851963","0.913146091659233","0.459652482635596","0.388810900823331","0.201068939816124","0.311017294525265","255"
"4","ACALCU","0.85251671921827","0.877669838456118","0.91053008608966","0.932365941253487","0.951318780572807","0.961092579059985","0.967614803307206","0.970908881744674","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","-8.14112433843316","-10.7487365368103","-9.77069541105603","-8.9065865194733","-7.43679071325369","-6.82330466580914","-6.45610279891504","-6.46911629415077","502"
"5","ACALPU","1.60647000396688","1.2625572992328","1.33721822129469","1.35329598175644","1.38580564900918","1.40449067385263","1.46106524620115","1.45265269678416","0.014","0.076","0.014","0.006","0.002","0.002","0.002","0.002","2.81165288595471","1.82761461790731","2.89405033322271","3.35760642812196","4.00421339210247","4.43645591663586","5.40927392936834","5.61905819302438","3"
"6","ACALSD","0.664630410268306","0.639041308981488","0.704023491624674","0.787458122240318","0.854541781697029","0.899215882805079","0.928803635920481","0.95006455200688","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","-6.96037194622733","-12.0354559498713","-13.1597233820446","-11.2996792695916","-9.17526713186282","-7.22898984683389","-5.65776521498994","-4.35788729329539","73"
"7","ACALSH","1.14564099003722","1.12515817865218","1.09279785380036","1.09647207739182","1.10107086204438","1.0843350844596","1.08266356178088","1.08819635077214","0.096","0.024","0.04","0.014","0.004","0.008","0.004","0.002","1.72031051059202","2.38199145388921","2.16070585084029","2.57525699076135","3.01216190615443","2.82665738958977","3.10535160297665","3.65653689784894","22"
"8","ACANAN","0.6092295863162","0.749125509209617","0.847926614221904","0.969431553155568","1.04353268255327","1.05345463943734","1.1132556221594","1.09298869277325","0.022","0.008","0.056","0.682","0.468","0.288","0.014","0.034","-2.32893658728201","-2.45958517359625","-1.92113633890872","-0.455064697577017","0.755961794782977","1.06311077972517","2.44185522024378","2.16082571405463","7"
"9","ACIDNI","1.01893627746625","1.01893114708962","1.01819889098006","1.02180426534909","1.02243113395069","1.02269542352756","1.02246900527141","1.02341355066257","0.064","0.006","0.004","0.002","0.002","0.002","0.002","0.002","1.79664654628942","2.75046543092958","3.31005863324824","4.69359783971171","5.4671277106826","6.16807039065188","6.81077830336747","7.80947334279079","1348"
"10","AEGIEL","0.776964435416878","1.06091257275784","1.0589683906055","1.09765180742216","1.10160230053324","1.10619932456679","1.10806566900348","1.10006429844156","0.098","0.466","0.37","0.066","0.03","0.012","0.006","0.006","-1.62039243616016","0.730657520516033","0.909722603595289","1.83143436634796","2.24553958226144","2.6569189252204","3.06378545780088","3.13953246494956","8"
