"","x"
"acacme",81284.7829208189
"acaldi",632336.6277219
"acalma",90628.6648707584
"ade1tr",2139883.26962207
"aegipa",303587.020681486
"alchco",10887802.736981
"alchla",48305.1286415967
"alibed",248562.810752024
"allops",862736.320547195
"alsebl",71443436.0573688
"amaico",60592.6829079497
"anacex",29814016.66086
"anaxpa",353576.042985407
"andiin",941551.811642292
"annoac",216301.795792311
"annosp",470854.052938404
"apeime",30168016.0334555
"apeiti",886896.738849627
"aphesi",4005.53063332699
"ardife",99225.6331673068
"ardigu",3619.90013509884
"aspicr",11511037.3853873
"ast1st",2172210.25802751
"ast2gr",4376363.44475856
"bactba",5669.00394340278
"bactc1",12784.7113037837
"bactma",119783.430094235
"beilpe",27972440.9654651
"brosal",26159758.4977052
"brosgu",4197.95318335936
"calolo",6501591.9700498
"cappfr",1645941.65227244
"carica",7619.14758311865
"caseac",593573.301367419
"casear",4312014.20243508
"caseco",71671.5094008341
"casegu",36209.2115271126
"casesy",961209.542273967
"cassel",3608812.66922616
"cavapl",27982542.7566427
"cecrin",18923063.6918456
"cecrlo",97874.7483262632
"cecrob",3123475.08875654
"cedrod",158398.316195834
"ceibpe",46726971.5632144
"celtsc",1281688.12125564
"cespma",143955.629369118
"cestme",25508.1615508223
"cha1te",3074.83380970101
"cha2sc",451113.070101409
"chimpa",67360.4588819456
"chr1ec",485369.781794316
"chr2ar",3681287.64094815
"chr2ca",4963142.26661443
"clidde",5506.42652357951
"clidoc",867.86497055418
"coccco",404230.297533725
"coccma",404082.642679007
"colugl",175454.022712173
"conobr",7590.08785107294
"conoci",8881.28243169834
"cordal",4434047.01286929
"cordbi",17637387.3187162
"cordla",4488358.08126638
"cou2cu",2892340.26325031
"couthe",41747.053977228
"crotbi",1520959.67173467
"cupaci",14148.1625154416
"cupala",831612.562128081
"cuparu",152685.329955281
"cupasy",1655324.80413055
"cyphha",4464.98855891449
"dendar",4227791.24498499
"des2pa",7030676.22822066
"dio2ar",448563.667663021
"diptpa",16947945.1759319
"drypst",13332008.9453637
"elaeol",2640489.7757863
"entesc",173316.168911405
"ery1co",322137.339902771
"ery2ma",247976.90372213
"ery2pa",47078.3367103698
"eugeco",2697195.5231836
"eugega",947787.873059668
"eugene",2175123.29981555
"eugeoe",5609257.13431681
"faraoc",63496796.2896694
"ficuc2",11773471.1131031
"ficuci",2733.97100678652
"ficuin",93286.4522556953
"ficuma",426353.393000305
"ficuob",8247424.48773394
"ficupe",1075.21008569111
"ficupo",4273223.38714488
"ficuto",411070.330138754
"ficutr",5164265.45750092
"ficuyo",2356229.04771153
"gar2in",6064509.25273933
"gar2ma",514893.684154589
"geniam",1157788.41938704
"guapst",11439565.36712
"guargr",2351924.28037795
"guargu",15468062.6135411
"guarsp",1429987.78786651
"guatdu",13526507.3027419
"guazul",6411938.76969798
"guetfo",1416219.75806215
"gustsu",20704250.9078551
"hameax",31726.9442086033
"hampap",844312.450430218
"hassfl",3893513.22027243
"heisac",302426.202195985
"heisco",10241739.7055574
"herrpu",436762.274859811
"hirtam",77905.2146237197
"hirtra",380.132711084365
"hirttr",24491619.1371407
"huracr",59341083.3903339
"hybapr",11245799.7862282
"hyeral",11401555.2376042
"ingaco",130030.519932082
"ingafa",414337.586498487
"ingago",1368870.45898541
"ingama",7016345.06793314
"ingami",78067.792043543
"ingape",612125.976783193
"ingapu",483659.9699926
"ingaqu",1927575.22349064
"ingaru",107013.641355556
"ingas1",1800085.46661715
"ingasa",1860880.78225125
"ingasp",655097.466497158
"ingath",1193269.56681668
"ingaum",1236340.8020974
"jac1co",42582589.6031822
"laciag",1176710.23193961
"lacmpa",2077997.82133717
"laetpr",968048.789480832
"laetth",851363.7551412
"lafopu",280244.987265314
"licahy",402672.852975708
"licapl",850288.545055509
"lindla",1629006.1116751
"loncla",5010818.29132714
"lozapi",1385.4423602331
"luehse",18576295.4801405
"maclti",113411.494794592
"macrgl",1651217.95713414
"malmsp",698493.856617521
"malpro",3640.32048734717
"maquco",4188918.7482858
"mar1la",182792.783150959
"margno",30363.4929969454
"maytsc",794234.678133833
"micoaf",518910.995760367
"micoar",2138061.93128115
"micodo",1307.68794205675
"micoel",7601.0834253605
"micoho",230949.471539673
"micoim",4029.09257822891
"micone",34038.371003482
"micopr",6605.19855417254
"mourmy",1995329.16685245
"myrcga",66246.764286248
"myrofr",704993.026419634
"nectci",1213755.89251074
"nectgl",622339.294500014
"nectpu",156569.909271445
"nects1",9160.88417786784
"neeaam",2258.01971976766
"ochrpy",1299915.64183177
"ocotce",918707.720661714
"ocotob",3463781.04437318
"ocotpu",2527861.32296062
"ocotwh",18205609.5381655
"oenoma",11831529.3161378
"olmeas",754737.789894739
"ormoam",10028.749148422
"ormocr",992176.221060402
"ormoma",842672.539065044
"ouralu",421124.997426568
"paligu",540382.210751327
"pentma",215437.857812574
"perexa",772468.938831599
"phoeci",1260494.15181636
"picrla",1246219.54019661
"pipea1",27737.9069367077
"pipeae",5013.98187512931
"pipeco",2264.30290507484
"pipecu",32309.7096458442
"pipere",317684.91771447
