"","x"
"1","acacme"
"2","acaldi"
"3","acalma"
"4","ade1tr"
"5","aegipa"
"6","alchco"
"7","alchla"
"8","alibed"
"9","allops"
"10","alsebl"
"11","amaico"
"12","anacex"
"13","anaxpa"
"14","andiin"
"15","annoac"
"16","annosp"
"17","apeime"
"18","apeiti"
"19","aphesi"
"20","appuse"
"21","ardiba"
"22","ardife"
"23","ardigu"
"24","aspicr"
"25","ast1st"
"26","ast2gr"
"27","bactba"
"28","bactc1"
"29","bactma"
"30","beilpe"
"31","boropa"
"32","brosal"
"33","brosgu"
"34","calolo"
"35","cappcy"
"36","cappfr"
"37","carica"
"38","caseac"
"39","casear"
"40","caseco"
"41","casegu"
"42","casesy"
"43","cassel"
"44","cavapl"
"45","cecrin"
"46","cecrlo"
"47","cecrob"
"48","cedrod"
"49","ceibpe"
"50","celtsc"
"51","cespma"
"52","cestme"
"53","cha1te"
"54","cha2sc"
"55","chimpa"
"56","chr1ec"
"57","chr2ar"
"58","chr2ca"
"59","clidde"
"60","clidoc"
"61","coccco"
"62","coccma"
"63","colugl"
"64","conobr"
"65","conoci"
"66","cordal"
"67","cordbi"
"68","cordla"
"69","cou2cu"
"70","couthe"
"71","crotbi"
"72","cupaci"
"73","cupala"
"74","cuparu"
"75","cupasy"
"76","cyphha"
"77","dendar"
"78","des2pa"
"79","dio2ar"
"80","diptpa"
"81","drypst"
"82","elaeol"
"83","entesc"
"84","ery1co"
"85","ery2ma"
"86","ery2pa"
"87","eugeco"
"88","eugega"
"89","eugene"
"90","eugeoe"
"91","faraoc"
"92","ficuc2"
"93","ficuci"
"94","ficuin"
"95","ficuma"
"96","ficuob"
"97","ficupe"
"98","ficupo"
"99","ficuto"
"100","ficutr"
"101","ficuyo"
"102","gar2in"
"103","gar2ma"
"104","geniam"
"105","guapst"
"106","guargr"
"107","guargu"
"108","guarsp"
"109","guatdu"
"110","guazul"
"111","guetfo"
"112","gustsu"
"113","hameax"
"114","hampap"
"115","hassfl"
"116","heisac"
"117","heisco"
"118","herrpu"
"119","hirtam"
"120","hirtra"
"121","hirttr"
"122","huracr"
"123","hybapr"
"124","hyeral"
"125","ingaco"
"126","ingafa"
"127","ingago"
"128","ingama"
"129","ingami"
"130","ingape"
"131","ingapu"
"132","ingaqu"
"133","ingaru"
"134","ingas1"
"135","ingasa"
"136","ingasp"
"137","ingath"
"138","ingaum"
"139","jac1co"
"140","laciag"
"141","lacmpa"
"142","laetpr"
"143","laetth"
"144","lafopu"
"145","leandi"
"146","licahy"
"147","licapl"
"148","lindla"
"149","loncla"
"150","lozapi"
"151","luehse"
"152","maclti"
"153","macrgl"
"154","malmsp"
"155","malpro"
"156","maquco"
"157","mar1la"
"158","margno"
"159","maytsc"
"160","micoaf"
"161","micoar"
"162","micodo"
"163","micoel"
"164","micoho"
"165","micoim"
"166","micone"
"167","micopr"
"168","mourmy"
"169","myrcga"
"170","myrofr"
"171","nectci"
"172","nectgl"
"173","nectpu"
"174","nects1"
"175","neeaam"
"176","ochrpy"
"177","ocotce"
"178","ocotob"
"179","ocotpu"
"180","ocotwh"
"181","oenoma"
"182","olmeas"
"183","oreoca"
"184","ormoam"
"185","ormocr"
"186","ormoma"
"187","ouralu"
"188","paligu"
"189","pentma"
"190","perexa"
"191","phoeci"
"192","picrla"
"193","pipea1"
"194","pipeae"
"195","pipeca"
"196","pipeco"
"197","pipecu"
"198","pipepe"
"199","pipere"
"200","pit1ma"
"201","pit1ru"
"202","pla1pi"
"203","pla2el"
"204","pochqu"
"205","pochse"
"206","posola"
"207","poular"
"208","pourbi"
"209","poutfo"
"210","poutre"
"211","poutst"
"212","pri2co"
"213","protco"
"214","protpa"
"215","protsp"
"216","protte"
"217","pse1se"
"218","psidfr"
"219","psycac"
"220","psycb1"
"221","psycch"
"222","psycde"
"223","psycfu"
"224","psycg1"
"225","psycg3"
"226","psycho"
"227","psycli"
"228","psycma"
"229","psycpi"
"230","psycra"
"231","pterof"
"232","pterro"
"233","quaras"
"234","quasam"
"235","randar"
"236","randfo"
"237","rauvli"
"238","rinosy"
"239","sapiau"
"240","sapisp"
"241","sch1zo"
"242","schipa"
"243","sennda"
"244","simaam"
"245","sipagu"
"246","sipapa"
"247","sloate"
"248","socrex"
"249","solaas"
"250","solaha"
"251","solast"
"252","soroaf"
"253","spacme"
"254","sponmo"
"255","sponra"
"256","sterap"
"257","stylst"
"258","swars1"
"259","sympgl"
"260","tab1gu"
"261","tab1ro"
"262","tab2ar"
"263","tachve"
"264","taline"
"265","talipr"
"266","termam"
"267","termob"
"268","tet2pa"
"269","tet4jo"
"270","theoca"
"271","thevah"
"272","tocopi"
"273","tratas"
"274","tremin"
"275","tremmi"
"276","tri1gi"
"277","tri2pa"
"278","tri2to"
"279","tri2tu"
"280","tri4ga"
"281","tripcu"
"282","tropra"
"283","turpoc"
"284","unonpi"
"285","urerba"
"286","verbgi"
"287","vernpa"
"288","virose"
"289","virosp"
"290","virosu"
"291","vismba"
"292","vismbi"
"293","vismma"
"294","vochfe"
"295","xyl1ma"
"296","xyl2ol"
"297","zantbe"
"298","zantp1"
"299","zantpr"
"300","zantse"
"301","zuelgu"
