"","sp","bci"
"1","acaldi","AM"
"2","acalma","AM"
"3","ade1tr","AM"
"4","aegipa","AM"
"5","alchco","AM"
"6","alchla","AM"
"7","alibed","AM"
"8","allops","AM"
"9","alsebl","AM"
"10","amaico","AM"
"11","anacex","AM"
"12","anaxpa","AM"
"13","andiin","AM"
"14","annoac","AM"
"15","annosp","AM"
"16","apeime","AM"
"17","apeiti","AM"
"18","appuse","AM"
"19","ardiba","AM"
"20","ardife","AM"
"21","ardigu","AM"
"22","aspicr","AM"
"23","ast1st","AM"
"24","ast2gr","AM"
"25","bactba","AM"
"26","bactc1","AM"
"27","bactma","AM"
"28","beilpe","AM"
"29","boropa","AM"
"30","brosal","AM"
"31","brosgu","AM"
"32","calolo","AM"
"33","carica","AM"
"34","caseac","AM"
"35","casear","AM"
"36","caseco","AM"
"37","casegu","AM"
"38","casesy","AM"
"39","cavapl","AM"
"40","cecrin","AM"
"41","cecrlo","AM"
"42","cecrob","AM"
"43","cedrod","AM"
"44","ceibpe","AM"
"45","celtsc","AM"
"46","cestme","AM"
"47","cha1te","AM"
"48","cha2sc","AM"
"49","chimpa","AM"
"50","chr1ec","AM"
"51","chr2ar","AM"
"52","chr2ca","AM"
"53","clidde","AM"
"54","clidoc","AM"
"55","colugl","AM"
"56","conobr","AM"
"57","conoci","AM"
"58","cordal","AM"
"59","cordbi","AM"
"60","cordla","AM"
"61","cou2cu","AM"
"62","couthe","AM"
"63","crotbi","AM"
"64","cupaci","AM"
"65","cupala","AM"
"66","cuparu","AM"
"67","cupasy","AM"
"68","cyphha","AM"
"69","dendar","AM"
"70","des2pa","AM"
"71","dio2ar","AM"
"72","diptpa","AM"
"73","drypst","AM"
"74","elaeol","AM"
"75","entesc","AM"
"76","ery1co","AM"
"77","ery2ma","AM"
"78","ery2pa","AM"
"79","eugeco","AM"
"80","eugega","AM"
"81","eugene","AM"
"82","eugeoe","AM"
"83","faraoc","AM"
"84","ficuc2","AM"
"85","ficuci","AM"
"86","ficuin","AM"
"87","ficuma","AM"
"88","ficuob","AM"
"89","ficupe","AM"
"90","ficupo","AM"
"91","ficuto","AM"
"92","ficutr","AM"
"93","ficuyo","AM"
"94","gar2in","AM"
"95","gar2ma","AM"
"96","geniam","AM"
"97","guargr","AM"
"98","guargu","AM"
"99","guarsp","AM"
"100","guatdu","AM"
"101","guazul","AM"
"102","guetfo","AM"
"103","gustsu","AM"
"104","hameax","AM"
"105","hampap","AM"
"106","hassfl","AM"
"107","heisac","AM"
"108","heisco","AM"
"109","herrpu","AM"
"110","hirtam","AM"
"111","hirtra","AM"
"112","hirttr","AM"
"113","huracr","AM"
"114","hybapr","AM"
"115","hyeral","AM"
"116","ingaco","AM"
"117","ingafa","AM"
"118","ingago","AM"
"119","ingama","AM"
"120","ingami","AM"
"121","ingape","AM"
"122","ingapu","AM"
"123","ingaqu","AM"
"124","ingaru","AM"
"125","ingas1","AM"
"126","ingasa","AM"
"127","ingasp","AM"
"128","ingath","AM"
"129","ingaum","AM"
"130","jac1co","AM"
"131","laciag","AM"
"132","lacmpa","AM"
"133","laetpr","AM"
"134","laetth","AM"
"135","lafopu","AM"
"136","leandi","AM"
"137","licahy","AM"
"138","licapl","AM"
"139","lindla","AM"
"140","loncla","AM"
"141","lozapi","AM"
"142","luehse","AM"
"143","maclti","AM"
"144","macrgl","AM"
"145","malmsp","AM"
"146","malpro","AM"
"147","maquco","AM"
"148","mar1la","AM"
"149","margno","AM"
"150","maytsc","AM"
"151","micoaf","AM"
"152","micoar","AM"
"153","micodo","AM"
"154","micoel","AM"
"155","micoho","AM"
"156","micoim","AM"
"157","micone","AM"
"158","micopr","AM"
"159","mourmy","AM"
"160","myrcga","AM"
"161","myrofr","AM"
"162","nectci","AM"
"163","nectgl","AM"
"164","nectpu","AM"
"165","nects1","AM"
"166","ochrpy","AM"
"167","ocotce","AM"
"168","ocotob","AM"
"169","ocotpu","AM"
"170","ocotwh","AM"
"171","oenoma","AM"
"172","olmeas","AM"
"173","oreoca","AM"
"174","ormoam","AM"
"175","ormocr","AM"
"176","ormoma","AM"
"177","ouralu","AM"
"178","paligu","AM"
"179","pentma","AM"
"180","perexa","AM"
"181","phoeci","AM"
"182","picrla","AM"
"183","pit1ma","AM"
"184","pit1ru","AM"
"185","pla1pi","AM"
"186","pla2el","AM"
"187","pochqu","AM"
"188","pochse","AM"
"189","posola","AM"
"190","poular","AM"
"191","pourbi","AM"
"192","poutfo","AM"
"193","poutre","AM"
"194","poutst","AM"
"195","pri2co","AM"
"196","protco","AM"
"197","protpa","AM"
"198","protsp","AM"
"199","protte","AM"
"200","pse1se","AM"
"201","psidfr","AM"
"202","psycac","AM"
"203","psycb1","AM"
"204","psycch","AM"
"205","psycde","AM"
"206","psycfu","AM"
"207","psycg1","AM"
"208","psycg3","AM"
"209","psycho","AM"
"210","psycli","AM"
"211","psycma","AM"
"212","psycpi","AM"
"213","psycra","AM"
"214","pterof","AM"
"215","pterro","AM"
"216","quaras","AM"
"217","quasam","AM"
"218","randfo","AM"
"219","rauvli","AM"
"220","rinosy","AM"
"221","sapiau","AM"
"222","sapisp","AM"
"223","sch1zo","AM"
"224","schipa","AM"
"225","sennda","AM"
"226","simaam","AM"
"227","sipagu","AM"
"228","sipapa","AM"
"229","sloate","AM"
"230","socrex","AM"
"231","solaas","AM"
"232","solaha","AM"
"233","solast","AM"
"234","soroaf","AM"
"235","spacme","AM"
"236","sponmo","AM"
"237","sponra","AM"
"238","sterap","AM"
"239","stylst","AM"
"240","swars1","AM"
"241","sympgl","AM"
"242","tab1gu","AM"
"243","tab1ro","AM"
"244","tab2ar","AM"
"245","tachve","AM"
"246","taline","AM"
"247","talipr","AM"
"248","termam","AM"
"249","termob","AM"
"250","tet2pa","AM"
"251","tet4jo","AM"
"252","theoca","AM"
"253","thevah","AM"
"254","tocopi","AM"
"255","tratas","AM"
"256","tremin","AM"
"257","tremmi","AM"
"258","tri2pa","AM"
"259","tri2to","AM"
"260","tri2tu","AM"
"261","tri4ga","AM"
"262","tropra","AM"
"263","turpoc","AM"
"264","unonpi","AM"
"265","verbgi","AM"
"266","vernpa","AM"
"267","virose","AM"
"268","virosp","AM"
"269","virosu","AM"
"270","vismba","AM"
"271","vismbi","AM"
"272","vismma","AM"
"273","vochfe","AM"
"274","xyl1ma","AM"
"275","xyl2ol","AM"
"276","zantbe","AM"
"277","zantp1","AM"
"278","zantpr","AM"
"279","zantse","AM"
"280","zuelgu","AM"
"281","coccco","EcM"
"282","coccma","EcM"
"283","guapst","EcM"
"284","neeaam","EcM"
"285","acacme","EcM-AM"
"286","aphesi","NM-AM"
"287","cappcy","NM-AM"
"288","cappfr","NM-AM"
"289","cassel","NM-AM"
"290","cespma","NM-AM"
"291","pipea1","NM-AM"
"292","pipeae","NM-AM"
"293","pipeca","NM-AM"
"294","pipeco","NM-AM"
"295","pipecu","NM-AM"
"296","pipepe","NM-AM"
"297","pipere","NM-AM"
"298","tri1gi","NM-AM"
"299","tripcu","NM-AM"
"300","urerba","NM-AM"
"301","randar","uncertain"
