"","allsp","","","","","","","","","","","","","","","","","","","","","","","","","abund"
"1","acacme","0.710328538896539","0.745612336664322","0.846043516308515","0.913532933677108","0.957585798564667","0.993079734464834","0.998543881207536","0.994014210652784","0.002","0.002","0.002","0.004","0.074","0.74","0.948","0.724","-4.00293470967752","-5.9985535491488","-4.58783638082441","-3.09801778988878","-1.72693449735873","-0.326660564745474","-0.0664087712153829","-0.343264586575551","48"
"2","acaldi","0.9303851167862","0.960380799217453","0.97957039920324","0.989613501611395","0.999842548091554","1.00269461405164","1.00680667291695","1.00855408010832","0.002","0.002","0.01","0.144","0.966","0.624","0.206","0.09","-4.58177184671394","-3.92748356289935","-2.46845658588584","-1.46520938187448","-0.0127961992918513","0.482826311260346","1.31469532580533","1.80693900950693","994"
"3","acalma","0.786132067369622","0.812918815896777","0.87563801930114","0.927194682944506","0.943210757011558","0.956907625175412","0.966090002191768","0.98065929063927","0.004","0.002","0.002","0.018","0.038","0.09","0.128","0.352","-2.99676571331953","-4.14854876208249","-3.38826850859995","-2.32419219555498","-2.05667246070939","-1.72649837460723","-1.51666556641443","-0.962730185239903","48"
"4","ade1tr","1.01787830829815","1.03400803570223","1.04233606694287","1.04291575058373","1.05389634774713","1.06188055254424","1.05767747207789","1.04780526048155","0.632","0.168","0.04","0.014","0.002","0.002","0.002","0.002","0.480584558135291","1.37373045739018","2.10264484974868","2.50644730795255","3.5270968172538","4.44357076675057","4.54661490365361","4.06066930737463","142"
"5","aegipa","1.14583756968667","1.06374729833372","1.03050695929385","0.995482017220645","0.995523469017244","1.00053393542499","1.00467233697922","1.01678547798996","0.088","0.252","0.472","0.9","0.896","0.96","0.822","0.448","1.73679312084543","1.14678392533989","0.734996057784427","-0.124033696767781","-0.128426159251111","0.0436969237928196","0.212963738397906","0.772113775439771","38"
"6","alchco","1.14308219083324","1.10310681414666","1.08075343945732","1.07012573168137","1.06533915219933","1.06200694036816","1.05391805784026","1.04415055960842","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","5.19731542386189","6.12834376570593","5.65413844986531","5.65009747669209","6.0052259680467","6.41003748152175","6.11069225470205","5.37427430592588","314"
"7","alchla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"8","alibed","1.00830077868447","0.98927215815937","0.994009170890486","0.987284324817591","0.98724152000163","0.990023994089492","0.991647092680845","0.994365672606449","0.744","0.474","0.63","0.226","0.178","0.236","0.26","0.408","0.331227637973409","-0.693531010314345","-0.494889331701969","-1.19470398650177","-1.34793146899109","-1.18218412073152","-1.09660561395035","-0.804344526924427","406"
"9","allops","1.11623695671416","1.1195900093098","1.10103686726743","1.08390750258272","1.05693522500496","1.04267095974574","1.0371981888153","1.03255994942554","0.024","0.002","0.002","0.002","0.004","0.008","0.012","0.018","2.22935987395976","3.95406114651437","4.16274307767912","4.06501434072378","3.12909424284075","2.59328919962915","2.50389139368933","2.41188673082292","107"
"10","alsebl","1.01100646330861","1.01236517458783","1.00996819368914","1.00798569097922","1.00671208833605","1.005653464681","1.00470020222899","1.00332395682699","0.058","0.002","0.002","0.006","0.006","0.006","0.01","0.054","2.02060234499641","3.50620328900786","3.40569551920856","3.13203471480749","2.99818950108027","2.7960279498673","2.57014953379178","1.99859671915162","7844"
