"","allsp","","","","","","","","","abund"
"1","acacme","0.691147365692214","0.728727021714256","0.827597472574699","0.894171566511663","0.937516315718939","0.972419977929865","0.977840610546834","0.973484554260692","48"
"2","acaldi","0.929672981475028","0.95924827939316","0.97844459945972","0.988437686302525","0.998603092000794","1.00143422783783","1.00560218432002","1.00741711499335","994"
"3","acalma","0.769115496096297","0.797485190789103","0.859173257777453","0.909584611055864","0.925579762477337","0.93878990530576","0.947458123325037","0.961827097705129","48"
"4","ade1tr","1.03464316659795","1.04319342601638","1.04380650622561","1.04949187204741","1.05762641133511","1.06154693781175","1.05924134716785","1.04930204625556","142"
"5","aegipa","1.12950033622552","1.04072954706814","1.00230365733915","0.968055860164162","0.968393575346693","0.971555791434605","0.976978060962253","0.986418067960086","38"
"6","alchco","1.20248450172448","1.14223875909739","1.1182195819306","1.10681666800232","1.10241205657797","1.09791118625651","1.0859673759904","1.07351226017402","314"
"7","alchla",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"8","alibed","1.00703777011718","0.987593835367481","0.992112238572548","0.985216066071953","0.985129325028906","0.987920651438781","0.989435307872026","0.992112201175201","406"
"9","allops","1.13388805681733","1.13659502542771","1.10791689448858","1.08674622827478","1.05779076266782","1.04035705118638","1.0354313134324","1.0318648778486","107"
"10","alsebl","1.01667292840258","1.0159314391366","1.01215149238868","1.00968529774032","1.00821273610128","1.00673032546002","1.0055499387199","1.00393700781618","7844"
"11","amaico","1.19594166909543","1.0116918998852","0.943095755840299","0.963048053062834","1.00079778588428","1.01938471889489","1.0306137305625","1.025396318912","19"
"12","anacex","1.39117569467281","1.43279792861851","1.39344851804341","1.34633176588416","1.3336678298489","1.28516457268874","1.29544832592871","1.25163113358497","26"
"13","anaxpa","1.63296485454658","1.59669303959044","1.56763583140772","1.52958531995601","1.49061876679051","1.46337930220589","1.43340675023035","1.40202046875803","862"
"14","andiin","0.841580023580866","0.904560154866364","0.928419905174483","0.937583701329311","0.944123964204272","0.953191241889569","0.963800072075377","0.968544822551062","248"
"15","annoac","0.976863854536589","1.00771878009507","1.00555140166708","1.00281146071391","1.00097430958988","0.997426829971459","0.99406873873482","0.990279025216288","474"
"16","annosp","1.29086220772106","1.19045799171775","1.16103950122762","1.15354157333502","1.13562420756428","1.11768441843684","1.10643065928405","1.0991037580024","148"
"17","apeime","1.13023563756493","1.09421637463653","1.09210296234173","1.07978153197884","1.07083896558326","1.05404407134873","1.0496463756111","1.04384976825278","305"
"18","apeiti","1.18801842355289","1.14937075640694","1.09601070197382","1.09167067279588","1.10398249261853","1.08912974944773","1.08280317452391","1.07049406263303","50"
"19","aphesi","1.24069423853271","1.18144194308739","1.0916609673392","1.03987120564277","1.08990079250226","1.09292975233775","1.06954434930397","1.06360892426296","8"
"20","appuse","1.40584461068617","1.11232584549932","1.11337153468723","1.05117159655736","1.12332401367781","1.09092926663952","1.15451810078185","1.15846191804309","2"
"21","ardiba","0.997180077541231","1.0649522680749","1.07971529603461","1.04384574294932","1.0055520330137","1.00328279635823","1.00476523157363","1.03110066639563","7"
"22","ardife","0.861411449178315","0.928344131725003","0.940975213580321","0.945954670213938","0.952679958129874","0.955055656599089","0.954880911452715","0.956016393153007","108"
