"","allsp","","","","","","","","","","","","","","","","","","","","","","","","","abund"
"1","acacme","0.377621495627345","0.521292208831436","0.720011518004636","0.918988521623656","0.992099050510306","1.0371387792778","1.06051785446344","1.06645300388293","0.002","0.002","0.002","0.004","0.718","0.028","0.002","0.002","-9.39571555698768","-12.2477440842528","-9.77875657227791","-3.34006874947434","-0.376800887875719","2.11537849632836","3.81964378056453","4.48030112874473","48"
"2","acaldi","0.924832031759644","0.991297776250798","1.02908756902791","1.04854662021434","1.05544280288266","1.05198988774748","1.04812191849722","1.04299855047361","0.002","0.346","0.002","0.002","0.002","0.002","0.002","0.002","-5.27891123640791","-0.979559128713363","4.09516302477349","7.86019578897945","10.1586809885796","10.7610046114032","10.9693705983945","10.7491429303751","994"
"3","acalma","0.78523031774522","0.865511841714406","0.915182843969468","0.955463300254911","0.982170099875142","1.0033462575462","1.00705894963727","1.02851686437093","0.002","0.002","0.004","0.106","0.488","0.868","0.708","0.06","-3.33542584512586","-3.33617838421322","-2.62646148197762","-1.60624274907619","-0.744274104381269","0.162988180831425","0.41150122736146","1.8805642627557","48"
"4","ade1tr","0.999503401388282","1.04291279335924","1.05845357304967","1.06920516599652","1.0718670526683","1.07218382668285","1.06702950607439","1.05223919360973","1","0.078","0.004","0.002","0.002","0.002","0.002","0.002","0.0139268499834114","1.77860506018732","3.08654673264593","4.35439026852407","5.20250362737902","5.76393034822202","5.97876876636667","5.16159708832505","142"
"5","aegipa","1.05413913629999","1.0291593729375","1.05814086549646","1.02278723174638","1.01760068087328","1.01410596772408","1.00671851621922","1.01291142398076","0.508","0.53","0.12","0.474","0.506","0.57","0.736","0.492","0.648467863036973","0.629333744483022","1.60479698167048","0.793499840967306","0.68546084058692","0.589226509919805","0.30419940698236","0.701064772081297","38"
"6","alchco","1.14408662601737","1.13263995303563","1.13561267185684","1.12727023324864","1.11572443770714","1.09860784907389","1.08636246308795","1.07315921151153","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","5.43545303480626","7.95493199836285","10.7828612782267","11.8829515262128","12.1277885470168","11.9544610143127","11.6885348651709","10.8856003518185","314"
"7","alchla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"8","alibed","1.03336907201136","1.02958104386282","1.02813084529064","1.02016967990019","1.01817684945061","1.01261415708381","1.01036332817136","1.00804422135199","0.148","0.056","0.018","0.056","0.064","0.12","0.16","0.216","1.42972807725563","1.99083657436794","2.37823822043599","1.98013056634276","1.97763517456585","1.55329922464201","1.43663568153745","1.24158043119093","406"
"9","allops","1.1312736585587","1.07289500207821","1.05133220145482","1.05148505745544","1.04161454534252","1.03238439088281","1.02461327603656","1.01638880660196","0.004","0.014","0.02","0.004","0.014","0.034","0.058","0.17","2.80804822340809","2.53798116173855","2.31671284145399","2.72469100152236","2.50216185045294","2.18484015318556","1.86407682229162","1.35568679895108","107"
"10","alsebl","1.01697030560009","1.01960958960988","1.01999957814098","1.0210885657429","1.0196366010828","1.01811062227637","1.01684191533986","1.01558277571409","0.008","0.002","0.002","0.002","0.002","0.002","0.002","0.002","3.2512108285272","5.98392282540932","7.7930400920863","9.7370656219129","10.3417148095647","10.768804428606","11.2395782932746","11.466268815723","7844"
"11","amaico","1.14965347302946","0.961043913535303","0.977770720189372","0.983696576502518","1.0490160935265","1.08624661439524","1.0698508642242","1.06595145071937","0.196","0.586","0.65","0.67","0.212","0.026","0.05","0.046","1.36883285055421","-0.611558354859349","-0.496296399103927","-0.409363318098826","1.27605749802121","2.41402016263118","2.11160668832206","2.10149494962308","19"
"12","anacex","0.913473199090269","1.03475381860065","1.04805949651361","1.0767281174171","1.0646335467386","1.06849143304052","1.05104049003212","1.03933174048367","0.332","0.566","0.354","0.102","0.106","0.064","0.098","0.152","-0.960769704857888","0.538043775476456","0.947576973968996","1.6775266901599","1.60548524093908","1.95834648205375","1.71342296558306","1.43976531289936","26"
"13","anaxpa","0.76717482753428","0.744702718269165","0.7796783880583","0.826582395957951","0.864835017588096","0.89364523113295","0.918946901668935","0.937639514822478","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","-15.7131670887883","-28.9154872527936","-33.0183495176331","-31.4572669734697","-29.828641590288","-27.1058109145056","-24.2075253300064","-21.1136789598199","862"
"14","andiin","0.863931519273369","0.935523084390944","0.960897782842129","0.96801039537435","0.974848485889121","0.98101382256451","0.990332701163884","0.993378980054645","0.002","0.002","0.006","0.01","0.026","0.05","0.292","0.442","-4.43986492445219","-3.45459043881399","-2.65061782546829","-2.53550205741126","-2.21160387394522","-1.88658896327967","-1.06895196135596","-0.80040421792885","248"
"15","annoac","0.993981482816375","1.01773744839491","1.02080611101714","1.01764984609229","1.01282003034498","1.00916212504045","1.00684857860015","1.00179214621797","0.824","0.168","0.058","0.082","0.132","0.222","0.31","0.728","-0.246875932059955","1.39732988833579","1.9336289985464","1.88900489275991","1.58684182195731","1.27574336312528","1.05034908742066","0.316395704321871","474"
"16","annosp","1.29287748182485","1.24270011630254","1.19711701277891","1.17530252569652","1.14974487813258","1.1253798983222","1.10925297014658","1.09494381851529","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","7.51648168213483","9.65875921155717","9.95441106026077","10.6509354906566","10.2021069330664","9.78690002402735","9.6132167408162","9.5224140461801","148"
"17","apeime","1.07765910799154","1.09586977543346","1.09083683215737","1.08433537999119","1.07151470872041","1.05507487720833","1.04315269094745","1.03549958210629","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","2.86890448495432","5.6914123767409","6.92021293648535","7.47595411260254","7.42575171686247","6.4989915017108","5.69269741118444","5.1880785822716","305"
"18","apeiti","1.12057916916407","1.14876460970577","1.12777003344229","1.11720928784638","1.10419982947254","1.10520747432065","1.10943677788746","1.09062606849591","0.084","0.002","0.002","0.002","0.002","0.002","0.002","0.002","1.71472113750839","3.3988187970821","3.78264265992561","4.16188897937717","4.32690610678133","4.76918745604874","5.39236994273488","4.90219383246608","50"
