"","x"
"ACEAMP",2206.12689231567
"ACEDAV",8682.74280807035
"ACEELE",54464.3013726252
"ACEPUB",4359.65998931851
"ADIGLI",4038.05061369613
"BETLUM",1413.14303929686
"CAMCUS",68377.3266782323
"CARVIM",9705.40881415237
"CASEYR",5107.79768574713
"CERCAM",13258.9446108599
"CERSCH",26351.4057812105
"CERSER",2715.31693646785
"CINJEN",598.883692509414
"CLEBAR",6039.81562762376
"CLEPAC",79758.4387799729
"CORCON",1395.05170676227
"CORGLA",625.434862821229
"CORHON",3613.56605599067
"CRYJAP",21507.579514188
"CUNLAN",1321643.3213469
"CYCGLA",141.026094219646
"CYCGRA",300.488310767618
"CYCMUL",485137.813790949
"CYCSTE",201662.106445498
"DAPMAC",141062.594657597
"DENDEN",27643.6769824967
"ERYSIN",500.809138890383
"EUOHAM",151.746779150021
"EUOMYR",992.330473259693
"EURALA",7670.2778674938
"EURHEB",34935.1520913153
"EURMUR",7175.7509714328
"EURRUB",14760.3047499668
"FAGLUC",444709.581745496
"FICHET",211.240690027378
"FOKHOD",81.7128249198705
"GAMCIL",693.279126971827
"HALMAC",21005.8254242827
"HOVDUL",676.567424851056
"HYDPAN",95.0331777710912
"IDEPOL",287.675639289217
"ILECRE",2589.76075133283
"ILEEDI",39372.352058408
"ILEFIO",2348.84512687835
"ILEFOR",6492.01625819698
"ILELIT",1115.63426526739
"ILEPED",4414.27885525584
"ILESUA",20818.9503810248
"ILETRI",96.7689077121996
"ILETSO",24821.4873867852
"ILEWIL",2527.14967368476
"ILLJIA",36550.5304869242
"LINERY",20950.0425197274
"LINOBT",815.868549084432
"LIRCHI",524.975840378122
"LITBRE",655428.338294018
"LITELO",1179.62288102857
"LITHAN",21384.5981399073
"LYOOVA",535.665109381962
"MACPAU",493.794355193999
"MAGOFF",541.301440761767
"MELFLE",93.3131557932508
"MELOLD",12957.5047902173
"MICFOK",335.100336589646
"MORAUS",134.782178820636
"NEOUND",4877.19658855841
"NYSSIN",41809.3412352133
"OSMFRA",1084.9666158361
"PADBUE",10128.1884884296
"PADGRA",4907.81654233004
"PHOBEA",19992.1082448744
"PHOPAR",1804.59667507258
"PIEJAP",95.0331777710912
"PINMAS",2173.00822256152
"PINTAI",2119629.95999418
"PITILL",380.132711084365
"PTECOR",25631.0661068794
"PYRCAL",265.90440219984
"QUEENG",6239.29160294216
"RHAIND",1087.21858799
"RHOFOR",69816.4003227609
"RHOLAT",104614.367110869
"RHOOVA",2863.19445156589
"RHOSIM",11551.0587625199
"RHOSIS",1380.197698278
"RHUPOT",128.679635091038
"SASTZU",1347.40560571958
"SCHINT",226.980069221863
"SCHSUP",959975.24571642
"SKIREE",392.903285221208
"SMIARI",95.0331777710912
"SORDUN",6057.59170133557
"SORFOL",104694.694772245
"SORHEM",2786.35871362127
"STESIN",45680.3685060676
"STYCAL",13149.3137432222
"STYJAP",11440.8081371915
"SYCSIN",66705.6006485144
"SYMANO",2265.69305982406
"SYMGLO",1104.46616727766
"SYMLAN",2947.93396538805
"SYMLUC",45831.6271516197
"SYMPAN",305.962378886866
"SYMPEN",815.164753790212
"SYMSUM",1655.74695564337
"TAXWAL",5597.2927713947
"TERGYM",10246.3882416671
"TOXSUC",877.069837029198
"TOXTRI",650.700886118275
"VACMAN",518.39294713179
"VIBSET",435.157772385436
"VIBSYM",1470.36974129594
"YULCYL",34434.2409731858
