"","x"
"ACEAMP",13
"ACEDAV",105
"ACEELE",490
"ACEPUB",23
"ACTARG",20
"ACTCHI",17
"ACTERI",1
"ACTHEM",133
"ACTSP1",6
"ADIGLI",1599
"AGALAC",22
"AKETRI",4
"ARAELA",4
"AUCHIM",1
"BERKUL",44
"BERVIR",1
"BETLUM",12
"CALMEM",22
"CAMCUS",14306
"CARVIM",127
"CASEYR",31
"CELACU",76
"CELSTY",43
"CEPSIN",1
"CERCAM",157
"CERSCH",446
"CERSER",11
"CINJEN",14
"CINSUB",13
"CLEBAR",612
"CLEPAC",5365
"CORCON",31
"CORGLA",215
"CORHON",139
"CRYJAP",18
"CUNLAN",8305
"CYCGLA",4
"CYCGRA",4
"CYCMUL",6437
"CYCSTE",2046
"DALMIL",1
"DAPKIU",1
"DAPMAC",2093
"DENDEN",1034
"ELADIF",282
"ELAGLA",18
"ELAHEN",3
"ERYSIN",1014
"EUOHAM",5
"EUOMYR",93
"EURALA",8141
"EURHEB",22520
"EURMUR",952
"EURRUB",16563
"FAGLUC",2711
"FICHET",15
"FOKHOD",1
"GAMCIL",33
"HALMAC",71
"HOVDUL",6
"HYDCHI",496
"HYDPAN",424
"IDEPOL",7
"ILECRE",456
"ILEEDI",1632
"ILEFIC",3
"ILEFIO",271
"ILEFOR",1803
"ILELAT",2
"ILELIT",188
"ILEPED",385
"ILEROT",2
"ILESUA",4109
"ILETRI",5
"ILETSO",303
"ILEWEN",69
"ILEWIL",762
"ILLJIA",673
"KADLON",11
"LIGMOL",1
"LIGSIN",40
"LINERY",426
"LINGLA",18
"LINNEE",3
"LINOBT",9
"LIRCHI",4
"LITBRE",3373
"LITCUB",17
"LITELO",416
"LITHAN",166
"LONACU",6
"LONHYP",3
"LONMOD",28
"LYOOVA",101
"MACPAU",54
"MACTHU",3
"MAGOFF",2
"MAHBEA",16
"MELFLE",25
"MELMYR",2
"MELOLD",230
"MICFOK",72
"MORAUS",14
"NEOCHE",32
"NEOUND",2132
"NYSSIN",249
"OSMFRA",70
"OSMMAR",120
"PADBUE",79
"PADGRA",26
"PHOBEA",1564
"PHOGLA",24
"PHOPAR",2510
"PHOVIL",11
"PHYGLA",3
"PIEJAP",51
"PINMAS",1
"PINTAI",7137
"PITILL",45
"PTECOR",172
"PYRCAL",14
"QUEENG",359
"RHAIND",75
"RHAWIL",7
"RHOCHA",3
"RHOFOR",7392
"RHOLAT",37976
"RHOOVA",4377
"RHOSIM",528
"RHOSIS",2066
"RHUHYP",10
"RHUPOT",63
"ROSHEN",3
"SABCAM",8
"SARCUN",13
"SASTZU",4
"SCHINT",97
"SCHSPH",5
"SCHSUP",8008
"SKIREE",4
"SMIARI",5
"SMIDIS",1
"SORDUN",374
"SORFOL",5817
"SORHEM",518
"STACON",14
"STESIN",671
"STRDAV",565
"STYCAL",627
"STYJAP",783
"SYCSIN",4296
"SYMANO",519
"SYMGLO",106
"SYMLAN",559
"SYMLUC",2186
"SYMPAN",196
"SYMPEN",82
"SYMSTE",30
"SYMSUM",80
"TAXWAL",90
"TERGYM",595
"TOXSUC",376
"TOXSYL",3
"TOXTRI",372
"VACBRA",41
"VACCAR",199
"VACJAP",134
"VACMAN",129
"VIBERO",92
"VIBHER",44
"VIBSET",1725
"VIBSYM",846
"VITCHU",8
"VITPSE",7
"VITWIL",12
"WIKMON",12
"YULCYL",502
