,sp,bsz
1,ACEAMP,AM
2,ACEDAV,AM
3,ACEELE,AM
4,ACEPUB,AM
5,ACTARG,AM
6,ACTCHI,AM
7,ACTERI,AM
8,ACTHEM,AM
9,ACTSP1,AM
10,ADIGLI,AM
11,AGALAC,ErM
12,AKETRI,AM
13,ARAELA,AM
14,AUCHIM,AM
15,BERKUL,AM
16,BERVIR,AM
17,BETLUM,EcM
18,CALMEM,AM
19,CAMCUS,AM
20,CARVIM,EcM
21,CASEYR,EcM
22,CELACU,AM
23,CELSTY,AM
24,CEPSIN,AM
25,CERCAM,AM
26,CERSCH,AM
27,CERSER,AM
28,CINJEN,AM
29,CINSUB,AM
30,CLEBAR,AM
31,CLEPAC,AM
32,CORCON,AM
33,CORGLA,AM
34,CORHON,AM
35,CRYJAP,AM
36,CUNLAN,AM
37,CYCGLA,EcM
38,CYCGRA,EcM
39,CYCMUL,EcM
40,CYCSTE,EcM
41,DALMIL,AM
42,DAPKIU,AM
43,DAPMAC,AM
44,DENDEN,AM
45,ELADIF,AM
46,ELAGLA,AM
47,ELAHEN,AM
48,ERYSIN,AM
49,EUOHAM,AM
50,EUOMYR,AM
51,EURALA,AM
52,EURHEB,AM
53,EURMUR,AM
54,EURRUB,AM
55,FAGLUC,EcM
56,FICHET,AM
57,FOKHOD,AM
58,GAMCIL,AM
59,HALMAC,AM
60,HOVDUL,AM
61,HYDCHI,AM
62,HYDPAN,AM
63,IDEPOL,AM
64,ILECRE,AM
65,ILEEDI,AM
66,ILEFIC,AM
67,ILEFIO,AM
68,ILEFOR,AM
69,ILELAT,AM
70,ILELIT,AM
71,ILEPED,AM
72,ILEROT,AM
73,ILESUA,AM
74,ILETRI,AM
75,ILETSO,AM
76,ILEWEN,AM
77,ILEWIL,AM
78,ILLJIA,AM
79,KADLON,AM
80,LIGMOL,AM
81,LIGSIN,AM
82,LINERY,AM
83,LINGLA,AM
84,LINNEE,AM
85,LINOBT,AM
86,LIRCHI,AM
87,LITBRE,EcM
88,LITCUB,AM
89,LITELO,AM
90,LITHAN,EcM
91,LONACU,AM
92,LONHYP,AM
93,LONMOD,AM
94,LYOOVA,ErM
95,MACPAU,AM
96,MACTHU,AM
97,MAGOFF,AM
98,MAHBEA,AM
99,MELFLE,AM
100,MELMYR,AM
101,MELOLD,AM
102,MICFOK,AM
103,MORAUS,AM
104,NEOCHE,AM
105,NEOUND,AM
106,NYSSIN,AM
107,OSMFRA,AM
108,OSMMAR,AM
109,PADBUE,AM
110,PADGRA,#N/A
111,PHOBEA,AM
112,PHOGLA,AM
113,PHOPAR,AM
114,PHOVIL,AM
115,PHYGLA,AM
116,PIEJAP,ErM
117,PINMAS,EcM
118,PINTAI,EcM
119,PITILL,AM
120,PTECOR,AM
121,PYRCAL,AM
122,QUEENG,EcM
123,RHAIND,AM
124,RHAWIL,AM
125,RHOCHA,ErM
126,RHOFOR,ErM
127,RHOLAT,ErM
128,RHOOVA,ErM
129,RHOSIM,ErM
130,RHOSIS,ErM
131,RHUHYP,AM
132,RHUPOT,AM
133,ROSHEN,AM
134,SABCAM,AM
135,SARCUN,AM
136,SASTZU,NM-AM
137,SCHINT,AM
138,SCHSPH,AM
139,SCHSUP,AM
140,SKIREE,AM
141,SMIARI,AM
142,SMIDIS,AM
143,SORDUN,AM
144,SORFOL,AM
145,SORHEM,AM
146,STACON,AM
147,STESIN,AM
148,STRDAV,#N/A
149,STYCAL,AM
150,STYJAP,AM
151,SYCSIN,AM
152,SYMANO,AM
153,SYMGLO,AM
154,SYMLAN,AM
155,SYMLUC,AM
156,SYMPAN,AM
157,SYMPEN,AM
158,SYMSTE,AM
159,SYMSUM,AM
160,TAXWAL,AM
161,TERGYM,AM
162,TOXSUC,AM
163,TOXSYL,AM
164,TOXTRI,AM
165,VACBRA,ErM
166,VACCAR,ErM
167,VACJAP,ErM
168,VACMAN,ErM
169,VIBERO,AM
170,VIBHER,AM
171,VIBSET,AM
172,VIBSYM,AM
173,VITCHU,AM
174,VITPSE,AM
175,VITWIL,AM
176,WIKMON,AM
177,YULCYL,AM
