"","allsp","","","","","","","","","","","","","","","","","","","","","","","","","abund"
"1","ACEAMP","0.670024832212711","0.506561326734212","0.502462058546537","0.508303211271077","0.514022853989853","0.534372464442405","0.562623074160224","0.584651460026851","0.02","0.002","0.002","0.002","0.002","0.002","0.002","0.002","-2.15536810487542","-3.98580294276121","-4.35070252810311","-4.50516972189059","-4.67739184124554","-4.68893282450312","-4.60155376528864","-4.5809735826079","13"
"2","ACEDAV","0.959831174476379","0.979387278181579","0.98261896244548","0.998759133337237","0.999512092802956","1.00256976354087","1.0061749781524","1.00761267997998","0.488","0.664","0.686","0.968","0.934","0.896","0.794","0.744","-0.749065629462925","-0.464023274116644","-0.432081495226324","0.0148026122013007","0.0359761220628446","0.12718282450972","0.254814328468698","0.321160773597293","105"
"3","ACEELE","0.882108399178892","0.890703117603305","0.903423777837686","0.914061438304873","0.92442358944224","0.931145888931534","0.936274613569702","0.940718027839195","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","-4.98113990895941","-5.77623134127899","-5.55098292203792","-5.24214875512557","-4.85743442378727","-4.64376015667728","-4.49893961572494","-4.35650180629805","490"
"4","ACEPUB","0.76478302008323","0.702694307201804","0.734091042182556","0.736788580945987","0.742371620596889","0.738255983702623","0.745812338202938","0.74714699460344","0.1","0.006","0.012","0.01","0.01","0.006","0.004","0.002","-1.60055142051366","-2.36853034166976","-2.24913932588018","-2.34014092173374","-2.39277994392161","-2.52355954576842","-2.54150550846787","-2.63050070070415","23"
"5","ACTARG","0.472600254152737","0.4682162097555","0.456401401439714","0.452029913156298","0.46760898474845","0.498571191491257","0.538005492152438","0.561870020850941","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","-3.58361129080128","-4.18270086621718","-4.56724414533087","-4.90290168404488","-5.01774876356058","-4.9931193829886","-4.79860586699539","-4.73606969373398","20"
"6","ACTCHI","0.787327795165868","0.716109570669762","0.712875715795218","0.722804589857661","0.746702795045177","0.759982679223613","0.778271050269129","0.799617289290782","0.064","0.002","0.002","0.002","0.002","0.002","0.002","0.002","-1.84696402915006","-3.00843879899263","-3.39347132710513","-3.55325038021103","-3.47908711688811","-3.49842214498669","-3.42321987416312","-3.25695945315533","17"
"7","ACTERI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"8","ACTHEM","0.843277373121365","0.871662703264803","0.885758656036522","0.901049064303772","0.912069152753268","0.920981917063049","0.931055556543348","0.935712225212091","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.004","-3.78538561953186","-4.05177005896682","-4.07355724652905","-3.88715346226542","-3.73655531328716","-3.58611372826554","-3.3384708862375","-3.31670561266802","133"
"9","ACTSP1","0.74519775320166","0.810684964331705","0.775768256868152","0.725614383301455","0.75612883721812","0.762180225043981","0.778105062684544","0.775904980762789","0.262","0.3","0.152","0.06","0.082","0.084","0.098","0.076","-1.1118203662343","-1.06530584917271","-1.42350211902031","-1.89431333477158","-1.77848184340481","-1.80207281028713","-1.73850388882832","-1.81342364044604","6"
"10","ADIGLI","1.0062877862919","0.991412540276047","0.988607853049264","0.991715083454687","0.997325486388668","0.997279151230889","0.997232338012748","0.998686564152741","0.598","0.402","0.214","0.308","0.698","0.686","0.648","0.802","0.53319950599228","-0.849709345845488","-1.29067830336208","-1.04568424732156","-0.384063889692558","-0.406999229029784","-0.426454857577623","-0.219362678057577","1599"
"11","AGALAC","1.12959121771829","1.10345805891856","1.09105411730271","1.07379177362435","1.05735490869755","1.04097659021908","1.04346336622036","1.05000149653544","0.156","0.156","0.164","0.214","0.332","0.438","0.424","0.326","1.4134362356948","1.48816756211057","1.46767603208321","1.26826387883576","1.04126763271194","0.775481716150432","0.855432731098404","1.02462181674341","22"
"12","AKETRI","0.444190195639865","0.464712564278093","0.480783096130001","0.552956195477469","0.583838922910759","0.620480114645762","0.666806360101162","0.702402755082035","0.008","0.002","0.002","0.002","0.002","0.002","0.002","0.002","-2.33611260487305","-2.87127374557583","-3.12492146024735","-2.94959925646262","-2.9213278839063","-2.80833273453926","-2.57229827660184","-2.41674647238694","4"
"13","ARAELA","0.942339625231072","0.879906873265859","0.885659561214117","0.919799032692369","0.947467697842849","0.966907933449105","1.00623283731187","1.01420728274196","0.83","0.404","0.378","0.488","0.652","0.81","0.882","0.822","-0.316862940324414","-0.84481038813939","-0.913751164597111","-0.727018036426277","-0.524497153539582","-0.340055371054437","0.0789286879115516","0.182215494932204","4"
"14","AUCHIM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"15","BERKUL","0.700135958097055","0.696426819573156","0.691175135759403","0.724632083009315","0.749958336789772","0.774386362383868","0.793043996323112","0.8135094984061","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","-4.09356343436666","-5.13759491554425","-5.63939059635596","-5.40247797732021","-5.17350229526104","-4.86325960423581","-4.67105282506481","-4.36873175724516","44"
"16","BERVIR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
