"","allsp","","","","","","","","","abund"
"1","ACEAMP","0.664949005527638","0.613653185244012","0.748255926405421","0.753643902699206","0.814339954539324","0.897163102221202","0.962514202663267","1.01292801008165","13"
"2","ACEDAV","1.04447542987852","1.04440555859523","1.04946285570701","1.04864832662195","1.04327661758653","1.04145403789455","1.03803865137926","1.03610700337672","105"
"3","ACEELE","0.957813356369293","0.971564342209585","0.994924171197268","0.995978843856153","0.997832151011142","0.999000944246849","0.999291108627047","0.999940416432052","490"
"4","ACEPUB","0.82656767396583","0.850871416673315","0.934904641079555","0.952558821233812","0.955476850435533","0.94723079897123","0.973616438212358","0.964947125984983","23"
"5","ACTARG","0.664061688245628","0.802632020556666","0.795232100106744","0.795500356630021","0.843533483666171","0.91304456771501","0.985221039425903","1.00693427745841","20"
"6","ACTCHI","0.930580064524919","0.916667736500752","0.93181240975364","1.00606208159532","1.00067130149994","0.983462222269698","0.980421701680111","0.990746733118107","17"
"7","ACTERI",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"8","ACTHEM","0.91858862128687","0.998804645371035","0.994601670073837","0.993925871536619","0.998703216365176","0.997042090313368","0.992965168515761","0.99176524589563","133"
"9","ACTSP1","0.834839759779897","0.886104868060091","0.858166520453749","0.814321101922392","0.878426620309721","0.879818490777423","0.923953460626174","0.940423240689016","6"
"10","ADIGLI","1.05231511873429","1.03893969539891","1.02810368627352","1.02055657145107","1.01780024271047","1.01445435947171","1.01096125059499","1.00761965010435","1599"
"11","AGALAC","1.13204742535547","1.08620324055713","1.05904855620403","1.07570128793404","1.03593246373636","1.01418590933478","1.02660819806286","1.02390189328925","22"
"12","AKETRI","0.763906898725414","0.80944041021644","0.893574175145652","0.961477558043117","0.942822583503662","0.88939047695989","0.919357639858955","0.925407409502542","4"
"13","ARAELA","1.19654008247297","1.13204895170732","1.06694219793107","1.08346843120106","1.07027973289201","1.02341153816392","1.02208559525147","1.02442440665624","4"
"14","AUCHIM",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"15","BERKUL","0.855144055044789","0.871614900093594","0.894841952316386","0.947504011245078","0.988083677386199","0.997116489711156","1.01838701201645","1.03534724264111","44"
"16","BERVIR",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"17","BETLUM","1.11697128411605","1.08027223630739","1.1057732094082","1.14992664432916","1.13889245049905","1.1645956864379","1.14897662098535","1.16263687793492","12"
"18","CALMEM","0.964886803398449","0.911924737577706","0.964747873682234","0.977015626024832","0.984843102194883","1.00241416391419","1.00967482477705","1.00740904584258","22"
"19","CAMCUS","0.83762194262099","0.888157808676118","0.914515523279779","0.933997108996946","0.94702003234549","0.956948380287729","0.964307106998767","0.970637256640796","14306"
"20","CARVIM","1.02289076850368","1.02098649774666","1.04770273151173","1.05129911638367","1.0390196616539","1.03866213862104","1.03965728652546","1.03974270392212","127"
"21","CASEYR","0.940031880386044","0.992466558547684","1.05161838835048","1.04730874469674","1.02124517929684","0.980297750369794","0.982331258900493","0.995615169312079","31"
"22","CELACU","0.884868163624152","0.946298157907402","0.997916112633946","1.00214235159742","0.996129303246647","1.00398658037399","1.00963420810453","1.00806754229681","76"
"23","CELSTY","0.941296933066315","1.00937005918987","1.03962487539316","1.05497852128952","1.06307127986181","1.05426968523891","1.05313572357551","1.03892251710537","43"
"24","CEPSIN",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"25","CERCAM","1.19299195254283","1.09969775919768","1.04520503508951","1.0387224020442","1.03877129086594","1.04539448399567","1.04700469884562","1.04508248470485","157"
"26","CERSCH","1.20588078184435","1.13559648576395","1.08343117031492","1.05148158447753","1.03241759865107","1.02232661256034","1.01748778748131","1.01407555809453","446"
"27","CERSER","0.957746050814295","0.940435510989268","0.947514357612103","1.06794859046066","1.02650884225917","0.991482158747341","1.01524052952718","1.04374874165323","11"
"28","CINJEN","0.923152286778699","0.937552429189645","0.982404247836106","1.02745382159788","1.03699928499629","1.02017091667163","1.01944680851071","1.01374377745296","14"
"29","CINSUB","1.26750803866231","1.14739911916979","1.08649346489517","1.02785461958495","0.977932654846262","0.964970801444431","0.96630290100413","0.976729091231178","13"
"30","CLEBAR","1.03574553224309","1.06967110847371","1.07359663777785","1.0622293523742","1.04599692867227","1.03850878756806","1.03676640122513","1.03304946944418","612"
"31","CLEPAC","1.12820136786583","1.08580538126689","1.05859842501717","1.03637505932141","1.01990010697232","1.00866557284806","1.00011015822434","0.994034927848447","5365"
"32","CORCON","1.04121069812513","1.06309948894823","1.0875807600898","1.10297737493562","1.11397207288717","1.12999651597482","1.12135020483837","1.12139878155318","31"
"33","CORGLA","0.972618200508326","0.97714715131911","0.987550561334531","0.995794093095798","1.00477519862813","1.00991619114596","1.01819310759902","1.02564259321713","215"
"34","CORHON","0.957088616814053","1.01437516346259","1.02932559862839","1.04184022622843","1.03141388244609","1.02291190189431","1.01877945855055","1.01556485987211","139"
"35","CRYJAP","0.76647209126836","1.05628416132054","0.959478887026768","0.924397650219881","0.868717043287832","0.8468783145121","0.848026562141456","0.858814166709262","18"
"36","CUNLAN","1.00714517164085","1.00426244117669","1.00065815342865","0.995943053525759","0.996944086377641","0.996394116854499","0.997409078655235","0.997317879658259","8305"
"37","CYCGLA","1.00815220552518","1.10582338792567","1.06158497426849","1.04053058869496","1.06711471222125","1.047667961742","1.03652330290034","1.02158052863496","4"
"38","CYCGRA","1.19219322801273","1.09345448141062","1.15073243240228","1.04891387715787","1.03340084745331","1.05811980751351","1.04123631377663","1.01601969957432","4"
"39","CYCMUL","0.984266097927733","0.991731112804122","0.993710180674611","0.998516819175914","0.998423859594014","0.998555000470423","0.999674198268048","1.00043030430824","6437"
"40","CYCSTE","1.02386691623289","1.032676049826","1.02584608629236","1.01765372253022","1.01027645129553","1.00424413238708","0.998726911062301","0.998391490639135","2046"
"41","DALMIL",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"42","DAPKIU",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"43","DAPMAC","1.11147651468814","1.07322159135185","1.04766325865997","1.03442414073113","1.03070906245713","1.02481690306474","1.02338551305597","1.02270926879073","2093"
"44","DENDEN","1.08728382021774","1.05273591936996","1.03872578807902","1.02392674594692","1.01612557937601","1.01156638384166","1.00900606321734","1.00577298795274","1034"
"45","ELADIF","0.960436394308624","0.98789775456239","0.989255274853785","1.00006378067805","1.01357787015061","1.01972157699169","1.01897249733191","1.0195096442017","282"
"46","ELAGLA","0.854362494279327","0.894246744136456","0.970965867253891","0.990150173436988","1.0194260606529","1.0479884046391","1.08997109676757","1.11467159658851","18"
"47","ELAHEN","0.73968035907724","0.708730170757846","0.80364460448949","0.850419979985476","0.879049170534988","0.859446703598986","0.87061119975601","0.918688640770654","3"
"48","ERYSIN","1.09517811882226","1.07439152923402","1.0617398963098","1.05030724148164","1.0417839654151","1.03334499408435","1.03059058805311","1.02471443565429","1014"
"49","EUOHAM","0.684083119816982","0.84428826793923","0.986346646213125","1.05613314786212","1.05862399191433","1.02882631293474","1.06196637089431","1.06201774186715","5"
"50","EUOMYR","0.878169338312934","0.886429873669594","0.92239267204314","0.937633139222094","0.964213987119592","0.976419648673633","0.995058384472076","1.00056597436604","93"
"51","EURALA","0.94288060772577","0.955720956090439","0.971054376415837","0.982804252274688","0.991489564694987","0.996601372091258","1.00084772091254","1.00320506578656","8141"
"52","EURHEB","0.975440733342889","0.990146393725509","0.999229704598204","1.00352309795723","1.00601973801063","1.00846838909624","1.0084602564223","1.00808442236097","22520"
"53","EURMUR","0.932987211198129","0.968713350694577","0.971830341766865","0.977744087099494","0.980916918265324","0.985523774315984","0.990611199053313","0.993853390315116","952"
"54","EURRUB","0.973357903949074","0.978868167202861","0.981608582837554","0.983129378029486","0.984608329917583","0.984647251855826","0.985655312601559","0.986510533271338","16563"
"55","FAGLUC","1.06204252307076","1.0569723681037","1.03872828018933","1.02836996519547","1.02318563581264","1.02141772460896","1.01940308697129","1.01464167418624","2711"
