"","x"
"矮冬青",1508.07442946598
"八角枫",1928.54519022243
"白桂木",29829.1722535997
"白花苦灯笼",72.3822947387088
"白花龙",3489.62810523151
"白蜡树",8562.30718334123
"变叶榕",524.441769627012
"伯乐树",209.465690178099
"豺皮樟",733.491198778511
"潮州山矾",36.316811075498
"赤楠",74.2201264410589
"赤杨叶",170981.313453693
"川杨桐",12513.9603665971
"粗糠柴",1376.90508219697
"大果木姜子",235.595887074333
"大叶臭花椒",2661.87341888204
"大叶桂樱",284.832497937719
"滇粤山胡椒",215.39544631175
"吊钟花",398.990120987538
"鼎湖血桐",763.438430748856
"冬青",124.45419297196
"短梗大参",10817.0106379038
"短梗幌伞枫",851.81928607597
"多花山竹子",4772.93642435843
"二列叶柃",188.134276060225
"翻白叶树",2432.43505340874
"芬芳安息香",400.450961571457
"枫香",48986.6153293043
"狗骨柴",1153.38272838946
"谷木叶冬青",5143.84746144708
"观光木",2508.35753036897
"光叶海桐",385.017023722717
"光叶山矾",129.040918246201
"广东冬青",930.408189800928
"广东琼楠",2746.37699909591
"海红豆",1629.52054747212
"褐毛杜英",70463.5894879163
"黑面神",193.435713663158
"红淡比",947.884241414317
"红鳞蒲桃",6026.86676810383
"红锥",224983.146874836
"猴欢喜",19168.9509652142
"厚皮香",642.612777291792
"厚叶冬青",60.8212337734984
"虎皮楠",20940.5945725208
"华杜英",28922.4463316993
"华南桂",26971.489961964
"华南青皮木",425.615118726711
"华润楠",220232.370066958
"黄丹木姜子",20948.3140939892
"黄梨木",6858.85074502338
"黄毛冬青",858.850563133786
"黄牛奶树",5353.48593922112
"黄杞",732.650822743676
"黄绒润楠",4278.05876947766
"黄檀",25.5175863287831
"黄樟",165686.539011699
"鸡仔木",494.997192481242
"檵木",7097.32904335738
"尖脉木姜子",26.4207942166902
"金叶含笑",1788.78358704586
"栲",537998.138788944
"柯",4807.65974110021
"蓝果树",20570.4987787258
"老鼠矢",635.104370849713
"乐昌含笑",740.229915020461
"黧蒴锥",44.1786466911065
"楝",56155.605436267
"亮叶猴耳环",3078.41027731767
"亮叶桦",3656.46041960499
"橉木",9938.81320473138
"岭南山茉莉",6276.69006436829
"罗浮柿",118175.092363548
"罗浮锥",624277.787778993
"椤木石楠",80823.864782966
"毛冬青",56.7999951769035
"毛狗骨柴",2278.33985521035
"毛果巴豆",27.3397100678652
"毛山矾",373.262440650046
"毛柿",282.437033539356
"毛桐",721.066199833563
"米槠",2019257.55285489
"密花山矾",3616.47454246936
"密花树",8836.33299524968
"闽楠",35431.0206485013
"木荷",794202.233100084
"木姜润楠",25907.7445688834
"木姜叶柯",25252.1740570724
"南酸枣",335454.617763102
"南烛",1764.00427499067
"牛耳枫",528.730043599162
"刨花润楠",2306.76184394737
"枇杷叶紫珠",43.2990007481013
"朴树",763.791859922384
"千年桐",33154.5959867124
"茜树",11068.4655988527
"青冈",5592.93027729611
"青檀",44.1786466911065
"全缘桂樱",1044.43033166756
"全缘火棘",26.4207942166902
"日本杜英",9501.22830383522
"绒毛润楠",29.224665660019
"榕叶冬青",8474.0325138458
"软荚红豆",706.61487362705
"锐尖山香圆",528.19793634346
"三花冬青",2260.15796626751
"山苍子",401.946752373647
"山矾",7496.79323067635
"山桂花",1328.17308965357
"山牡荆",2591.08351891962
"山乌桕",1512.75540251983
"杉木",6827.23257846041
"珊瑚树",1453.89994180949
"深山含笑",18449.1246734612
"石笔木",495.743320736469
"鼠刺",11503.0421106238
"树参",528.777167488966
"栓叶安息香",57116.6897075339
"水团花",2745.55759319204
"穗序鹅掌柴",26.1481825141749
"台湾冬青",47529.6212328903
"台湾榕",1024.39482451929
"台湾相思",54.1060794764502
"桃叶石楠",43506.1534406882
"天料木",633.180145349389
"铁冬青",1310.32687988577
"秃瓣杜英",1594.58603716421
"弯蒴杜鹃",89050.4323156126
"微毛柃",9691.61800780127
"尾叶樱桃",34.2119439975928
"蚊母树",256.526748128875
"乌材",240.245444201645
"细枝柃",9358.68764779728
"显脉新木姜子",7307.40467374918
"腺毛泡花树",450.058673067048
"腺叶桂樱",397.829695201118
"香港四照花",65303.7828928687
"香皮树",130509.36203412
"小果冬青",210.410131469585
"小果山龙眼",3592.71946815906
"小腊",43.0084034276443
"小叶石楠",472.440557228467
"小叶五月茶",1632.8105803786
"锈叶新木姜子",1070.82952743476
"鸭公树",86461.0059868177
"鸭脚木",26.6948196358995
"延平柿",19.6349540849362
"盐肤木",31.1724531052447
"杨梅",1456.5051860573
"野漆树",166.897109721958
"野柿",15546.6307042147
"异株木樨榄",50.2654824574367
"阴香",9174.55120546838
"映山红",69.3977817177985
"硬壳桂",2263.43896709511
"硬壳柯",231.770998018587
"油茶",1594.14032370648
"油桐",8826.84648499327
"越南山矾",64250.4438683735
"云和新木姜子",4869.9729172249
"云南越桔",29.224665660019
"柞木",191.134497044403
"樟叶槭",52916.0679768347
"长花厚壳树",5356.65109381962
"栀子",23.7582944427728
"枳椇",7640.97379807946
"中华石楠",369.184260686605
"钟花樱桃",903.247157815235
"子凌蒲桃",251.460929974961
"紫楠",80172.6946214451
